,Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o
461,"MIT EUROPE
- Marketing and Internationalization

Youth SUCCESSors
- Capacity Building for Cultural and Territorial Heritage Promotion

Project Management Courses
- PM + BA

---

**OFFICE MANAGER**  
**TRADUX®**  
TRADUX® is a company specializing in managing translation projects of any field, language, and size, with over 10 offices in major Italian cities.

**Main Responsibilities:**
- Quality and performance control
- Preparing reports
- Handling emails and client queries
- Modifying documents using Word, PowerPoint, Excel (mostly Word)
- Office management
- Coordinating documentation and forms with regional teams
- Coordinating with branches
- Escalating issues to team leader and project manager as needed
- Enhancing productivity and process efficiency
- Processing incoming mail and managing the classification department
- Answering telephone calls and providing customer service
- Assisting incoming customers with professionalism and knowledge
- Preparing monthly financial reports
- Overseeing day-to-day activities

---

**BACK OFFICE INTERN**  
**ROZONA SERVICIO DE PREVENCIÓN**  
ROZONA SERVICIO DE PREVENCIÓN specializes in organizing and managing preventive management systems, including occupational medicine, safety, industrial hygiene, ergonomics, and applied psychosociology.

**Main Responsibilities:**
- Monitoring contract status
- Data entry and management of company databases and personal data
- Providing administrative support for data entry using MS Excel

---

**Career Aspirations:**
- Desire to work in a young and motivated team on engaging projects with opportunities for career growth
- Interested in roles as Junior Project Manager or Junior Project Coordinator
- Eager to participate in international team management"
462,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Email Address]  
[Phone Number]  

---

**Objective**  
Aspiring to leverage strong organizational and communication skills within IT as an IT Recruiter, HR Manager, Sales Manager, Account Manager, or Project Manager. Highly motivated third-year Applied Linguistics student committed to fostering productive relationships and ensuring efficient project execution.  

---

**Education**  
_Third-Year Applied Linguistics Student_  
[University Name], [Location]  
[Expected Graduation Date]

---

**Experience**  

**Internship**  
_InternetDevels, IT Company_  
[Location], [Dates]  
- Gained valuable insights into IT industry operations and client interactions through immersive internship experience.  

**Website Development Project**  
- Developed a business website for selling cars using Python, highlighting foundational coding experience.  

**Communication and Hosting**  
- Hosted English-language shows for foreigners in Bulgaria, honing communication and presentation skills.  

**Content Creation & Copywriting**  
- Created engaging written content for social media using Canva, enhancing branding and digital presence for various projects.  

**Additional Skills**  
- Effective project planning and time management capabilities demonstrated through university and professional experiences.  
- Strong negotiation and interpersonal skills developed across various roles requiring communication with diverse audiences.  

---

**Strengths**  
- Technology comprehension balanced with a strong focus on organizational and communication skills.  
- Proven ability to establish rapport and create positive atmospheres in professional settings.  
- Efficient in time allocation and work planning to meet deadlines effectively.  

---

**Career Interests**  
- Seeking roles in IT recruitment, HR management, sales, account management, and project management to apply organized, people-oriented approach and contribute to team success.  "
463,"Optimistic and resilient professional with extensive experience in project management and coordination. Proven ability to ensure effective collaboration and enhance performance in competitive, international environments. Skilled in fast adaptation and learning in dynamic settings.

**Experience**

**IT Project Manager/Business Analyst**  
Whiteport AB, Stockholm  
April 2019 - Present

- Managed multiple projects simultaneously, ensuring timely completion and stakeholder satisfaction.
- Conducted project estimations and regularly reported to stakeholders.
- Analyzed and validated clients' business needs.
- Utilized Agile methodologies for project execution and improvement.
- Led communication and negotiations with clients.
- Identified, tracked, and proposed potential product improvements to clients.
- Developed and implemented Facebook Messenger bots.

*Achievements:*
- Enhanced communication quality, increasing client and team satisfaction by 25%.
- Achieved over a 50% improvement in product delivery speed.

**Project Manager**  
Kyiv Branch of Cryptocurrency Trading Company (NDA)  
May 2018 - April 2019

- Recruited and trained key personnel for international client engagements.
- Planned resources and controlled budgets to maximize efficiency.
- Ensured high productivity levels through operational and strategic management.
- Estimated time and costs for new implementations, performed risk analysis.
- Engaged in strategic influencing and business partnering.

*Achievements:*
- Boosted revenue by 600%.
- Reduced operational costs by 5%.
- Established a fully functioning and self-sufficient work environment.

Seeking an opportunity to contribute to a forward-thinking company and establish long-lasting, mutually beneficial relationships."
464,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

**Objective**  
Motivated and detail-oriented professional seeking to leverage extensive experience in business process optimization and project management to secure a position as a Project Manager or Assistant Project Manager.

---

**Professional Experience**  

**Optimization and Project Management Specialist**  
- Implemented automated accounting systems for a network of retail outlets, streamlining business processes and improving efficiency.
- Enhanced the organization's document flow, leading to improved information management.
- Expanded the contractor base by increasing main contractors from 2 to 10 and creating a comprehensive contractor database.
- Developed the corporate style and brand book, establishing the organization's mission and goals.
- Organized and managed various events, including trainings and conferences, to enhance organizational knowledge and networking.
- Developed organization standards and a brand book to ensure consistent branding and operations.
- Prepared concept notes and commercial proposals, and participated in the grant application process.
- Managed projects from planning through execution, including task supervision, progress reporting, and result evaluation for the director.

**Project Cases**  
- Managed projects for tubing hill and amusement park developments.
- Ensured the complete lifecycle of branded product development and distribution.
- Facilitated communication with contractors, overseeing payment processes and delivery schedules.
- Oversaw outdoor advertisement placements by coordinating with contractors.
- Coordinated the full supply chain from customer requests to delivery execution.
- Compiled and delivered comprehensive project reports.

---

**Education**  
[Your Education Details]

---

**Skills**  
- Project Management
- Business Process Optimization
- Document Flow Management
- Contractor Relations and Negotiation
- Event Organization
- Brand Development
- Communication and Coordination

---

I am currently available and actively seeking opportunities in project management or related junior specialist roles."
465,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Email Address]  
[Phone Number]  

---

**Professional Summary**  
Detail-oriented and proactive professional with strong communication skills in Russian and advanced English proficiency. Experienced in organizing team operations, leading projects, and enhancing customer support mechanisms. Committed to improving efficiency and facilitating collaboration across teams.

---

**Languages**  
- Russian: Fluent  
- English: Upper-Intermediate  

---

**Education and Training**  
- **CSS - The Complete Guide (incl. Flexbox, Grid & Sass), 2018**  
  Coursehunters  
- **Psychology of Stress and Ways to Overcome It, 2016**  
  Prometheus  

---

**Professional Experience**  

**[Your Position]**  
SolidOpinion

- Coordinated team work leading to collaborations with major clients such as LA Times and The San Diego Union-Tribune.
- Engaged in design discussions and requirement gathering for the Moderation Tool.
- Managed and recorded work activities efficiently using Google Sheets.
- Developed and implemented a 24/7 work schedule, optimizing shift management.
- Facilitated communication of issues to development and QA teams.
- Created and maintained a user support process utilizing Trello.
- Recommended and implemented the use of Grammarly for company-wide communication improvements.
- Provided user assistance with troubleshooting, creating tickets for technical resolutions using JIRA Service Desk.
- Documented and detailed customer requests for quality service delivery.
- Conducted candidate interviews and mentored new employees to ensure smooth onboarding.

---

**Conferences and Participation**  

- **LvivCSS Conference, 2018**  
  Participant, Lviv  

- **QA Fest Testing Conference, 2016**  
  Participant, Kyiv  

---

**Skills**  
- Team Coordination and Leadership  
- User Support and Troubleshooting  
- Process Improvement  
- Communication and Mentorship  
- Project Design and Requirement Gathering  

---

**References available upon request**"
466,"**[Your Name]**  
[Your Address]  
[City, State, Zip Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Summary**  
Dynamic professional with a strong background in sales management and project execution. Proven ability to lead teams, optimize processes, and create effective client relationships. Completed extensive training in project management and accomplished endurance runner.

---

**Professional Experience**

**Sales Manager**  
Outsource, Brokerage Company  
2021-2022, Dnipro, Ukraine  

- Promoted from salesperson to sales manager within eight months.
- Led a department of 15 salespersons, enhancing customer experience and streamlining workflow.
- Built client trust and effectively communicated company benefits, consistently reaching sales targets in the European market.

**Salesperson**  
Work.ua  
2021, Dnipro, Ukraine  

- Refined communication and customer-oriented skills.

**Executive Director's Assistant**  
The Dance and Fitness Specialist, Moves Dance Studio  
2010-2020, Beirut, Lebanon  

- Assisted in managing three branches with over 800 students.
- Coordinated with sponsors, partners, local governments, and non-profit organizations.
- Organized meetings, workshops, and other events for knowledge exchange.
- Planned daily schedules and rehearsals.
- Directed and produced dance events and fashion performances, including Casino du Liban's annual shows.

---

**Education**  
Project Management Courses  
Hillel IT School  

---

**Personal Achievements**  
- Completed one marathon and over 200 half marathons.

---

**Skills**  
- Sales & Client Relationship Management
- Team Leadership & Development
- Project Planning & Execution
- Event Coordination
- Effective Communication & Interpersonal Skills"
467,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Email Address]  
[Phone Number]  

---

**Summary**  
Experienced leader with a strong background in managing and directing sales department projects, hiring and training staff, and handling both short and long-term strategic planning and budgeting. Proficient in project management tools and methodologies with exceptional skills in analytics and planning.

---

**Core Competencies**  

*Hard Skills*  
- Executive-level Management  
- Budgeting  
- Staffing and Personnel Training  
- Analytics  
- Strategic Planning  

*Soft Skills*  
- Adaptability to New Conditions  
- Persuasion  
- Decision-Making and Responsibility  
- Interpersonal Communication  

---

**Professional Experience**  

**Outsourcing Projects, Head of Sales**  
2021 – Present  
- Spearhead the development and management of sales departments.  
- Organize and select focus group participants for marketing research initiatives.  

**LLC Univest Marketing (www.univest.ua), Chief Commercial Officer**  
2020  
- Managed annual sales of 17 million euros, overseeing two sales departments and a marketing department.  
- Led negotiations with VIP clients and conducted the company's financial and economic activities.  
- Implemented market monitoring and competitor analysis.  
- Oversaw accounts receivable management and budgeting.  

Number of Subordinates: 30  

Achievements:  
- Contributed to the update of internal policies and procedures.  
- Developed a new motivation system for the sales team.  
- Created an annual commercial plan.  
- Reduced overdue accounts receivable from 44% to 20%.  

**LLC Shungit (www.noviysvit.com.ua), Sales Director**  
2019 – 2020  
- Directed annual sales of 32 million euros in the B2B plumbing and tiles industry.  
- Negotiated with VIP clients and conducted field assessments and training events.  
- Executed market monitoring and competitor analysis.  
- Managed accounts receivable and led staffing and training efforts.  

Number of Subordinates: 50  

Achievements:  
- Introduced short and long-term branch sales planning systems.  
- Achieved a 28% increase in completed transactions in 2019 compared to 2018.  
- Implemented a new front & back-office system enhancing sales operations.  
- Reduced overdue accounts receivable from 37% to 18%.  

---"
468,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**

Dynamic and motivated project manager with a robust background in overseeing and completing design projects. Proven expertise in leading teams, managing budgets, and optimizing processes to meet client needs and deliver high-quality products. Strong ability to communicate effectively with clients and team members while solving complex problems.

---

**Professional Experience**

- Led design projects from inception to completion, ensuring high-quality deliverables and client satisfaction.
- Effectively managed and motivated a diverse team, including designers, 3D modelers, and other stakeholders.
- Consulted with clients and executives on project potential, 3D modeling orders, and ensured alignment with client goals.
- Managed order processing, accounting responsibilities, and time management for multiple projects.
- Oversaw budgeting and cost planning efforts, ensuring optimal financial performance of projects.
- Provided communication and support to clients, delivering final products and managing regular payment processes.
- Coordinated across all company departments to ensure smooth project operations and adherence to timelines.
- Analyzed data to drive decisions and optimize working processes for increased efficiency.

---

**Project Management Skills**

- Proficient in Agile, Scrum, and Kanban methodologies to drive project success.
- Experienced user of project management tools including Bitrix, Jira, Trello, and Asana.
- Familiar with the Software Development Life Cycle (SDLC) processes.
- Expertise in managing project teams and monitoring performance.
- Knowledgeable in Google Analytics for data-driven decision-making.
- Skilled in project planning, record keeping, and maintaining effective communication inside and outside of the organization.

---

**Education and Certifications**

- Completed ""Genious"" Project Manager Course, genius.space.
- Currently enrolled in the ""Skillsetter"" Product Manager Course, skillsetter.io (in progress).

---

**Additional Information**

- Strong work planning and process control capabilities.
- Competent in cost control and strategic planning.
- Eager to drive process optimizations and enhance overall operational efficiency.
- Open to exploring opportunities outside of sales-related roles.

---

**References**

Available upon request."
469,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Professional Summary**  
Dedicated and motivated line producer with extensive experience in film production and media publishing. Proven track record in optimizing processes, managing technical resources, and delivering projects efficiently. Adept at project planning, team organization, and risk management, ensuring successful outcomes. Skilled in utilizing tools such as Asana, Jira, and Confluence to enhance productivity and collaboration.

**Professional Experience**

**Line Producer**  
[Your Company Name]  
[Location]  
[Dates Worked]

- Spearheaded the reduction of equipment rental costs by 85%, significantly enhancing profitability.
- Successfully established and managed technical resources for international productions from inception.
- Expertly managed project budgets, optimizing financial resource allocation and ensuring adherence to financial constraints.
- Lead major projects such as ""Kriposna, 3 season"", ""Spiymaty Kaydasha"", ""Koly my vdoma"", and ""Shvidka dopomoga"", overseeing the entire production cycle from planning to delivery.
- Directed team and process control, focusing on deadlines and budget optimization for superior results.

**Core Competencies**

- Project Planning & Team Organization
- Process Control & Deadline Management
- Budget Optimization & Risk Management
- Exceptional Communication & Time Management Skills
- Analytical Problem Solving & Process Improvement

**Technical Skills**

- Proficient in Asana, Jira, and Confluence for effective project management and collaboration.

**Personal Attributes**

- Passionate about optimizing processes and implementing innovative solutions.
- Strong motivation and a quick learner with an ability to adapt to changes.
- Thrives in environments with mature processes and established structures.

**Education**

[Your Degree]  
[Your Educational Institution]  
[Location]  
[Year of Graduation]

**References**

Available upon request."
470,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Professional Summary**  
Results-driven professional with over four years of experience in the cruise industry, specializing in team leadership, employee satisfaction, and customer service. Proven track record in managing team operations and delivering financial results, with a keen interest in human resources.

**Experience**  

**Photo Operations Manager**  
Royal Caribbean and Celebrity Cruises  
[Month, Year] – [Month, Year]  
- Successfully managed Photo operations onboard, driving financial and employee satisfaction outcomes.  
- Strategically adjusted marketing strategies to align with business needs.  
- Facilitated the onboarding and acclimation of new staff, ensuring seamless integration.  
- Led teams of 10 to 13 employees, overseeing work schedules, organizing team activities, and maintaining a positive work environment.  
- Addressed customer service concerns proactively and reactively, consistently achieving high guest satisfaction.  
- Cultivated professional relationships with ship’s officers, department heads, and shore side management, earning trust and confidence.

**Intern**  
[IT Company Name], Specialized in Shopify Web Development  
[Month, Year] – [Month, Year]  
- Completed a three-month internship focusing on Shopify web development.

**Education**  
[Your Degree or Major, if applicable]  
[Your University or College Name]  
[Location]  
[Month, Year] – [Month, Year]  

**Skills**  
- Team Leadership  
- Customer Service Excellence  
- Strategic Marketing  
- Employee Development  
- Business Communication  
- Problem Solving  

**Career Objective**  
Seeking a stable position in a company prioritizing human capital. Interested in entry-level roles within human resources, with a strong desire for professional growth and advancement based on merit and performance."
471,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Passionate and growth-oriented professional seeking opportunities to expand my skills and contribute to innovative projects. Eager for a role that offers personal and professional development, within an engaging and challenging environment.

---

**Professional Experience**

**Project Management Experience (Start-up)**  
- Co-founded a start-up aimed at developing a smart weather station for paragliders.
- Led communication with stakeholders, ensuring alignment with project goals and securing initial investment interest.
- Conducted market analysis and information gathering to guide project development.
- Organized and facilitated team meetings to drive project progress.
- Developed comprehensive project documentation to streamline processes and enhance communication within the team.

**AIESEC (International Organization)**  
- Organized events and managed projects within a multicultural team setting.
- Collaborated with international colleagues to deliver successful initiatives and foster cross-cultural understanding.

---

**Skills**

- Project Management
- Stakeholder Communication
- Market Analysis
- Event Organization
- Coding and Technological Proficiency
- Multicultural Team Collaboration

---

**Education**

- [Your Degree, e.g., Bachelor of Science in XYZ]  
  [Your University], [City, State]  

---

**Languages**

- [Languages spoken, e.g., English, Spanish, etc.]

---

**Interests**

- Innovative Technology Solutions
- Cross-Cultural Exchange
- Personal and Professional Growth"
472,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Objective**  
Dynamic and detail-oriented graphic and web designer with over 4 years of experience in creating and redesigning corporate identities. Dedicated to delivering compelling visual solutions and taking projects from concept through to completion. Skilled at problem-solving, effective communication, and client collaboration.

**Education**  
Master's degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)  
Kharkiv National University of Economics, S. Kuznets  

**Professional Experience**  

**Web and Graphic Designer**  
LOGOVO, Kharkiv, Ukraine  
Feb 2019 – May 2020  
- Developed distinct corporate identities and design for printed products.  
- Prepared files and materials for printing.  
- Built websites on WordPress and designed advertising banners.  

**Content Manager**  
COZI.UA, Kharkiv, Ukraine  
Aug 2020 – Sept 2020  
- Organized and conducted photo shoots and created photo/video content.  
- Developed and scripted communication plans for client interaction.  

**Trainee, Layout Maker**  
Newspaper ""Kharkiv News"", Kharkiv, Ukraine  
Oct 2021 – Nov 2021  
- Prepared page layouts for printing and processed illustrative materials.  
- Managed the placement of content on newspaper pages.  

**Achievements**  
- Successfully participated in city competitions to design a logo for the Department of Family, Youth, and Sports.  

**Skills**  
- Graphic Design: Adobe Creative Suite, WordPress  
- Web Design: HTML/CSS  
- Project Management: Managed projects from inception to delivery  
- Communication: Experienced in client interaction and teamwork  
- Problem Solving: Quick and efficient at overcoming challenges  

**Interests**  
Organizational processes, effective communication, problem-solving, and helping people achieve their goals. Passionate about design and creating impactful printed materials and corporate identities.  

**Languages**  
[Your Languages]  

**References**  
Available upon request."
473,"**Trainee Project Manager | Junior Project Manager**

**Profile:**

Trainee/Junior Project Manager with a year of experience in overseeing the complete delivery of commercial projects using Agile methodologies, including Scrum and Lean. Distinguished for exceptional communication skills with stakeholders at all levels and a keen ability to thrive in fast-paced and high-pressure environments.

**Experience:**

- **Interpreter/Project Lead**
  - Two years of interpreting expertise across diverse sectors, including military, IT, and humanitarian work. 
  - Led a team of 6 translators and technical consultants to deliver a project focused on maintenance documentation for high-value equipment, each worth over $3,000,000, under tight timelines and limited reference materials.
  
- **Project Achievements:**
  - Facilitated a significant reduction in lead time by 2.5x for a maintenance documentation project.
  - Delivered a comprehensive technical manual exceeding 10,000 words in Ukrainian within an 8-day period.
  
**Skills:**

- Strong analytical and critical thinking abilities.
- Proven capability in prioritizing tasks and making sound decisions efficiently.
- Highly organized, structured, and results-focused. 

**Recognition:**

- Commended for robust communication abilities, ensuring seamless interaction with diverse stakeholders."
474,"**[Your Full Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in pharmacy management, sales, and project management. Proven track record in increasing revenue, enhancing operational efficiency, and leading cross-functional teams.

---

**Professional Experience**

**Head of Pharmacy**  
*Pharmacy Chain ""Gamma-55""*  
*July 2014 to August 2019 (5 years)*  
- Promoted from pharmacist to head of pharmacy after 2 years of dedicated service.
- Managed busy schedules and sales plans, resulting in a 10% increase in annual revenue.
- Trained and supervised technicians and sales assistants to ensure efficient operations.
- Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.
- Collaborated with health care professionals to monitor and evaluate the quality and effectiveness of medicine therapy.
- Regularly handled paperwork and entered prescription and insurance billing information into patient profiles.

**Senior Sales Manager/Private Entrepreneur**  
*Women's Clothing Chain*  
*August 2019 to February 2022 (2 years, 6 months)*  
- Customized customer experiences to build brand loyalty and enhance overall customer satisfaction.
- Supervised contracted employees, ensuring delivery of work on schedule.
- Utilized exceptional planning and coordination skills to meet project timelines.
- Innovated solutions to enhance process efficiency and resolve operational challenges.

**Trainee Project Manager (Pet Project)**  
*IT School IAMPM Project Management Courses*  
*March 2022 to August 2022 (6 months)*  
- Developed detailed project plans to effectively track progress.
- Employed verification techniques to manage changes in project scope, schedule, and costs.
- Performed thorough risk management to minimize project risks and optimize outcomes.
- Created and maintained comprehensive project documentation for stakeholder review.
- Gained hands-on experience with tools such as Miro, Product Plan, Jira, Confluence, and Trello.

---

**Skills**  
- Leadership and Team Management  
- Strategic Planning and Execution  
- Risk Management  
- Customer Relationship Management  
- Process Improvement  
- Proficient in Miro, Product Plan, Jira, Confluence, Trello  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University/College]  
[Graduation Year]  

---

**Certifications**  
[Relevant Certification Name]  
[Issuing Organization]  
[Year Obtained]  

---

**References**  
Available upon request."
475,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Email Address]  
[Phone Number]  

---

**Professional Summary**

Dynamic and results-driven professional with expertise in project management, business process optimization, and client relationship management. Skilled in the development and implementation of efficient systems for both technical and business environments, with a strong focus on digitalization and analytics in commercial operations.

---

**Experience**

**TRENDO**  
Account Manager  
July 2022 - Present  
- Facilitate effective communication with international clients to ensure successful project outcomes.
- Conduct analytics on advertising campaigns to drive strategic decision-making.
- Prepare and deliver comprehensive reports to clients with actionable insights.
- Coordinate sprint meetings and manage the distribution of tasks among the project team in line with kanban methodology.
- Set up websites utilizing Google Tag Manager (GTM).
- Customize conversions and optimize rules for Google Ads and Google Merchant.
- Enhance e-commerce performance on platforms like Shopify.

**ZEZMAN**  
Junior Project Manager / Junior Business Analyst  
September 2021 – April 2022  
Odessa, Ukraine  
- Developed schedules and organized documentation to direct projects towards desired outcomes.
- Liaised with stakeholders to address scheduling, staffing, and technical requirements.
- Led the Business Analytics Unit in planning large-scale digitalization projects.
- Supported the implementation and optimization of electronic document management systems.

**ORCSSD**  
Administrative Manager (Project Sphere)  
July 2020 - September 2021  
- Created project schedules and organized guiding documents to facilitate project success.
- Translated complex metrics into actionable insights for project improvement.
- Managed stakeholder expectations and tracked project risks and benefits.

**Vs Project**  
Junior Technical Project Manager  
February 2020 - April 2020  
- Oversaw full project life cycle from initiation to deployment for various initiatives.
- Ensured that projects adhered to defined scope, schedule, budget, and quality standards.

**Government Projects**  
Trainee Project Manager  
October 2019 - December 2019  
- Planned, managed, and monitored project execution, ensuring on-time and on-budget delivery.

---

**Education**

[Your University/College Name]  
Degree in Radiotechnical Systems Engineering  

---

**Skills**

- Business Process Optimization
- Project Management
- Client Relationship Management
- Digitalization Strategies
- Google Analytics and Google Ads
- E-commerce Platform Optimization

---

**Additional Information**

- Successfully optimized and automated electrolysis systems in a copper plant.
- Developed a new accounting and control system for production processes.
- Experienced in managing government medical structure relocations with new software."
476,"```plaintext
**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**EDUCATION**

**Kyiv National Linguistic University (KNLU), Kyiv**  
*Bachelor*, Philology, Specialist of Translations (English)  
2009 - 2013  

**Kyiv National Linguistic University (KNLU), Kyiv**  
*Master - Diploma with Honours*, Translation (English), Philologist, Interpreter-Translator of English and Spanish  
2013 - 2014  

---

**ADDITIONAL EDUCATION AND CERTIFICATES**

- *Deeply Practical Project Management* by William Stewart PhD, PMP, 2019  
- Kyiv Advertising School, Specialty: Event Management, 2015  
- ""The First State Courses of Foreign Languages"" Certificate (English)  
- Certificate for Participation: ""Days of Reading of the Novel 'Don Quixote'"", signed by José Rodríguez Moyano, Ambassador of Spain, 2012  
- 1st Place Certificate: Translation of Poetry Competition during the Days of the Spanish Language  
- Certificate for Participation: 1st Ukrainian Scientific and Practical Conference of Young Scientists  

---

**PROFESSIONAL EXPERIENCE**

**Freelancing**  
- Project Management for several web projects  
- Interpreter of English and Spanish  
- Collaborations with Luxe Cube brand company and Spanish private individuals  

**Translation Agency ""Antey""**  
Translator / Interpreter, 2012 - 2016  
- Translated and interpreted English and Spanish texts across various thematic areas  

**NEOGENIA Ltd.**  
Customer Service Manager / Interpreter/Translator, Jan 2016 - Aug 2017  
- Provided medical coordination and support for foreign clients at clinics and hospitals  
- Managed correspondence, business negotiations, and translated medical documentation  

**“IVF-GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center**  
Operations Manager, Sep 2017 - Present  
- Coordinate medical programs and provide client support in clinics and hospitals  
- Manage client communications, including translations of legal and medical documents  

---

**SKILLS**

- Customer Operations Management, Conflict Management (4+ years)  
- Project Management: Understanding of web application development flow, control systems, pre-sale, estimations, costs, task management  
- PM Methodologies: Scrum, Agile, Kanban  
- PM Platforms: Jira, Trello, YouTrack  
- Experience with G-Suite  
- Basic Knowledge of ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10  

---  

**LANGUAGES**

- English (Fluent)  
- Spanish (Fluent)  

---  

**TUTORING EXPERIENCE**

- English Language Tutor since 2008  
- Spanish Language Tutor since 2012  
```"
477,"Ukrainian Corporate Governance Academy (UCGA)  
March 2022 - November 2022  
Position: Project Manager & CEO Assistant  

- Tracked project progress and participated in daily meetings.  
- Planned project scope and schedule.  
- Organized and managed meetings for current and new initiatives.  
- Assisted the team with ongoing tasks during projects.  
- Documented resources required to achieve project objectives.  
- Conducted research for various initiatives.  
- Optimized and managed organizational spending.  
- Prepared meeting follow-ups and presentations.  
- Led reporting to the board of directors on completed tasks.  
- Conducted team retrospectives.  
- Tracked and built long-term goals for the company.  

Dattalion (Volunteering)  
Position: Data Collection Team Lead & Operations Manager  

- Developed, implemented, and reviewed operational policies and procedures.  
- Wrote data collection guidelines and onboarded new data collection managers.  
- Monitored compliance with internal regulations and oversaw the data collection process.  
- Formulated strategic and operational objectives.  
- Performed quality controls and monitored KPIs.  
- Collaborated with partners, donors, co-founders, and other managers.  
- Participated in weekly meetings to understand project status and needs.  
- Led, motivated, and supported the team while maintaining a positive environment.  
- Identified and addressed problems and opportunities for the project.  
- Examined and managed budget usage.  
- Conducted budget reviews and reported cost plans to upper management.  
- Reviewed and approved all operational invoices and ensured they were submitted for payment.  

HCM International Ltd.  
Position: Researcher & Analyst  
January 2019 - February 2022"
478,"SCIENTIFIC CHRONICLE

June 2012 - Graduated from the State Flight Academy of Ukraine with a Bachelor’s degree.

December 2012 - Passed the ICAO English and frazeology exam with a 4th level qualification.

December 2012 - June 2013 - Conducted research in Air Traffic Management with a focus on “Patterns of activity of operators in the system of air navigation services in case of delays.”

July 2013 - Graduated from the Kirovograd Flight Academy of the National Aviation University of Ukraine with a Specialist degree (equivalent to a Master’s degree).

July 2015 - Achieved an Intermediate level in TOEFL iBT with a score of 86.

September 2015 - Enrolled at Beihang University of Aeronautics and Astronautics, specializing in Navigation, Guidance, and Control.

May 2016 - Co-authored a conference paper with Zheng Shuai-Yong entitled “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle.”

December 2016 - Awarded a scholarship at Beihang University for outstanding behavior and participation in activities.

January 2017 - Developed concepts for: Micro drones flights inside cities, Altitude Control for Micro Small Drones in Low Altitudes of National Airspace, and Offline Local Maps for Commercial Micro Drone Operations.

June 2017 - Contributed to the publication of the book “Introduction to Multicopter Design and Control” under the supervision of professor Quan Quan.

October 2017 - Invited to present the paper “Altitude Control for Micro Small Drones Flying in Low Altitudes of the National Airspace” at an International Conference.

November 2017 - Participated in an experimental project ‘Comparison of using 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance.’

January 2018 - Appointed as Head of the Education Department at Beihang University.

March 2018 - Interned at TUS HOLDING Ltd.

LANGUAGES

- Ukrainian, Russian (native)
- English (Advanced: TOEFL 96, ICAO 4)
- Chinese (HSK3, currently studying)
- Spanish (Pre-intermediate, can continue study if needed)

ADDITIONAL SKILLS

- Operating Systems: iOS, Windows, Linux
- Software: MS Office, Mac Office
- Task Management: Mantis, Leader Task
- Graphic Design: Photoshop, Corel
- 3D Printing: 3D Max, Cura, Meshmixer
- Programming Languages: HTML, SQL, MATLAB, Python
- File Sharing and Cloud Systems 
- Office Equipment Proficiency
- Social Media: Facebook, Twitter, Instagram, WeChat"
