,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
404," Junior Project Manager
INTERLINK | 2019

* Conducted a local project using Scrum methodology
* Controlled project teamwork

Co-Founder of the Free Wings NGO / Assistant Political Technologist
| 2018-2"
405," Junior Project Manager
Nov 2021 - May 2"
406," Junior Project Manager

* Assisted the Lead Project Manager in reporting, resource planning, and preliminary project estimation
* Facilitated meetings and other SCRUM ceremonies, and configured JIRA for project needs
* Assisted the project team in identifying and providing methods for mitigating risks and resolving issues, and ensured completion of end-to-end testing
* Conducted hand-over to operations and participated in internal and external Post-Implementation Reviews

Client Relationship Manager

* Grew and developed existing and new clients through negotiation, product presentation, sales meetings, contact management, and satisfaction tracking
* Led the Implementation Project, including planning terms and stages, creating a Communication Strategy, executing the Readiness Assessment, identifying and managing risk, and ensuring completion of end-to-end testing
* Provided start-up metrics and feedback, and conducted hand-over to operations
* Monitored accordance with results and participated in internal and external Post-Implementation Reviews
* Interesting projects provided opportunities to develop skills and grow professionally."
407," Google Project Management Certificate, Kyiv, Ukraine (6 months)
- Managed projects using analytical methods and search methodology (Agile)
- Wrote project documentation and developed strategic communication skills

Google Fundamentals of Digital Marketing, Kyiv, Ukraine (1 month)
- Learned fundamentals in basic marketing knowledge for developing or building a business

Web Design Fundamentals, Kyiv, Ukraine (10 hours)
- Learned fundamentals in basic knowledge of Web Design, including 5 hours of practical lessons (lectures) and 5 hours of practical training

Capstone: Applying Project Management in the Real World, Kyiv, Ukraine (1 month)
- Practiced applying the project management knowledge and skills learned so far

Agile Project Management, Kyiv, Ukraine (1 month)
- Explored the history, approach, and philosophy of Agile project management

Project Execution: Running the Project, Kyiv, Ukraine (1 month)
- Delved into the execution and closing phases of the project life cycle

Project Planning: Putting It All Together, Kyiv, Ukraine (1 month)
- Explored how to map out a project in the second phase of the project life cycle: the project planning phase

Project Initiation: Starting a Successful Project, Kyiv, Ukraine (1 month)
- Showed how to set a project up for success in the first phase of the project life cycle: the project initiation phase

Foundations of Project Management, Kyiv, Ukraine (1 month)
- Equipped with the skills and knowledge to apply to introductory-level roles in project management

JUNIOR PROJECT MANAGER, Online-store «Pleer», August 2021 - October 2022 (1 year 2 months)
- Successfully launched and operated an online sales channel with an efficient development process and team organization

MARKETING AND SALES SPECIALIST, Online-store «Pleer», February 2021 - August 2021 (6 months)
- Optimized marketing and sales costs and resources, and improved competitive advantage and market position

SALES MANAGER, Online-store «Pleer», June 2018 - February 2021 (2 years 9 months)
- Improved communication, negotiation, problem-solving and customer service skills

INSURANCE SALES MANAGER, PJSC «Ingosstrakh», June 2015 - June 2018 (3 years 1 month)
- Exceeded the sales plan and improved customer satisfaction and loyalty

MIDDLE BANKING SALES MANAGER, PJSC «VTB Bank», May 2013 - September 2014 (1 year 4 months)
- Led and strengthened positions in the sales of banking services in Kharkiv

BANKING SALES MANAGER, PJSC «VTB Bank», December 2012 - May 2013 (5 months)
- Occupied a leading position in sales of banking services

BANKING SALES MANAGER, PJSC «Alfa-Bank», April 2012 - December 2012 (9 months)
- Achieved and strengthened leading position in sales of banking services in Kharkiv

BANKING SALES MANAGER, PJSC «A-Bank», June 2011 - November 2011 (6 months)
- Set up a new branch and rivaled with leaders in banking service sales in Kharkiv

- To use my skills in project management, web development and sales for successful delivery online businesses, e-commerce and edtech projects
- To grow professionally and gain knowledge from expert project managers in project management, edtech and digital marketing."
408," Can write technical documentation and visualize customer desires
Can analyze data and structure it
Proud to have contributed to numerous projects, ranging from simple applications to complex, multi-team initiatives

Proficient in the following tools:
Trello
Jira
GitLab
RealtimeBoard
Draw.io
Manual testing
Bugs tracking

Experience managing the following teams:
Android (Kotlin, Java)
iOS (Swift, Obj-c)
Back end (PHP, Python)
Front end (JS, Angilar)
React cross-platform (React Native)

Roles:
Junior Project Manager
Trainee Project Manager
Assistant Project Manager

Total General Experience: 1 year 6 months

• Clarified product requirements and client needs, driving product implementation according to its vision while maintaining a close relationship with engineering and product teams to ensure customer satisfaction
• Cultivated a healthy “Be the client” culture within teams
• Empowered teams to become self-organized and apply Agile values and principles
• Managed project schedule, budget, and scope
• Maintained effective communication and reporting to stakeholders
• Collaborated with the Product Owner for grooming and product backlog maintenance
• Facilitated sprint planning, stand-ups, and retrospectives
• Mediated issue resolution within teams
• Identified, assessed, prioritized, mitigated, and developed contingency plans for project risks
• Maximized development team productivity by proactively identifying and addressing potential issues and roadblocks
• Project management
• Project status tracking
• Teamwork
• Problem-solving
• Opportunity to benefit the company and grow as a specialist"
409," Junior Project Manager

* 2+ years of proven experience in IT
* Fluent in Japanese and English

Experience:

* Account Manager, Sales Representative, and Project Manager in Web development
* Proven experience in B2B communication with the top 50 global pharma companies
* Successfully managed and completed over 200 IT projects within a year
* Set personal sales record of 200,000 Euro in 2019

Expertise:

* Rich expertise in business development and sales strategy planning
* Strong multi-tasking abilities, able to drive multiple projects simultaneously
* Senior-level management position experience

Project Management:

* Conduct full-scale negotiations with customers in English and Japanese
* Classify and estimate projects (time & material model)
* Set up projects in Jira (technical description, tasks, sub-tasks)
* Manage projects in the production pipeline
* Coordinate production teams to deliver output on time
* Manage project budgets and costs, invoicing

Sales:

* Fulfilled Sales Plan and Business Development goals
* Experienced in driving the commercial part of projects
* Skilled in B2B communication and SLA adherence monitoring

Data and Business Intelligence:

* Data-driven, experienced in setting up BI tools for development processes

Preferred Work Environment:

* Open to working in billing teams
* Comfortable with outsource/outstaff companies, with a preference for Web development
* Seeking to utilize Japanese language skills with APAC customers"
410," KEY INFORMATION:
• 4.5 years in IT sphere
• Aspiring Project Management Professional with experience in accounting and HR

ADDITIONAL EDUCATION:
PM School:
• Developing Project Charter (Vision)
• Creating Specifications (SRS by IEEE 83"
411," Co-founder and Manager, Grocery Store

* Sourced and vetted suppliers, resulting in selection of high-quality providers
* Optimized daily expenses, leading to increased sales and revenue
* Identified customer needs and developed targeted product offerings, resulting in expanded customer base
* Designed and implemented corporate identity and POS materials
* Managed fresh-bar menu development
* Oversaw staff recruitment, training, and performance management
* Developed job descriptions and established organizational standards

Skills

* Strong communication and negotiation skills
* Excellent organizational and problem-solving abilities
* Proficient in project management
* Experienced in team leadership and collaboration
* Proficient in POS material design and menu development

Seeking a position in project management with opportunities for career growth, a dynamic team, and a flexible schedule."
412," Launching New Cafe
• Project managed the launch of a new cafe (March 2023 - April 2023)
• Gathered and analyzed customer requirements, defined scope, set priorities, and distributed tasks
• Staffed and led the team, conducted interviews, and monitored staff performance
• Planned and tracked budget, measured expenses
• Monitored and supported day-to-day operations and tasks progress status

Medical Representative
• Improved negotiation skills for concluding contracts with healthcare providers

Sales Manager at travel agency, Lviv
• Introduced and studied new tourist destinations, engaged in staff training
• Initiated increase in sales by 20%

Sales Representative
• Expanded customer base by 30% and increased monthly sales by 20%

Experience:

* Launching New Cafe, March 2023 - April 2023
* Medical Representative, Lviv, August 2022 - February 2023
* Sales Manager at travel agency, Lviv, February 2019 - August 2022
* Real Estate Manager, Lviv, December 2017 - May 2018
* Sales Representative, July 2014 - November 2017"
413," Highly developed strategic thinking, communication and negotiation skills, problem solving, project scheduling, change management, risk management, leading documentation.
Python, SQL, MS Project, Tableau.

LB Photo
Administrator
03/2020 - 09/2020
- Implemented online ordering system, optimizing client communication.
- Managed sales documentation.

Music label
Manager
11/2018 - 03/2020
- Managed and organized concerts.
- Negotiated collaborations and partnerships with external entities.
- Optimal resource planning.

State public scientific and technical library of Russia
Librarianship Manager
Moscow, Russia
03/2018 - 06/2018
- Input daily data in multiple databases.
- Managed and handled collections and catalogs.
- Adapted to transformation with automated IS.
- Created content with bibliography department.

As an undergraduate IT student, I aim to enhance my knowledge in Scrum framework and Agile methodologies, and gain experience as an IT Project Manager. In my spare time, I enjoy solving problems in SQL and coding in Python."
414," LEARNING PROJECT MANAGER
Aug 2020 – Sep 2"
415," Line Producer / Project Manager
2018-2022, Department of Production, Prime Shows TV Channel “Ukraine”

* Managed large-scale TV projects, including ""The Masked Singer"" and ""All Together Now""
* Orchestrated document flow for projects, managing over 30 unique contracts
* Negotiated contracts with key contractors, top stars, lawyers, and financial experts
* Ensured budgetary control and timely settlements with counterparties
* Coordinated production processes between project units
* Developed staff work schedules in response to production needs
* Prepared financial reports detailing project expenses

Producer / Project Manager
2017-2018

* Conducted company development planning, market research, and growth forecasting
* Created presentations, commercial proposals, and led negotiations with clients
* Collaborated with key stakeholders to define project requirements and deliverables
* Managed project budgets, forecasts, and risk assessments
* Simultaneously oversaw multiple projects with team sizes exceeding 20 individuals
* Analyzed project performance and identified improvement measures"
416," LITS Academy
Sep 2022 - Oct 2"
417," Here is your improved resume:

**Resume**

**LocalUA • Walking tours application • Junior Project Manager**
01/2"
418," Here is your improved resume:

---

**Course: Project Management (Excellent Result)**

**Logistic Manager | 2021 - 2022**

* Developed and maintained a schedule of cargo flows, determining appropriate delivery methods by various modes of transportation.
* Organized service planning, established stages, and delivery timelines.
* Managed the formation of required documentation packages for shipping goods.
* Monitored and controlled the receipt of all cargo-related information.

**Barbershop Consulting | 2021**

* Formulated a comprehensive business plan, including:
	1. Identification of services for income generation.
	2. Calculation of project costs.
	3. Development of customer personas and market analysis.
	4. Analysis of competitors, highlighting strengths and weaknesses.
	5. Marketing strategy, with emphasis on customer acquisition.
	6. Established roles for employees and partners to achieve goals.
* Oversaw the implementation of the business plan.
* Managed the project's content on social media platforms.

**Travel Manager | 2019**

* Selected and sold tourist vouchers by processing online applications and managing incoming calls.
* Calculated costs, executed documents, and concluded contracts with clients.
* Accompanied clients from the moment of booking the tour until the moment of return.
* Coordinated hotel room reservations.
* Managed the booking of air and railway tickets.
* Maintained reporting documentation.
* Facilitated payments and interacted with tour operators.

*No Russia.*"
419," Experienced IT Professional seeking a Project Manager position, where my 5+ years of experience, strong analytic and communication skills, and energy can add value to your team.

Previous roles included starting as an IT novice in a small company, growing with the team from 7 to 40 employees in just 2 years. Through hands-on experience, I helped create processes, documentation, and foster a positive attitude within the company.

Currently supporting the CTO, CFO, and PM in their daily work:

* Communicating with clients, gathering information on change requests and preparing analytics for clients, including charts and tables from Jira data export.
* Leading daily stand-ups, writing protocols, and creating status reports.
* Estimating tasks, controlling spent time, and preparing release notes.
* Knowledgeable in Agile/Scrum project management methodologies.

Strengths include strong conflict resolution and problem-solving skills, as well as a proactive and enthusiastic approach to work."
420," Luxoft

Project Manager Assistant

* Assisted in managing a large account with 400+ headcount
* Handled an average of 30 requests per day, achieving 96% customer satisfaction
* Worked independently during night shifts
* Resolved issues across multiple global locations (USA, Japan, Europe, Canada, United Arab Emirates, Mexico, India, Singapore, Morocco, Georgia, Egypt, Kazakhstan, Russian Federation)

Responsibilities:

* Created and tracked statements of work (SOW)
* Collaborated with various stakeholders including program and project managers, financial partners, and billing&collection specialists
* Managed project structure in corporate systems
* Provided project-specific support and reporting
* Developed ad hoc reports and other administrative support
* Gathered and processed various data
* On-boarded/transferred/off-boarded employees in customer and internal systems
* Maintained employee data in internal tools
* Validated and created timesheets
* Allocated workforce on a regular basis
* Focused on professional growth and skill development
* Ensured timely payroll and full employment."
421," Luxoft Ukraine
Sourcing Manager / Project Management Officer Lead
July 2021 - Present, Kyiv
- Managed end-to-end sourcing and hiring processes, serving as point of contact (POC) between clients, hiring managers, delivery management, recruitment department, and key employees to ensure seamless communication.
- Implemented agile mechanisms for collecting, analyzing, and distributing initial and current information from key stakeholders to meet hiring demands.
- Prepared periodic client reports in collaboration with key stakeholders, mitigating potential hiring risks.

Helpware / Project Coordinator
July 2020 - July 2021, Kyiv
- Served as POC between project managers, clients, and other key stakeholders for multiple projects (simultaneously handling 3-4 projects).
- Gathered requirements from clients and distributed tasks to executives.
- Coordinated and executed small-scale projects, achieving a 50% completion rate on a machine learning project prior to lockdown and maintaining accurate support for numerous ongoing KTLO projects.

Helpware / Executive Assistant
July 2018 - July 2020, Kyiv
- Provided administrative support for FMCG business.
- Gathered requirements from clients for execution planning and delegation.
- Worked with Amazon Seller Central to fulfill customer requests.
- Coordinated and executed 2-3 parallel small-scale projects, including machine learning projects, with elementary project execution estimation.

Goal: Continued professional development as a Project Coordinator, aiming for a Project Management position, with a long-term objective of attaining a Risk Manager position."
422," Here is the improved resume:

Education:

* Project Management course, N-iX Training Center Open World, instructor Olena Grygorchuk
* Front-end brief course, Logos IT Academy
* Certified Accountant Professional (all 4 exams passed)
* Practical course ""Law, Accounting and Taxation in Modern Business""
* Diploma in Business Economics, Lviv Polytechnic National University
* Master's degree in Translation with honors, Ivan Franko Lviv National University

Skills:

* Project management: created Project Scope Statement, managed team composition and allocation, calculated project budget, conducted risk management and estimation using PERT
* Accounting: experience with tax service electronic cabinet, FreeZvit, client-bank systems (UkrsibBusiness, IFOBs, Privatbank for business), and 1C Enterprise; prepared staff documents, provided consulting services to clients
* Translation: translated contracts, letters, technical documentation, provided interpretation at negotiations and communication with banks
* Law: developed and edited contracts, constituent documents, registered private entrepreneurs and companies
* Office management: organized visits of foreign clients and potential investors, provided support and assistance at meetings, Skype conferences

Experience:

* Travel blog development manager
	+ Managed project scope, team composition, budget, risks, and stakeholders
	+ Translated and interpreted contracts, letters, and technical documentation
	+ Provided accounting services for private entrepreneurs and companies on single taxation system (group III)
	+ Assisted with legal tasks such as developing and editing contracts and constituent documents
	+ Managed office operations and organized visits and meetings with foreign clients and potential investors."
423, Manager at Restaurant «Montecristo» | 03/2015 – 09/2
424," Managing Projects from Ideation to Release
• Allocate tasks to back-end, front-end, iOS, Android, DevOps, SQL dev, UI/UX, QA, and BA teams
• Lead daily meetings for planning and prioritizing tasks
• Develop optimal task structure for convenient project management
• Determine project timing, budget, and resources
• Conduct business analysis and write terms of reference
• Liaise with clients to define requirements and provide necessary data/specifications to developers
• Assist with software installation on servers, including creating a list of necessary settings
• Collaborate with design team to enhance UI/UX of applications
• Manage risks, disputes, and conflict resolution within the team
• Present products to potential clients
• Quickly learn and adapt to new technologies
• Exhibit strong time management skills

Project Management and Client Communication
• Create tasks, split tasks into Sprints, and maintain managerial documentation
• Serve as a mediator between clients and developers/designers
• Conduct kick-off meetings and plannings
• Simultaneously manage a maximum of 5 projects (3 Outstaff and 2 Outsource)
• Improve English language skills, both written and spoken

Technical Stack
• JS (React, Node, React Native, Vue.JS)
• Flutter, IOS, Android
• PHP (Laravel)
• Blockchain (Symfony and Solidity)"
425," Here's your improved resume:

ESC Volunteer, NGO Keric
March 2022 - May 2023

* Designed and led non-formal activities for English classes, independently and with other volunteers, for children aged 6-15
* Conducted English lessons in local schools under the supervision of teachers
* Co-led children's summer camps in 2022

Logistics Coordinator
October 2021 - February 2022

* Communicated with USA brokers and carriers to arrange transportation of goods between states
* Monitored market trends to find the best deals

Translator (EN-UA)
September 2019 - December 2021

* Translated documents and correspondence from English to Ukrainian and vice versa
* Specialized in written translation with some experience in oral translation (interpretation)"
426," Marinetek
Project Manager / Company Representative, Ukraine
2012 - Present
marinetek.net

- Serve as company representative in Ukraine.
- Manage projects independently, including communication with clients, full project management, and company management.
- Build and maintain relationships with clients.

Concord Group
Project Manager
2013 - 2017
concordgroup.com.ua

- Coordinated communication between customers, general contractors, suppliers, and contractors.
- Planned budgets, resources, and work schedules.
- Organized and controlled project work.
- Assembled project teams and contractors, and conducted pre-project preparation and feasibility analysis.
- Prepared for tender participation, including team building, working with contractors, budget calculations, setting deadlines, selecting production technologies, assessing resources and capabilities, submitting documents, and supporting the tender process.
- Monitored and searched for potential customers and tenders.
- Coordinated project commissioning."
427," ""MARKET DATA ANALYST
Procter & Gamble, Warsaw - Oct 2020 to June 2"
428," May 2021 - Present
Company: ""Maliukin""
- Personal Assistant: Manage documents, perform financial accounting, conduct information research, plan weekends, order office supplies, arrange car services.
- Junior Project Manager: Conduct daily meetings, retrospectives, and planning; oversee task implementation in projects; map workflows and identify losses using Lean methodology.

May 2020 - March 2021
Company: ""EVO"" vector Prom +
- Technical Support Specialist: Advise merchants on technical issues via email and messengers; create tasks for developers.

October 2018 - February 2020
Company: Poster POS IT product company
- Information Manager: Identify client needs, handle challenging situations, liaise with clients.

July 2015 - April 2018
Company: Red Bull
- Brand Manager (Wings team): Communicate with a diverse group of people, present products, assist in organizing sports and city events. Gained unique experience in mass communication and brand promotion."
429," Ministry of Digital Transformation (Ukraine)
Project Manager, 20XX-20XX

* Led the development of the e-gov portal ""Diya. Digital Hromada"" by agreeing on requirements with 30+ stakeholders, including state and local authorities.
* Built and managed a network of 30 remote-working lawyers, resulting in the launch of the world's first training program for aspiring community human rights defenders.
* Coordinated the creation of 10+ laws and other legislative acts, following meetings and negotiations with hundreds of stakeholders.

Project responsibilities:

* Managed the project team for ""Diy. Digital hromada"".
* Identified and documented customer requirements and expectations for functional and non-functional aspects.
* Conducted stakeholder needs assessments and negotiations with potential developers.
* Prepared and managed project documentation.
* Coordinated and controlled remote team members.

Key achievements:

* Agreed on requirements for the portal with 30+ stakeholders, created a roadmap and Terms of Reference, and completed procurement procedures.

Previous experience:

* Project Director, The Global Fund to Fight AIDS, Tuberculosis and Malaria
* GR-Director, NGO Donbas SOS (Ukraine)
* GR Adviser, Convictus (Sweden)
* PM, civil-sector projects

I am now seeking to leverage my 8+ years of experience in managing civil sector, government, and international projects to begin a career in IT project management."
430," Expertise in creating and implementing an anti-café project from scratch

Mobile Application ""GiftWizzard"" (Product Owner & Project Manager) | May 2023 - Present

* Developed project documents including SOW, Stakeholder Register, Project Risks, RACI Matrix, Critical Path, Test Plan, Performance Tracking, EVM, Budget, and Closure Checklist.
* Overseeing the development of an MVP for a smartphone application that suggests gift ideas and assists in online product finding based on users' interests and preferences.

Grape Advertising Agency (SMM - Moderator & Content Manager) | 2011-2019

* Wrote and coordinated responses to social media comments according to brand tone-of-voice.
* Compiled monthly group activity statistics and monitored competitions, data collection, and gift delivery.
* Wrote and placed content for commercial groups and designed stories.
* Achieved: Writing comments that enhanced engagement and audience loyalty.

Anticafe Moloko (Co-founder, Administrator, Event-manager, SMM - Manager) | 2013 - 2014

* Developed the idea, positioning, and business plan for an anti-café project.
* Organized all processes, repair, interior design, furniture manufacturing, activities, SMM, and other advertising activities.
* Achieved: Creating and implementing an anti-café project from scratch.

Highly motivated manager with 13+ years of marketing and advertising experience. Skilled in Project Management, research, organization, planning, teamwork, communication, problem-solving, and more."
431," **[Your Name]**

* [Your Contact Information] \

**Objective:**
Seeking a Project Manager position to contribute my 4+ years of recruitment experience, team management skills, and knowledge of the IT industry. Excited for opportunities to enhance my skills in project management and take on more responsibilities.

**Skills:**

* Recruitment strategy development
* Team management
* Communication with hiring managers
* Training program development
* IT roles, technologies, and processes
* Online coursework for project management (Techmind)

**Experience:**

* Currently managing a team of 4 specialists in recruitment
* Built recruitment strategy leading to successful hiring across various IT positions
* Communicated with hiring managers to establish criteria and select search methods
* Developed training programs for researchers and recruiters
* Proven track record of successful team management and leading to company goals

**Education & Professional Development:**

* [Your Degree] in [Your Major]
* Online course for Project Managers (Techmind)
* Currently reading: books about development management

**Goals:**

* Successfully complete projects through effective planning, coordination, and risk management
* Contribute to budget, quality, and time management
* Demonstrate leadership and problem-solving skills
* Continuously enhance abilities through learning and development opportunities."
432," Sure, here is an improved version of your resume:

Experience:

* Private English Tutor (>2 years): individual lesson planning and implementation, speaking clubs organization and conduction.
* Team Leader and Project Coordinator, AIESEC (>1 year): managed team members, organized middle management's work, and coordinated international volunteer projects.
* Incoming Global Volunteer Product Manager, AIESEC: selected potential exchange participants through CV screening and interviewing, created contracts, managed risk, conducted follow-ups via tracking systems and CRM (Podio, EXPA), arranged calls with foreign partners and developed partnerships, managed a team.
* Talent Manager, AIESEC: managed a team, conducted one-to-ones, screened and processed incoming applications, matched talents to positions, created reports in Google Sheets and performed reporting and analysis, analyzed team performance, used Miro, Trello, and created and managed dashboards.

Skills:

* Team management and leadership
* Talent coordination and development
* Lesson planning and implementation
* Speaking club organization and conduction
* CV screening and interviewing
* Contract creation and risk management
* CRM and tracking system management (Podio, EXPA)
* Call arrangement with foreign partners and partnership development
* Google Sheets reporting and analysis
* Miro, Trello, and dashboard management

Expectations:

* To work in an open-minded team with people willing to work on themselves and help others learn and develop professional skills.
* To find an environment that aims to accept and support prospective students."
433," Here is your improved resume:

Project Manager & Personal Assistant

Projects:

* Managed 7 projects for keepwine.com.ua, taking an active role in their success
* Served as Project Manager for a company specializing in international exhibition stands, leading a team of 4 and overseeing 3 projects from conception to completion
* Utilized both Agile and Waterfall methodologies, as well as company CRMs

Furniture Business Project Management:

* Worked as a Personal Assistant for my father's furniture business, gaining experience in project management, documentation, finance, and administration
* Designed and developed a website, financial sheets, and document templates
* Led the development of a heating system for a 400 sq.m. workshop
* Assisted in administering the workshop and managing furniture assembly on-site

Communication & Language Skills:

* Confident in negotiations, communication, and reporting results
* Experienced in pitching ideas
* Fluent in English, with the ability to write technical articles and poetry

Preferred Work:

* Seeking non-routine positions with a flexible schedule"
434," Here is your improved resume:

**Project Manager**

* Managed over five complex projects simultaneously, related to content production, influencer marketing, and advertising on Instagram, YouTube, and TikTok.
* Collaborated with international stakeholders in the USA, Canada, Russia, France, Italy, Dubai, Kazakhstan, and elsewhere.
* Launched complex projects, defining and ensuring understanding of all requirements and KPIs.
* Organized and controlled planning, managed tasks, and stakeholder expectations.
* Facilitated regular client meetings, provided progress reports, and presented project results.
* Managed project budgets, quality, and deadlines.
* Coordinated internal communications with daily or weekly team meetings, retrospectives, and conflict resolution.

**Certifications**

* IT Project Management Course (IAMPM)

**Tools**

* Confluence, CRMs (Salesforce, Amo, Bitrix), Trello, Asana, Notion, Jira/Confluence, Microsoft Office, Google tools
* Familiar with Figma, Miro

**Other Experience**

**Head of Client Services**
* Superludi Business School | Aug 2019 - Nov 2020
* Managed key stakeholder relationships, developed long-term strategies, and handled complaints.
* Authored work algorithms, communication scenarios, and service quality control processes.
* Provided regular reporting and performance reviews.

**Client Services Engineer (International Team)**
* SupportYourApp | Sep 2018 - Jan 2020
* Collaborated with various IT companies' developers.
* Mastered product expertise, ensuring customer satisfaction.
* Regularly assessed skills and conducted performance reviews.
* Mentored and assisted with team member onboarding.
* Enjoyed a friendly team environment with growth opportunities and work-life balance."
435," Here is your improved resume:

---

**Software Development and Project Management Professional**

*Equipped with a strong understanding of software development methodologies and project management plans and registers*

**Expertise:**

* Proficient in Agile methodology, Scrum, and Kanban frameworks
* Experienced in using Jira for tracking progress and writing user stories with acceptance criteria
* Skilled in using Miro for creating boards and GanttPro for planning and coordinating projects
* Proven ability to establish a friendly environment and trust with team members
* Demonstrated problem-solving, critical thinking, and leadership skills

**Projects:**

* Developed an app called 'Mandruy' (Ukrainian for 'travel') as part of an educational course
* Implemented Agile methodology, Lean Canvas, Mind Map, Outline, and prototypes for the project
* Used Kanban board within Jira Software to monitor progress and created a Road Map and Gantt Chart for the project
* Received valuable feedback from mentors during the project pitch

**Motivation:**

* Seeking to be a part of an upcoming IT company that provides opportunities for further development and continuous growth
* Passionate about working with talented and creative people, managing interesting projects and tasks
* Committed to achieving any goals and showing enthusiasm and willingness to be useful to the company and the team

---"
436," Here is your improved resume:

Education and Project Management:
- Proficient in project management, including initiation, estimation, requirements development, budgeting, timeline creation, release management, etc.
- Experience in communication with developers, including technical requirements development, role definition, product roadmap creation, task and release evaluation, and product requirements documentation.
- Skilled in people management, encompassing recruitment, onboarding and adaptation, performance review, motivation, conflict mediation, delegation, and termination.

Short-term Project Experience:
- Analyzed a product and identified organizational gaps.
- Collaborated with the CEO to establish business strategy, set goals and milestones, and create a work plan.
- Rebranded the company by developing a new concept and implementing it.
- Designed and launched a fully functional website on Tilda, incorporating CRM features.
- Conducted marketing research, consisting of target audience definition, competitive analysis, and tone of voice development.
- Supported the recruitment of a targeted specialist."
437," Goal-oriented professional with 12 years of sales experience in both B2C and B2B contexts, including 3 years in Business Development. Demonstrated history of resolving issues between companies and clients through negotiation and communication. Experienced in leading projects, motivating team members, and providing support. Excited by challenges and committed to continuous learning, as evidenced by recent Project Management courses.

Professional Experience:

* Business Developer, [Company Name], [Location] (3 years)
	+ Collaborated with Project Managers and Product Owners to drive business growth
	+ Resolved conflicts between companies and clients through effective negotiation
	+ Assisted in project management and provided team support
* Sales Representative, [Company Name], [Location] (9 years)
	+ Built and maintained client relationships through proactive communication
	+ Consistently exceeded sales targets through goal-oriented approach

Education and Training:

* [PM Course Name], [Course Provider], [Completion Date]
* [PM Course Name], [Course Provider], [Completion Date]

Skills:

* Sales and Business Development
* Project Management
* Negotiation and Conflict Resolution
* Communication and Relationship Building
* Goal-Oriented and Motivated"
438," Certificates:

* Project/Product Management: Foundations of Project Management by Google, Agile with Atlassian Jira, Product Management at Kyiv Academy of Media Arts.
* Web Design: Web-Design. Beginning at Projector, Front-End. Beginning at Projector.

Experience:

* Project Management: Contributed to project planning and task setting for 2+ projects simultaneously. Managed internal and external communications, and organized and facilitated meetings for teams. Researched and implemented necessary tools for efficient project performance, mainly Agile frameworks.
* Web/Graphic Design: Created wireframes, visual mockups, and prototypes for websites. Researched and implemented results into specific web design solutions. Designed and realized websites and email templates on Tilda and Wix. Handled full-cycle branding of events, including logotypes, posters, banners, brochures, and visuals for social media.

Seeking new challenges and opportunities to further develop my soft and hard skills."
439," Experienced Project Manager with a strong background in construction, now transitioning to IT Project Management. Proficient in utilizing project management tools such as Jira, Confluence, and Slack. Recently completed online courses in IT development and have a fundamental understanding of Agile methodologies (Scrum, Kanban) and Waterfall.

Equipped with soft skills including project administration, business communication with clients and within teams, strong time management, work prioritizing, and a high sense of responsibility. Proven track record of completed projects and minimal job changes throughout my career.

As a refugee due to the war in Ukraine, I am currently seeking opportunities as a Junior IT Project Manager or Scrum Master and am available for online interviews to showcase my qualifications."
440," Accomplishments:

* Demonstrated increased stress resistance and personal growth through perseverance in the face of war.
* Volunteered with local Ukrainians who were also displaced, while balancing a tight schedule and excelling in studies and work.
* Learned basic marketing in one semester and became a shift leader within a month at work.
* Developed a loyal student base and helped them communicate effectively with natives.
* Completed an extra science work in university semester, showcasing strong time management skills.

Experience:

* Volunteered in a challenging and exciting project for internally displaced persons in Lviv, Ukraine.
* Took on the role of shift leader, responsible for organizing and leading the team in a chaotic new environment.
* Implemented a resource accounting system, consistent schedule, and reorganized storage.
* Facilitated communication with higher management, resulting in improved daily processes and a positive impact on the community.

Skills:

* Strong time management and organizational skills.
* Ability to adapt and excel in new and challenging environments.
* Proficient in basic marketing.
* Experienced in leading and volunteering in community projects.
* Excellent communication skills."
441," Here is your new resume:

Accomplished professional with experience in project management, economics, sales, and R&D. Skilled in working with big data, analyzing sales techniques, and building communication with stakeholders. Proficient in Excel, 1C, Jira, Trello, Confluence, and MS Project.

Projects:

* Satrap project for freight: expanded functionality, improved quality, contributed to construction and launch of monetization system
* Online platform for freight (startup): improved mobile app quality, identified software bugs, extended functionality, optimized business processes
* Fintech company: analyzed global market innovations, participated in implementation of user verification through Bank ID system

Education:

* Project Management course at Hillel IT-school, 10.2021

Experience:

* Economist, pharmaceutical company: gained experience in working with big data, attention to detail, and analytical skills
* Sales representative, FMCG company: learned proper communication, sales techniques, and handling objections
* R&D manager, Fintech company: searched and analyzed new market, product, and technological innovations, participated in Bank ID system implementation

Key skills:

* Project management
* Economics
* Sales
* R&D
* Big data
* Excel
* 1C
* Jira
* Trello
* Confluence
* MS Project

Professional strengths:

* Well-organized and transparent motivation and incentives system
* Acquiring new knowledge and experience
* Teamwork."
442," Coordination of Volunteers, Publishers' Forum in Lviv

* Designed registration form, recruited, and trained 2"
