,CV
110,"My passion about design helped me to create a design concept of a scientific social media website as a visualization of my own PhD thesis results. I also created a concept of a website for searching medicines analogues abroad.
Working as a PhD researcher at the university allowed me to practice a lot in conducting surveys and interviews, analyzing data, and approving author's decisions. My experience of working as a sales manager developed my skills in communication with customers to identify their needs, and organization of teamwork as well.
I am an aspiring UX/UI designer looking for a challenging role in a creative team to improve my skills. I adore creating user friendly, aesthetically pleasing design that matches clients' needs. In my opinion a good design should not only loot attractive, but also be intuitive and engaging. I am consistently looking for innovative design solutions to provide user-friendly digital products.

I am experienced in working with Figma, Adobe Photoshop and Illustrator, familiar with work on Webflow and keep on learning about other design tools. My experience includes projects where I developed design for landing pages, websites, and mobile applications. In a working process I implement basic design principles (color theory, typography, responsive design, layout principles, etc.) with understanding of main design process stages, from user research and concept development to prototyping, testing, and product delivery. I understand the importance of working collaboratively with development and QA teams to identify and resolve issues in the early stages of the development cycle. 

My expertise includes:
- strong knowledge of design principles, UX laws, color theory, responsive design, typography, and information hierarchy;
- designing flows, wireframes, mockups, visual designs and prototypes for landing pages, websites, and mobile applications;
- providing user-centered design principles and methodologies;
- conduction of user research and data analysis;
- creating style guides, UI kits; working with design systems.
- critical thinking, willing to learn new skills and instruments;
- knowledge of HTML/CSS basics.

I like challenging myself with interesting projects, finding creative solutions. I am constantly striving to stay up-to-date with the latest design trends. I am excited about the opportunity to growth and learn as a part of a talented team and to contribute success to the company.
"
111,"Successfully completed a profound course in UX/UI design, 
was working on a variety of digital products during it, including mobile applications, websites, and e-commerce platforms.
I am an aspiring UX/UI designer who delivers quality and agility creating designs that inspire and leave a lasting impact while paying attention to all your wilder ideas.

Skilled in design, prototyping, and user research including user interviews, surveys, and usability testing. Experienced in working on a variety of digital products, including mobile applications, websites, and e-commerce platforms. Altogether it enables me to create digital products that effectively meet the needs of users and solve the main pain points while achieving the goals of the business.

The design process is rooted in a deep understanding of user behaviour paying close attention to details, such as typography, colour, and layout, to ensure that every element of the design is aligned with the user's needs.

During the course in UX/UI Design, I was working on different projects in different fields. A big part of my training was focused on UX research and all the designs were the results of that research.
I'm passionate and open to different projects in a variety of fields and believe that can make a great contribution to them."
112,"Gained profound knowledge and practical skills in Figma. 
Successfully used it along with Adobe products while working on web services and landing pages design. 
 
Developed three full cycle design projects (conducted research, made profound color and typography analysis, was in charge of naming, designed wireframes and user interface, created adaptive versions and presented clickable prototypes. 

Fluent in English, experienced in business communication and  public speaking.
I am an empathic Junior UX/UI designer creating pleasant and effective visual trips through understanding of human behavior and companies' uniqueness. 

Along with constant development of core UX/UI skills, I support and actively use my strong skills in time management, teamwork, brainstorming and public speaking.

I am currently looking for a position in a company that creates useful and innovative products. For me it is crucially important to understand the decision-making process in design teams, as well as to use my interests, skills and previously gained experience to make these products unique and valuable.

My experience includes individual and group projects performed in Figma, with extra usage of Adobe Photoshop, Adobe Illustrator and Adobe Lightroom.

⁃ 'PAWSHUK' / website design.
'PAWSHUK' is a lost-and-found service that helps owners to find their missing pets. Considering the results of users' needs analysis, this project was designed on three basic features: simple, effective, friendly. They were implemented through clearly visible reach points, logically based user flows, positive and encouraging visual components. The project includes three adaptive designs (desktop, tablet and mobile).

⁃ 'Logan's Candies' / website redesign.
The challenge was to create a vintage-inspired design for a family candyshop that has been keeping tradition of candymaking for 90 years, and enjoys social media success with 8 million followers. Using brand colors and simple forms, emphasizing crucial benefits, building clear hierarchy throughout the website - defined its laconic and convenient design. The project was also adapted for tablet and mobile.

⁃ 'Art in the city' Urban Fest / landing page design.
This project is aimed at presenting the most prominent forum about implementing visual art into the public space of Bucharest. It presents a simple and easy-to-use layout packed in a laconic design that resembles graffiti magazines.
I am eagerly looking for a position in a company that creates useful and innovative products. For me it is crucially important to understand the decision-making process in design teams, as well as to use my interests, skills and previously gained experience to make these products unique and valuable."
113,"I have 2 own cool educational projects (Landing page ""Design MeetUp"" Redesign of the Indian Cafe) created from scratch using various techniques and technologies (Analysis, Wireframing, Prototyping, Adobe Illustrator, Adobe Photoshop).
I took an active part in the project (Medical service), where I learned better how to work in a team and develop different solutions.
I am an energetic and motivated novice UI/UX Designer seeking a challenging role in a dynamic organization to utilize my skills and experience in designing innovative user interfaces and user experiences. I appreciate a good teamwork process and the desire to develop myself and my skills in UI/UX design.

MEDICAL SERVICE 
For the past 40 years, doctors have spent most of their working time filling out consultation reports, which is a very large expense for medical institutions around the world. Therefore, we create a web service interface for conducting online calls between a doctor and a patient; gave the opportunity in a private clinic for a doctor to review a visitor's medical history, schedule an appointment with the patient in the calendar, and conduct an online call between the doctor and the patient. We worked out the main pain points of users and did everything possible to make it more comfortable and easier for them to use our web service. Also analyzed cool features that already exist and implemented them as well. Work in group with Dominika Ganzhala and Maryna Borovikova
RESEARCH:
- Competetitive analisys
- Brainstorm
- JTBD
- Personas
- User Flow
- CJM
For part of research we use: Zoom, Slack, Semrush, SimilarWeb

DESIGN:
- Wireframes
- UI Design
- Adaptive
- Prototyping
For part of design we use: Figma, Photoshop, Illustrator

TEST:
- Corridor testing
- Five seconds testing
For part of testing we use: Maze

REDESIGN OF THE INDIAN CAFE
This project is an updated website for a India cafe located in USA. The design of the existing site looks outdated, not very convenient, has low-quality photos and too much unnecessary information and unnecessary noise. Therefore, the goal of the project was to create a modern and convenient design.
PROBLEM:
- The design looks cheap and uninteresting.
- It is not clear how exactly to order on the website.
- The navigation is not clear.
- There are no pictures of all dishes in the menu.
- For additional questions, you need to call (which many people don't like).
SOLUTIONS:
- Stylish and easy site design.
- Many high-quality and appetizing photos of the restaurant's dishes are used.
- Additional information about the location, hours of operation and contacts is provided in a clear and minimalistic way.
- The menu immediately has a choice of food or drinks.
- The entire menu is concisely arranged in groups with understandable prices and ingredients.
ACTIONS:
- Сompetitor analysis
- Wireframes
- UI KIT
- Adaptation
I expect to accept interesting and innovative projects, to have cool communication with everyone in the project team and to improve my skills all the time."
114,"
I am an enthusiastic design newcomer, specializing in Web and UI-UX design with great potential and endless willingness to learn. I've completed a design course, during which I've worked on several projects, such as creating a full-cycle design for a mobile application, web service, landing page, etc. I am quite good at working with Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Miro, and Canva. I also do UX research. My goal is to create innovative solutions that will improve people's lives and help companies achieve their goals. I can prove myself as a responsible, reliable, organized, and efficient player of our team.
- ShopSmart (Web service/Mobile app)
A mobile app that is designed to make your everyday shopping routine easier and more satisfying
- UAdvisor (Web service)
A web service for Ukrainian refugees to find help, support, and shelter abroad
- CBD (Website redesign)
A full-cycle redesign of an event planning company's website
- Focus on results, design, and open team
- Mutual respect and a friendly atmosphere
- Possibility of partially remote work
- Corporate training and development with the company
- Career growth"
115,"Skills:
	•	UX/UI Design: Creating appealing and functional designs adapted for various platforms.
	•	Figma and Photoshop: Proficient user capable of producing high-quality layouts and prototypes.
	•	Communication: Effectively interact with colleagues and clients to understand and meet their requirements.
	•	Time Management: Efficiently plan tasks and manage time to achieve set goals.
	•	Responsibility: Diligently fulfill responsibilities, even under pressure and tight deadlines.
I am an good UX/UI designer with excellent communication skills, successful teamwork experience, outstanding time management, and responsibility. My skills allow me to create stunning user interfaces and designs while ensuring the usability of products and services. I specialize in designing landing pages, web services, and mobile applications.

Work Experience:

Doctor of veterinary medicine (2019-2023) at a center specializing in veterinary surgery, oncology, and intensive care. During this time, I gained valuable experience in communicating with clients and handling stressful situations. This role allowed me to develop strong skills in both animal care and interpersonal interactions.

UX/UI Designer study | GoIT| 06.2023- Present
	•	Developed user interfaces and designs for websites, landing pages, and mobile applications.
	•	Worked closely with the development team to optimize user experience.
	•	Prototyped and tested designs using tools such as Figma and Photoshop.
	•	Ensured meeting deadlines and completing tasks in accordance with project requirements.

Education:
Master degree of veterinary medicine| Sumy National Agrarian University (2022)
"
116,"Competitor analysis, simple UX research. Development and design of landing pages, web services, mobile applications. Prototyping and animation creation
I am a novice UI/UX designer, ready to actively learn and develop while mastering new skills. I have basic knowledge and practical experience innWeb-Design, UI/UX Design and Mobile Design. I create usable and effective designs from a sketch to a finished product. I am constantly working on self-
improvement and looking for a company where I could be useful.

Car control mobile App
Study case, full cycle design
The goal of the project is to create a mobile application for remote control of a
car equipped with a satellite security system. Іn two months, I did market
research, worked out the user flow, designed wireframes and finished the UI
design of more than 60 screens.

Medical web service
Study case, mobile adaptation
The main goal of the project is to provide a web service interface for
conducting online calls between a doctor and a patient. In the course of the
project, three main areas were identified: the development and design of the
site for the clinic, the doctor's cabinet and the personal profile for the user.
Work with the latest technologies and tools
Career growth
Corporate training and development within the company
Mentoring from more experienced colleagues"
117,"I am that comand successfully developed a mobile application that aims to simplify the process of reserving tables at restaurants.

This project has been a rewarding experience for us. In today's fast-paced world, where convenience is highly valued, we decided to create an app that makes booking tables in restaurants easier and more efficient.

Throughout the development process, we paid close attention to every detail. We conducted thorough research, analyzed competitors, and studied the needs of our target audience to ensure that our app meets their expectations.

The result is a sleek and user-friendly design that allows users to quickly find and reserve tables at their favorite restaurants with just a few taps. We've also included a feature that enables users to browse the menu and even pre-order their food, providing an enhanced dining experience.
I am a novice UI/UX designer with a strong interest in creating attractive and functional user interfaces. My goal is to design products that not only effectively solve user problems but also offer a pleasant and convenient user experience.

My skills include conducting user research, creating information architecture, developing wireframes, and building interactive prototypes. I strive for each project to be deeply rooted in understanding user needs and goals. My approach to work is based on attention to detail and a commitment to excellence, and I am always ready to embrace new challenges and apply my knowledge to achieve success in projects.

I am communicative and collaborative, and I know how to work effectively in a team. My passion for continuous growth allows me to be adaptable and ready to take on new challenges. I aim to become a sought-after and successful UI/UX designer who creates meaningful and useful products for users.
"
118,"Was a team leader in two projects ""ClinicMed” and ""Giferia”. I have 2 own Pet-projects. Participated in a social project: development of a website for volunteers.
I am an Ui/UX designer working at many directions from mainly web services, websites and mobile applications to design management, UX research, prototyping and product design.

My first project is a medical web service to connect patients with doctors with further consultation, the second project is a mobile application to select and send gifts to their loved ones, the stages of projects are as similar as possible, namely: Research (competitors, references, analyze target audience), User personas (create user personas and JTBD, MVP/MMP), User flow (make a CJM and user flow), Wireframes (lo-fi wireframes concept start), UI Kit (Develop a UI and key components) and Prototypes (Final step Interactive model). As a leader I performed the main functions at each stage, which we previously stipulated plus my responsibilities included solving conflicts and ambiguous situations, the final project vision, as well as correcting inaccuracies in the layouts of colleagues and the formation of a unified project model. also independently worked on the redesign of the site Grill-restaurant and several landing pages
I am interested in working in a creative and open-minded team to gain some useful skills and get experience to improve my future self."
119,"Designing the website for a blockchain traiding company from scratch.
Creating a corporate interective notebook for a employes anniversary in the company.
Creating istagram corporate post which then had been made as an example for the further posts. 
Created an animation for my case for Behance.
Hi! I am Graphic and UI/UX designer who is open for a challenging tasks.:)
I have been working in outsource company which specialized at Fintech and Blockchain. My main tasks were creating web and mobile apps from scratch. Our main market were USA, Canada and the UK. I enjoyed communicating with various clients and solve their problems. Moreover I was working on blockchain corporate project, which was a tokenized game.  

 Besides I also had various tasks for graphic design, so I was working on Brand Book, different corporate products like branding cups, hoodies, t-shirts, pens etc. Also I have been working on banners, printouts and posters in corporate style. Also one of the biggest thing which I am proud of is the stylish notebook which I have created for employees anniversary. My taks was to draw a different characters which then were implemented to the notebook. Also I was working on a different thematic pages in it.

Among office work, I also have been working on freelance basis and had various tasks like logo design for a Ukrainian bag manufature, was working on a redisign of a old fashioned website .

I am ready to study and will be happy to work among experienced designers and business analysts, and get the feedback from them about my work!
I am looking for a friendly team and structured, clear tasks with adequate deadlines. Can not convert my own design to HTML."
120,"
I am an expert in UX/UI Design and Product Management with 8+ years of experience. I create custom intuitive designs for mobile apps, websites, and web applications. I have a focus on creating forward-thinking digital experiences and user flows. 

I have worked on a broad range of projects, including large enterprise products, and developed strong skills in web development, web design, re-design, and maintenance. I specialize in UI/UX & Interaction design with a keen interest in design systems.  

Working in web and mobile product design, I have created and currently creating products for the largest cinema networks. Among my clients are one of the largest cinema chains and one of the largest networks in the world (CGV Cinemas).  

My experience is not only related to design. I study markup and programming languages (HTML, CSS, and javascript) and work with developers every day. Therefore, I'm always thinking about those who will work and support the project after me.  

My primary skills and areas of service are: 
 User Interface Design (UI); 
 User Experience Design (UX); 
 Responsive Web Design; 
 Mobile Design; 
 App Design; 
 Components Design; 
 Wireframes; 
 Prototypes;  

Tools: 
 Figma / Adobe XD (design, design collaboration, prototyping) 
 Photoshop / Illustrator (image manipulation) 

 I will be glad to know about your project and help you with all your needs. Please contact me today, and let's discuss your project. I am ready to start working right away!
"
121,"I was engaged in building a design process, carried out mentoring work, independently found clients, and skill-up for staff.
I take part in updating the official website, and logo redesign for sites and applications.
Hi, I’m a Game UI/UX designer with UI Artist and animation knowledge since 2019. Before, I worked as a web designer since 2015.
I know a full circle of projects and understand the code (html, css, js). In work use Figma, Adobe Photoshop, Unreal Engine 4, and Unity.
Responsibilities:
• Develop intuitive UX flows that are aligned with the overall design of the game.
• Create UI screens and UI elements, and prepare assets for the programmers.
• Communicate UX vision and design ideas to team members, and collaborate to get designs in-game.
• Support the development of the game with any additional skills.
I learn something new every day, and I am interested in learning languages. I go in for sports (basketball, Brazilian jiu-jitsu), practice yoga, and have a sporty and healthy lifestyle. I teach design at IT Academy (Lviv).
a friendly team focused on the useful result of the product, working flexibly and valuing each team member."
122,"At the moment, there is already a released mobile casual game, in the development of which I participated
I am a game UI/UX designer/artist at the Ukrainian game company.
I create UI visuals for casual games from concept to final rendering and preparing sprites for further development in Unity. I work with a team of designers, managers, 2D and 3D artists, programmers.
My task is to research game interfaces and functional solutions, develop a convenient, visually attractive and unique interface, create additional game interface materials (logos, icons, buttons, pop-ups, unique mechanics), monitor the further layout of the interface in engines and stay up to date with the latest UI/UX design trends and techniques.

Graduated the Kyiv National University of Construction and Architecture and has a bachelor's degree in ""Artist-performer"".
Now I am looking for a job on interesting and varied tasks in which I can use my knowledge and skills. A strong team with which I will exchange experience."
123,"- Graduated with honors from Web Design courses and supervised the final group project
- successfully organized the printing of materials for two exhibitions in different cities at the same time
- developed a welcome-box for new employees of the company
- 248+ successfully completed projects
- 3+ years of experience
- completed courses in English in 2022 with honors
- I continue to work actively even in this tough times
I am a UI/UX game designer with 4 years of commercial experience in Design, and 2 years of commercial experience in GameDev. 
I have worked on many different types of projects such as mobile shooters, educational games for kids, tactical MOBAs, multiplayer casual games, etc.
 	I'm the kind of developers who plays on in their spare the games they've worked and always trying to keep up to date with the latest changes.
	My responsibilities include participating in and supporting the full cycle of creation UI and UX: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation (in Unity3d, with/without developer help), and participation in game tests.
	I use Figma (for UI, vector graphics and animation), Photoshop (raster graphics), Unity3d, Jira and Confluence, Plastic SCM on a daily basis and am ready to learn new technologies.

Some facts about me:
    Led full UI development for an educational mobile game for kids with over 100,000 downloads
    Participated in the development of AAA PC MOBA
    Successfully and on time, completely updated the design and transferred to the mobile platform a PC simulator for cybersportsmen
    Have experience creating game graphics on a graphics tablet
For me, the ideal company is one that you can proudly tell your friends about. This is a friendly team, high-quality projects and sensitivity to each employee. Whether it's a big company or not, the main thing is that it creates the impression of a cozy place. I am interested in participating in both large projects and small ones, of varying complexity (because the more difficult it is, the more interesting), where you need to think a lot and learn new things. To take part in something innovative is my dream"
124,"
UX/UI Designer (2020-2022)

2-st half of the Year
- developing indie game's interface based on the UX Research, which was done by my own. 
- Create Low-, High-Fidelity wireframes
- Work side-by-side with developers and game designers
- Make the surveys and exercises for providing the great user testing to understand the game as deep as we can

1-st half of the Year
- developing UX/UI solutions using a user-centered design
- be able to conceptualize ideas as a low fidelity wireframe through to an interactive visual designs or prototypes
- building and design site maps and information architecture
- understand and demonstrate how a design builds from core user needs to add value in ways a user may not have considered 
- illustrate design ideas using storyboards, process flows and sitemaps
- developing adaptive and responsive UX/UI wireframes 
for web-based applications
- consider negative paths and ensure design cover full customer loops
- CJM and guides to support product vision
///

Visual and Graphic Designer (2019-2022)
key responsibilities at the job:
- creating logos and conceptual identity, banners, posters, ads
- generating ideas and style, closely monitoring design trends
- being attentive to details, being able to structure the results of your work
-presenting ideas and sometimes defending them in front of the client
Working with the strong team and implement my decent knowledge to the product as good as possible."
125,"I am well versed in the aspects of copyright, which helped companies work safely in the legal field. I periodically engage in social projects, that help improve the urban space.
I am a speaker at IT events, I am one of the organizers of the Mykolayiv Design Community.
- Designing user interfaces from scratch for mobile, desktop applications, and gaming projects.
- Proficient in using deep UX methodologies to create high/low wireframes, user flows, journey mapping, persona creation, and detailed interactive prototypes.
- Skilled in creating and maintaining design identity for products and brands, including designing logos, corporate styles, guidelines, and brand books, and any another graphic supply.
- Capable of developing atomic design systems for websites, applications, and gaming projects.
- Providing high/low design estimation for projects of any complexity.
- Able to conduct design reviews and effectively incorporate feedback from design leads and clients.
- A highly communicative team player who enjoys working in teams with a deep integration of various specialists into one process.
- I resides outside the city in a self-sustaining house and has an exemption from military service due to family reasons.
The main request is full-time work, with minimal bench periods.
It would be good to have friendly and sociable colleagues at work.
It would be good if the workflow was not too full of reporting and tracking."
126,"
Lead Game UI/UX Designer • Obrio (Genesis)
January 2021 to August 2022 (1 year, 8 months)
Project: Factory Empire - mobile casual casino

Created more than 15 features from scratch
Creating of basic style and color system for UI
Creating game design documentation
Conducting market and competitor researches
Creating video prototypes for features
Designing features from scratch
Creating and updating the UI kit
Mentored junior designer and managed the team
Tracked product metrics using devtodev.com
Presenting results for a team

Achievements as a mentor
Judge and Mentor at the Genesis GameJam 2021 Recorded lecture about Game UX for Projector Institute (Course Game Design Beginning)


UI/UX Designer • Evoplay
February 2020 to January 2021 (11 months)
Project: Various Gambling projects
Supporting mobile and web product
Creating and supporting UI-Kit
Work with breakpoints
Design mini-features
Creating illustrations for features


Product Designer • Aimbulance
September 2019 to February 2020 (5 months)


UI Designer • Under NDA
September 2017 to September 2019 (2 years)
"
127,"I created many logos and styles, outdoor advertising, which now adorn Kyiv , Kharkiv and other cities. I have experience of working with European clients
Hello! I am a designer from Kharkiv with over 10 years of experience, I have a graphic and UI/UX background. For several years I worked in advertising and marketing agencies and printing houses. 

Before the war, I worked with leading Ukrainian real estate companies, as well as a freelancer. The main direction was the creation of an identity for the company. 
I created many logos and styles that now adorn Kyiv, Kharkiv and other cities of Ukraine and Europe (they can be found in my portfolio). I also have some experience in the field of website development on the Tilda constructor

I offer a full range of graphic and UI/UX design services:
- creation of lending page, website
- UX research
- creation of logos
- design of social networks
- layouts for printed materials
- presentations
- outdoor advertising
- transport branding
- and much more.

Personal qualities:
- Excellent organizational and planning skills; - Strong team player; - I like the user-friendly design.
I look forward to working with you and getting to know you and your business. I have a strong desire to grow and develop as a UX/UI designer."
128,"I was leading UX/UI design project at startup Stress Point Health Ltd. I designed this project from idea through problem-solving all the way to full UI.
I am a remote Graphic, UI/UX Designer from Ukraine with 4+ years of experience in creating user-centric designs for people who work with complex and specialized software products including SaaS services, web apps, and mobile apps.

UX/UI Designer - ManyRequests [Aug2020 - Nov2020]
Key Responsibilities:
- Rework UX & UI of an existing product to make it more friendly for users.
- Quickly iterate and offer versions based on design feedback, learning from user testing or feature response.
- Create on-brand design solutions that meet measurable business goals and requirements.
- Integrate new features to the platform according to the user's needs.

Product Designer - Stress Point Health Ltd [Apr2018 - Jun2020]
Key Responsibilities:
- Creating a mobile app for patients where they can have access to treatment that helps to neutralize the effects of stress, anxiety, or trauma.
- Designing from idea through problem-solving all the way to full UI. 
- Combine different types of metrics and visualize them in an understandable way for humans.
- Providing wireframes, user journeys flow, and prototypes to testing.
- Facilitating usability testing sessions with 22 volunteers in the first pilot study to ensure we are solving all the possible usability problems.

UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- As the one and the only designer taking a leadership role in all design decisions.
- Designing every single visible pixel from websites to all print materials and infographics.
- Analyzing brief to scope and defining user experience approach, activities, and ways of working. 
- Translating concepts into wireframes, designs, and mockups for both B2B and B2C markets with the different design language and messaging.
- Redesign of the business presentations, logo, brand identity, visual design of existing websites.
Challenging tasks, area for growth and increasing responsibility as well as decision making. Management with an understanding of the user-centered design and design thinking approaches.
Regular parties! :)"
129,"
I spent the last six months as a Creative Intern at Phiture, a mobile growth consultancy and agency. My internship responsibilities included: creating illustrations and various design assets for the marketing team; adjusting designs to brand guidelines; print design; photo retouching; creating marketing assets for different clients (Ad Hoc Labs, Tipp24). I also took part in A/B testing for Adobe and assisted in Quality Assurance processes.
Before that, for 3 years, I was completing a Master's degree in design and journalism while working on non-profit projects for a charitable organization, thus honing my graphic and UI/UX design skills.
I have already worked a lot with vector graphics, icons and logos. My training projects are about application prototyping and branding. Also, I have some experience in video editing and motion graphics. In addition to skills directly related to design, I have the ability to work with large amounts of information and text, since I used to work in multimedia journalism.
"
130,"
I'm 3+ years experienced as a Graphic and UX/UI designer with design principles, knowledge, and discipline and I work with different companies and startups worldwide. I like to create stunning works by combining my design look and the client's request.

--------------------------------------------

COMPANIES:
I'm on the team of Eleven Kings Football Manager Game (Startup) that is partnered with Ronaldinho. I have about 3 years of experience in this company. It is Switzerland (Lausanne) based company. Eleven Kings has international team. I do different designs as a Graphic and UX/UI Designer. I design SMM Posters, magazines (EK MAG), Different Advertising Materials (Billboards, Posters, etc.), and UI designs. Available on the Play Store.

I'm on the team of Soccer City (Startup) which is a blockchain-based virtual soccer world. It is Switzerland (Lausanne) based company. I design different visuals for this company. 

I'm working as a Graphic designer for Mediamark Digital Agency with about 3 years of experience. We work with different companies in Mediamark. 

I worked with different clients worldwide on Upwork.

--------------------------------------------

SERVICES:
   UX/UI design,
   Mobile App Design,
   Web site Design
   Poster (SMM) Design, Advertising
   Magazine, Cover Design,
   Digital Design, Photo Manipulation, Photo Retouching,
   Logo, Branding, and Guidelines,
   Business Card, Flyer, Brochure, Banner, Roll up,
   Packing, Label Design,

TOOLS:
   Design: Adobe Illustrator, Photoshop, InDesign, Dimension, After Effects, Xd, Figma,
   Prototyping and Wireframing: Adobe Xd, Figma, InVision
   Task Management: Trello, Meistertask, Notion (other platforms)

--------------------------------------------

FEEDBACKS:
Orkhan Rzayev - CEO of Eleven Kings Game 
""Zeybullah's work is excellent. He understands the business and demonstrates that brilliantly with fantastic design creativity and execution that really wow us. He nails a brief perfectly. ""

Upwork client
""Zeyb is a very creative and experienced designer who applies his skills brilliantly. He has an excellent attitude which, when you are looking for perfection in the fine details, is so important. Highly recommended and I definitely expect to do more work with him.""

--------------------------------------------

Working with me, you will receive high-quality work with good-looking design, and progress until you are 100% satisfied. Constant communication at all times during the project.
"
131,"I have a great passion for learning foreign languages, film photography and painting.
After graduating from NTUU ""KPI"" more than 4 years I was working as a graphic designer. Starting from 2017 as a freelancer I was mostly focused on the design of print advertising materials.

From June 2018  until February 2020 I have been working as a full-time graphic designer in the marketing department of a large ukrainian company-manufacturer and distributor ""Pyramida Technik"". My main responsibilities revolved around assistance the marketing team in establishing different visual materials for social media campaigns, creating some presentations and design the print materials and a little bit later the redesign of the websites.

From September 2019 to March 2020
I collaborated with Camping Trade company as a freelance designer. together with another designers and developers we have established the website for GioStyle brand. Besides I helped create a lot of visual materials for social media.

February 2021 - April 2022
I have been working as an UX/UI designer in AltRecipe company
My main responsibilities were:
-Websites development (desktop & mobile);
-Analysis and improvement of existing interfaces; 
-Close interaction with the product team;
-Creating animations for the interfaces.
From April 2022 until May 2023 I have been working as a graphic designer for different French and Ukrainian companies, including Gr8Tech, Bourgogne en Douce and O4Dance.
"
132,"
Web-design development of design templates
website (UX-UI)
I have been working in the field of Graphic designer and Web design for almost three years, have experience in creating
Landing Page, as well as multi-page
sites with full consideration of user experience,
user interface and design adaptation for different
devices I have a basis in understanding the principles
graphic design, typography and color.
Participated in the development of the internet of stores and book publishing

In 2022, he worked in a Ukrainian book publishing house as a project manager in the website development department. One of the main tasks was the creation of a publishing house website and an online book store.
My main duties were:
- Market research of bookstores
- Creation of templates and prototypes for the site
- Website development on the Wbasyst and Wix platforms
- Work with hosting
- Recruitment of programmers for the project

3d designer in the field of visualization
(3D company ""Hover"" September 2020 - July 2022)

Reproduction and modeling of architectural
structures using the visualization method
data from photographs into 3D objects.

Extensive knowledge in the field of 3D design and a large
experience with such 3D editors as:
SketchUp, Blender and Zbrush

There is also basic experience required for
works of 3D objects of architectural structures


The experience of working in the Zbrush program was
connected precisely with the development of high
polygonal 3d models, various
characters

Fluent in programs: Figma,
Photoshop, Illustrator, Adobe XD

I also have experience working with Adobe After Effects
and Premier Pro
I aspire to engage in design development, and not only in the web sphere. I am interested in the field of graphic design: development of book covers, advertising banners, posters and invitations. Improve your skills and gain new knowledge."
133,"Participated in the opening of the restaurant at all stages of construction and promotion.
I rebranded the department of the university where I studied.
Tools:
Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Lightroom, Corel Painter, Krita, Zeplin, Blender, Unity...

Positions in the past:
 Illustrator (3 years)
 Graphic designer ( 5+ years)
 Marketer (2 years)
 UX/UI Mobile Design (1 year)

Special skills:
 UI/UX Design
 Prototype
 Graphic design 
 Vector Illustration
 2D Illustration
 2D Animation
 Understanding of Mobile Guidelines
 Knowledge of user psychology 
 Design flat illustration and animation
 Deep knowledge of advertising

Languages:
 English (Conversational)
 Ukrainian (Native)
 Czech (Beginner)
 Mandarin (Beginner)

Ready to relocate to any town and country.
Hello.
I am a graphic designer with more than 5 years of experience. During my work, I was the leading designer of the marketing department of a chain of jewelry stores, household chemicals stores, a restaurant, a children's store, an IT corporation, and others.
I am able to advise clients on the expediency and advantage of advertising, including many factors and user needs.

However, I am ready to work in the development department. And I am especially interested in the world of mobile applications.
I also cultivated my skills in illustration, shader animation, and UI/UX Mobile. And got basic skills in Blender and Unity 3D. Сreated prints for T-shirts, and covers for books, and also worked on creating my games.

I want to learn and develop and I am ready to move to other countries."
134,"
My name is Daria. Based on my many years in communications, marketing, management, and design, I believe that I have the necessary expertise and qualifications to fulfill your Company needs. I am both proficient and competent in my skills and knowledge. In my current role as Chief Business Officer for 3DTOUR AGENCY, I manage a team of developers and designers, develop strong relationships with clients, manage projects in innovative visual technologies field: 3D, 360photo, 360 video, aerial shooting, virtual reality (VR) and augmented reality (AR), and maintain a vibrant and ambitious attitude as a representative for my company. 
Despite my business education since I was a child, I’ve loved to draw illustrations and explore the world of art. And now, I am also passionate about working with visual instruments, color, digital space, combining function and aesthetics, communicating using digital tools, generating innovative ideas, creating emotions, and inspiring people. I have constantly studied (and continue to learn) design in different directions and aspects:
* Join online courses of UI, UX design, and Illustration technics 
* Practice academic drawing and photography 
* Create digital illustrations 
* Deepen my knowledge in Photoshop and Illustrator
* Read professional literature and Internet publications.
I possess a wide range of abilities that combine innovative art and design principles. Furthermore, my knowledge of Adobe Creative tools, project management, and marketing will allow me to play a valuable role in implementing your design initiatives.
The following are highlights of my skills and accomplishments in the design field:
* Lead a project of the website development team and worked on conception creation: user behavior, processes logic, functions, and design of the website.
* Lead a brand identity development process for numerous events (educational and sport, private and public). 
* Developed different marketing materials (logos, brochures, newsletters, infographics, presentations, and advertisements) that have improved client transactions.
* Time Management Skills: Manage up to 5 projects or tasks at a given time while under pressure to meet strict weekly deadlines.
I became a good communicator who enjoys building productive relationships with teammates and clients in my professional way. I’ve integrated my interpersonal, organizational, and design skills to produce value and make my job joyful and meaningful throughout career.
It is important to say that my main motivators for job search are professional self-actualization in the design field, gaining financial self-sufficiency, and continuous self-education and development."
