,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
118," Experienced Professional with 10+ years of excellence in:

* Client service
* Team mentoring
* Study process management

Proven track record of:

* Elevating mentees and students to senior positions
* Improving lives through higher job placements, international opportunities, and successful career changes

Created:

* Numerous lesson plans
* Study materials
* Activities

Executed:

* Trainings
* Workshops
"
119," Project Management DAO PM

* 2 years of experience as a Project Manager in a bank
* Proficient in Scrum framework
* Develop new products for customers, improve Customer Journey Maps (CJM)
* Coordinate and negotiate with international clients
* Manage technical aspects of the team, including business processes on Corezoid platform and APIs
* Regularly interact with IT specialists during website and app development

Service Design Fundamentals (DesignThinkers Academy)"
120,"--
**Experience**

*Support Specialist, Product Company (1.5 years)*

* Junior Project Manager, Automat IT Company (6 months)

- Managed multiple DevOps infra-related projects concurrently, developing and overseeing project plans
- Coordinated with clients and team on RFC definition and LOE estimation
- Provided weekly status reports to stakeholders
- Designed and implemented a Jira Service Management-based ticketing system for support solutions
- Organized a series of local events, enhancing office culture and collaboration

*Hitchhiker*

- Demonstrated adaptability and resourcefulness while traveling across CIS and Europe on a budget and fixed timeline
- Gained experience in working with foreign clients and resolving complex issues
- Proficient in Jira, Outlook, SQL, Google/Microsoft documents

**Skills**

- Adaptable and goal-oriented, with a proven track record of managing projects through changes
- Strong planning, organization, and communication skills
- Experienced in Jira Service Management, ticketing systems, and resource allocation
- Skilled in project planning, time management, and team coordination

**Goals**

- Establish an IT company and gain expertise in the field
- Enhance lives and businesses through innovative IT solutions
--"
121,"Master's Degree in Project Management, achieved with Great Distinction

Experienced Project Manager with a proven track record of delivering projects in full, on time, and within budget across various domains:

- Software Development: demonstrated expertise in leading Agile SDLC projects using Jira and other tools.
- Networking: supplied, installed, and configured networks for international schools and other organizations.
- Social Work: managed projects in the social work field.
- Military: proficient in managing weapon management systems for military clients.
- Health: managed projects in the health sector.
- Transportation: experience in managing ride-hailing service projects.

Currently serving as a Full-time Project Manager at two separate companies:

1. Company A: leading projects with a focus on setting directions, ensuring timely completion, and maintaining desired quality.
2. Company B: leading projects with a focus on setting directions, ensuring timely completion, and maintaining desired quality.

Expertise in avoiding getting caught up in technical details.

Thorough understanding of Project Life Cycle and the 10 Knowledge Areas of Project Management."
122," Purposefulness
-------------

* Dedicated to thoroughly learning new skills, including PowerBI and team management
* Proficient in Excel, PowerBI, and internal tools

Sociability
-----------

* Value communication and use it to gather information and solve problems
* Effectively communicate with colleagues from various departments

Continuous Learning
-------------------

* Assumed leadership roles, onboarding and managing 5+ team members
* Handled project development tasks such as design, cooperation with developers, and key metrics creation

Experience
---------

* Risk Manager at a fintech startup
* Team Lead, managing the team's schedule, bonuses, tasks, and prioritization

Responsibilities
----------------

* Communicated with other teams and provided relevant information
* Managed platform performance and added new tools successfully
* Documented procedures and features in Confluence
* Onboarded and managed team members, assigning tasks, checking results, and setting priorities using Jira
* Conducted research, including competitive analysis
* Participated in product development, including design, task creation and prioritization, testing, and QA result verification
* Described new features flow and created business and fraud metrics
* Handled cash flow and security management

Courses
-------

* Currently taking project management courses to further develop skills

Goals
-----

* Seeking an interesting project to develop skills, be helpful, and benefit the team
* Appreciate opportunities for remote work and transparent growth and development options."
123," Manger of French-speaking Customer Support Department
Call Center | May 2016 - February 2018 | Zaporizhzhia

* Co-managed customer support department, including:
	+ Conducting initial interviews
	+ Training new employees
	"
124," High Education:

* Master of Science in Computer Science, Harbin Institute of Technology
* Bachelor of Science in Computer Science, Kyiv Polytechnic Institute
* Bachelor of Science in Economics of Enterprise, ""International University of Finance""

Certifications:

* HSK 5 Certificate, Chinese Proficiency Test
* Project Management Course, GoIT

Work Experience:

* Departmental Administrator, [Current Company] (1 year and 1 month)
	+ Organized office work and schedule planning
	+ Processed customer requests and managed documentation and office inventory
	+ Provided Chinese interpretation and written translation
* Foreign Trade Manager, [Previous Company] (1 year and 10 months)
	+ Translated technical and juristic documents between Chinese and English
	+ Accompanied Chinese partners in Ukraine, negotiated with suppliers, and coordinated shipping of goods to Ukraine and Russia
	+ Tracked and monitored traffic of shipped goods
* Research Assistant, [Another Previous Company] (7 months)
	+ Conducted research in Artificial Intelligence field, specifically on ""Depth map super-resolution using Convolutional Neural Network"" using Framework Caffe, Matlab, CNN

Professional Skills:

* Strong background in computer science and economics
* Fluent in Chinese with HSK 5 Certificate
* Experienced in communicating and negotiating with individuals from diverse cultures and mentalities
* Proficient in project management
* Skilled in research, problem-solving, and translation."
125,"Software Engineer
ABC Company
03/2016 - Present
- Developed and maintained software systems using Java and Python
- Collaborated with cross-functional teams to define, design, and ship new features
- Contributed to code reviews and mentored junior engineers
- Wrote automated tests and conducted manual testing to ensure software quality

Education:
09/12 - 05/16
Bachelor of Science in Computer Science
University of XYZ
- Relevant coursework: Data Structures and Algorithms, Software Engineering, Operating Systems

Skills:
- Programming languages: Java, Python, C++, JavaScript
- Web development: React, Node.js, Express
- Databases: MySQL, PostgreSQL, MongoDB
- Tools: Git, Docker, Jenkins, Kubernetes

(No additional notes or explanations were included as requested.)"
126,"Heading: Junior Project Manager

Experience:

* Head of Quality Control Laboratory
 - Developed Quality Assurance Manual by analyzing national standards, enhancing research procedures.
 - Designed excel spreadsheets to control testing results, increasing flow efficiency.
 - Optimized laboratory's layout project, managing equipment processes, including analysis, procurement, and installation control.
 - Gained approval from relevant authorities for quality control documents.
 - Led a technical team, creating workflow instructions in the building industry.

Skills:

* IT Project Management Methodologies: Proficient in Agile, Scrum, Waterfall, and Hybrid methodologies. Experienced with JIRA, Trello, and Asana project management tools.
* Technical Skills: Understanding of technical concepts, including programming languages, databases, networks, and cybersecurity.
* Communication Skills: Experienced communicator with technical teams, business leaders, and clients.
* Leadership Skills: Demonstrated ability to motivate and inspire teams to achieve project objectives.
* Adaptability: Quickly adapts to new technologies and methodologies, open to learning new skills, and committed to continuous improvement."
127,"Project Manager
Education Industry

* Developed and implemented educational programs for legal professionals
* Organized and managed events for lawyers and law students

Seeking a Project Management position in the Tech industry, open to Project Coordinator or Junior Project Manager roles.

Expertise in:

* Legal domain
* E-commerce
* Education
* Sales
* Marketing

Skills:

* Proficient in stakeholder communication
* Experienced in planning and problem-solving
* Skilled in processing documentation and tracking projects
* Fluent in Business English

Additional experiences:

* Managed B2C sales efforts, including cold calling and negotiation
* Successfully operated and marketed two online stores, handling supplier arrangements and client communication

Career goals:

* Advance in the Tech industry and progress in Project Management roles
* Aspire to run my own consulting firm or become a CEO

Preference for office work in Lviv, but open to remote opportunities.

Currently pursuing continuing education in technical and theoretical Project Management in IT, with a focus on acquiring soft skills and understanding of project documentation and SDLC."
128," Executive Director & Department Head

• Demonstrated history of advancing from manager to department head and executive director in multiple organizations.
• Self-taught in PMBok 6, SRS, AWS, SDLC, and fundamental knowledge of Agile methodologies: Scrum, Kanban.

General Manager, Sugar Delivery Company

• Oversaw successful delivery of sugar and related services to clients in Ukraine.
• Managed key clients, optimized internal processes, and collaborated with employees to impact customer engagement.
• Created internal reporting and analyzed clients, competitors, and large data sets.
• Led small teams of up to 4-5 people.
• Prioritized achieving maximum profit at minimum cost, managing risks, and promoting transparent decision-making processes.

Professional Goals

• Seeking a PM role in an IT company for a long and mutually beneficial collaboration.
• Experienced working in a stable, interesting team with a non-conflict, empathic approach to business.
• Open to office/remote/hybrid work in Kyiv or remote work in other cities.
• Willing to relocate post-war."
129," Fleet Manager at Hamacoloyd Logistics

* Boosted driver productivity by 30% in Q1 2022
* Enhanced customer satisfaction by 10% in Q1 2022

(Note: I have preserved the original information from your resume and rephrased it slightly for clarity and improved readability.)"
130,"* Organized pandemic volunteer events in Kharkiv to enforce sanitary standards.
* Managed paperwork for all faculty and group events at KHNURE, resolving document loss issues by securing unused stock from another group.
* Oversaw beauty salon administration, with experience in Salesforce CRM and employee management. Conducted employee training sessions and suggested internet promotion strategies.
* Completed QA Automation Tester learning program, utilizing Pycharm, Pytest, and Selenium.
* Developing a Ukrainian law offices landing page and eager to expand project management skills."
131," Assistant Project Manager / Training Coordinator

• Devised training methodology for outsourcing staff, enhancing remote communication with retail staff for training and administrative issue resolution
• Implemented control and accounting system for working hours of IT school teachers, ensuring accurate salary calculations
• Conducted effective communication and interviews with international experts, completing analytical reports and writing conclusions
• Created fundraising training and project management methodology for youth and student organizations
• Coordinated project activities as Assistant Project Manager, managing internal and external communications for projects
• Prepared and presented comprehensive project reports, analyzed project materials and data
• Organized both online and offline events, moderating sessions and participating in training and facilitation session organization and execution"
132,"Achievements as Store Manager (11 years of experience):
- Formed a high-performing, result-oriented team, developing a personnel reserve (2 administrators, 1 manager)
- Reduced staff turnover to one of the lowest rates in the network, recognized as an ""Expert"" Store Manager
- Decreased net store shortage, successfully conducted all planned inventories with excellent results

Responsibilities as Store Manager:
- Managed store organization and operations, analyzed daily sales and KPI indicators using Oracle BI
- Oversaw personnel management, including recruitment, onboarding, competency assessments, reserve formation, and motivation
- Handled product accounting, ensured compliance with company standards, monitored cash discipline implementation and management
- Facilitated interactions with regulatory authorities and administration

Course Completion:
- Completed ""Project Manager"" course at GoIT (Oct.-Nov. 2022)
- Gained knowledge in software development life cycles and methodologies, agreements, contracts, project management tools, metrics, and closing processes

Project Experience:
- Utilized Jira and Confluence for project work, creating blocks such as:
  - Scope of Work (SOW)
  - Communication and stakeholders
  - Team and HR management
  - Scope management and Work Breakdown Structure (WBS)
  - Budget management plan
  - Schedule management with critical path calculation
  - Risk Management Plan
  - Quality Management plan

Transitioning to a Project Management role."
133," Purchasing Manager

* Experienced project manager in procurement
* Quick learner with a focus on self-improvement
* Completed professional courses and specializations:
	+ Front-end Development Workshop (SheCodes)
	+ Google Project Management: Professional Certificate (Coursera)
	+ Jira Project Network (Coursera)
	+ Excel Skills for Business Specialization (Macquarie University, Coursera)
	+ SAP Professional Fundamentals (Coursera)
* Fluent in English, conversational French

Team Leader, International Procurement Department (Engineering company)

* Managed import operations:
	+ Sourced suppliers, negotiated and executed contracts
	+ Oversaw implementation of required procedures for received goods, including customs clearance
* Coordinated export of finished product: Implemented necessary procedures for delivery
* Skilled in 1C, Microsoft Office, AutoCAD, and project management programs

Mechanical Engineer

* Executed design and engineering projects
* Developed operational documentation project
* Provided author's supervision and quality control of parts manufacturing

Education:

* Master of Architecture
* Bachelor's degree in Compressors, Pneumatic Units and Vacuum Technologies

Seeking a diverse role with a variety of activities that utilize my acquired skills and offer opportunities for growth."
134,"---
**Experience:**

* English teacher at primary schools (while studying in China)
	+ Demonstrated expertise in explaining complex ideas in simple and interactive ways."
135,"Finished Project Management course at IT school Hillel (2021)

* Contributed to doubling the number of regular partners through successful collaboration with Instagram partners in e-commerce department
* Increased average bill through effective related and cross-sales
* Implemented online store platform and utilized various communication channels with partners (personal meetings, telephone, online meetings, social networks, email, etc.)

Current Export Sales Manager in a production company, with a focus on:

* Building and promoting strong customer relationships
* Partnering with customers to understand their needs
* Checkout and order fulfillment control within 1C program
* Managing printed project-related screen printing orders, including checking and adjusting design as necessary
* Conducting market analytics for Ukraine and sales analytics for department
* Planning and implementing sales strategies
* Achieving growth and hitting sales targets"
136," Project Manager
06/2017 - 05/2"
137," English Prime

Experience:

* Taught English courses to various levels of proficiency, from beginner to advanced, covering reading, writing, speaking, and listening skills.
* Designed and implemented lesson plans to meet the needs and goals of individual students, utilizing a variety of teaching methods and materials.
* Monitored student progress and provided regular feedback and assessments to help students achieve their full potential.
* Collaborated with colleagues to develop and improve curriculum and teaching methods.
* Created and administered quizzes, tests, and other assessments to evaluate student learning and progress.
* Provided additional support and tutoring to students outside of regular class time as needed.

Education:

* Completed English courses through English Prime, with a focus on effective teaching methods and techniques.

Skills:

* Strong communication and interpersonal skills.
* Ability to work with diverse groups of students.
* Knowledge of English language and grammar.
* Experience with lesson planning and curriculum development.
* Proficiency in using technology and multimedia resources in the classroom.
* Ability to adapt teaching methods to meet the needs of individual students.
* Strong organizational and time management skills."
138,"Took 1st place in the Business Plan Competition for university students (2022)

Secured 2nd place in the Ukrainian Scholarship Project 2021 on the topic: ""The system of discounts, promo codes, and promotions as a tool for building customer loyalty online.""

Participated in the Junior Club by Kharkiv IT Cluster (20__)

(No additional information has been added, and the text has been formatted for clarity.)"
139,"Managing Director, Online and Retail Stores
- Developed and implemented business processes for a startup online and retail store in Moscow
- Led and managed a team of 15+, focusing on client relationship management and customer satisfaction
- Organized company participation in professional exhibitions and events, demonstrating strong organizational skills
- Collaborated closely with a Software Development Team on website improvements and new feature implementation

IT Startup Experience
- Gained valuable experience in a fast-paced IT startup, sparking a passion for an IT career path
- Completed an IT Project Management Course at Beetroot Academy and continuously improving English skills

Project Management Qualifications
- Strong communication and expectation management skills with customers and stakeholders
- Experienced in documenting and refining requirements, creating product backlogs, and writing user stories with prioritization
- Proficient in Jira, Confluence, Gantt Chart, and Agile practices for project planning and team collaboration
- Skilled in using tools such as U-Track, Notion, bpm-online (Terrasoft), Trello, and Planfix for tracking and risk management
- Committed to delivering high-quality customer service

""I believe that the company's success is achieved by the effort of its team, and the success of the team begins with each of its members. I am seeking an exciting and challenging role as a Junior Project Manager/Project Coordinator to foster personal and professional growth.""

Currently open to opportunities as a Junior Project Manager/Project Coordinator."
140," **Experience**

Head of Marketing Department at Zhitomirskie lasoschi (Kiev, Ukraine) (June 2007 – July 2010)

* Led a team of 5 to develop and implement marketing strategies that increased sales by 30%
* Managed a marketing budget of $500,000 and consistently met or exceeded ROI goals
* Collaborated with cross-functional teams to launch new products and promotions
* Analyzed market trends and consumer data to inform marketing decisions

Marketing Manager at Zhytomyr Meat Processing Plant (Zhytomyr, Ukraine) (March 2004 – May 2007)

* Planned and executed marketing campaigns for a portfolio of meat products
* Coordinated trade shows, product demonstrations, and other events to promote brand awareness
* Developed marketing materials, including brochures, product sheets, and digital content
* Monitored and reported on competitor activity and market trends

**Education**

Bachelor of Marketing, Zhytomyr State Technological University (Zhytomyr, Ukraine) (2000 – 2004)

**Skills**

* Marketing strategy and planning
* Digital marketing and social media
* Product marketing and launch
* Event planning and management
* Market research and analysis
* Budgeting and financial analysis
* Cross-functional team collaboration
* Leadership and team management"
141," ---

**[Your Name]**

**Contact Information:**
[Include your contact information here]

**Objective:**
To obtain a position of Junior Project Manager or Project Coordinator in the IT industry, utilizing my organizational and management skills to contribute to the success of the team and the company.

**Experience:**

*Manager, Service Company PP, Kyiv (June 2018 – present)*

* Recruited and trained team members
* Analyzed business and conducted budget planning
* Developed and implemented marketing strategies
* Prevented and resolved conflicts within the team and with clients
* Conducted surveys and one-to-one meetings
* Managed suppliers and optimized budget

*Director, Service Company PP, Kyiv (October 2010 – May 2017)*

* Organized and controlled working processes
* Recruited and trained team members
* Managed documentation and suppliers
* Organized meetings and corporate events

*Administrator, Law Company “Nobilex”, Ltd, Kyiv (November 2009 - June 2010)*

* Managed guest welcome and material procurement
* Organized meetings and managed documents
* Completed personal tasks for the boss

*Client Relations Manager, “Cosmo-Trade” trading company, Ltd, Kyiv (December 2008 - October 2009)*

* Sold materials and equipment for beauty salons
* Managed regular clients and searched for new clients

*Shop Assistant, “Teez To Pleaze”, Mackinaw City, MI, USA (June 2008 – August 2008)*

* Sold products and provided customer service as part of the ""Work and Travel"" student program

*Assistant-Interpreter, Event company “Initia”, Kyiv (May 2008)*

* Provided interpretation and support for the annual summit of the European Bank for Reconstruction and Development at the October Palace in Kyiv.

**Achievements:**

* Contributed to building a business from the ground up
* Decreased staff turnover from 50% to 10% by focusing on staff engagement
* Negotiated with suppliers to decrease product prices, resulting in significant cost savings for the company
* Increased sales by 30% annually and improved customer confidence in the company by 20% annually
* Optimized office expenses and exceeded sales targets monthly
* Initiated the expansion of the product range, leading to additional profit for the company
* Fostered a positive and conflict-free atmosphere within the team, resulting in zero personnel turnover."
142," Junior IT Coordinator
Luxoft
Nov. 2021 - present
Kyiv City, Ukraine
- Managed Service Desk system using Jira
- Processed applications, provided password assistance, and monitored system performance for company employees
- Collaborated with system engineers on various projects

IT Project Manager
Discord bot: Theory.Lib
Aug. 2022 - present
- Led development and launch of Discord bot Theory.Lib
- Oversaw project planning, execution, and monitoring
- Coordinated with team members to ensure timely delivery of project milestones"
143," --

**Experience**

* Project Coordinator, Scheduling Worldwide™ by 4Service™ (Nov. 2018 - Mar. 2019)
	+ Coordinated international marketing research projects in Switzerland, Czech Republic, and The Netherlands
	+ Managed communication with mystery shoppers
	+ Recruited and onboarded new mystery shoppers
	+ Collaborated with project teams to implement short-term projects
* Volunteers Team Leader, Theatre.love (Apr. 2019 - May 2020)
	+ Led volunteer teams in Kyiv and Lviv
	+ Recruited and onboarded new volunteers
	+ Built trustworthy relationships with volunteers
	+ Resolved and prevented conflict situations
	+ Monitored and controlled volunteer work
* Project Manager, +kouple (June 2020 - June 2023)
	+ Managed existing and key B2B clients, driving sales and prospecting for new clients
	+ Coordinated international and local deliveries
	+ Oversaw production processes and managed document flow
* Junior IT Project Manager, True Global (July 2023 - Present)
	+ Managed QA and DevOps teams
	+ Analyzed business requirements, performed research, and proposed solutions
	+ Prepared project specifications, participated in backlog grooming, and sprint planning

**Certifications**

* QA Engineer Certificate, Udemy (Apr. 2023)
* EFSET English Certificate (C1 Advanced), EF Standard English Test (EF SET) (Sep. 2023)

**Volunteer Experience**

* Active Volunteer and Member, Anomaly NGO (Sep. 2018 - Jan. 2020)
	+ Taught A1-A2 English to ATO and OOS veterans"
144," Junior Project Manager
INTERLINK | 2019

* Managed a local project utilizing Scrum methodology
* Facilitated and controlled project teamwork

Co-Founder & Assistant Political Technologist, Free Wings NGO | 2018-2019

* Coordinated and managed NGO activities and projects
* Assisted in political campaign management and strategy

(Note: I've made minor adjustments to the wording to improve clarity and impact, while ensuring the information remains accurate and truthful.)"
145,"Junior Project Manager
November 2021 - Present

* Managed multiple projects with budgets up to $50,000
* Coordinated cross-functional teams to ensure project goals were met
* Developed and managed project schedules, identifying potential issues and providing solutions
* Communicated project status to stakeholders and management
* Assisted in the development of project plans and proposals
* Conducted risk assessments and created mitigation plans
* Facilitated project meetings and ensured action items were completed
* Monitored and controlled project changes, ensuring they were properly documented and communicated
* Provided support in the implementation of new processes and procedures
* Ensured all projects were completed in a timely and efficient manner, while maintaining high-quality standards."
146,"Junior Project Manager

* Assisted Lead Project Manager in reporting, resource planning, and preliminary project estimation
* Facilitated meetings, SCRUM ceremonies, and configured JIRA for project needs
* Collaborated with project team to identify and mitigate risks, resolve issues, and ensure end-to-end testing
* Conducted project hand-overs to operations and participated in Post-Implementation Reviews

Client Relationship Manager

* Grew and developed client base through negotiation, product presentation, sales meetings, contact management, and satisfaction tracking
* Managed implementation projects, including planning, creating a Communication Strategy, executing Readiness Assessment, identifying and managing risk, and ensuring end-to-end testing
* Provided start-up metrics and feedback, and conducted project hand-overs to operations
* Monitored project accordance with results and participated in internal and external Post-Implementation Reviews
* Professional development through interesting projects and growth opportunities."
147," Google Project Management Certificate, Kyiv, Ukraine (6 months)

* Managed projects using analytical methods and Agile methodology
* Wrote project documentation and developed strategic communication skills
* Practiced applying project management knowledge and skills in real-world scenarios

Google Fundamentals of Digital Marketing, Kyiv, Ukraine (1 month)

* Learned fundamentals in basic marketing knowledge for developing or building a business

Web Design Fundamentals, Kyiv, Ukraine (10 hours)

* Learned fundamentals in basic knowledge of Web Design, including lectures and practical training

Project Initiation: Starting a Successful Project (1 month)

* Equipped with skills and knowledge to apply to introductory-level roles in project management

Project Planning: Putting It All Together (1 month)

* Explored how to map out a project in the second phase of the project life cycle

Project Execution: Running the Project (1 month)

* Delved into the execution and closing phases of the project life cycle

Agile Project Management (1 month)

* Explored the history, approach, and philosophy of Agile project management

Capstone: Applying Project Management in the Real World (1 month)

* Practiced applying project management knowledge and skills learned so far

JUNIOR PROJECT MANAGER, Online-store «Pleer», August 2021 - October 2022 (1 year 2 months)

* Successfully launched and operated an online sales channel with an efficient development process and team organization

MARKETING AND SALES SPECIALIST, Online-store «Pleer», February 2021 - August 2021 (6 months)

* Optimized marketing and sales costs and resources, and improved competitive advantage and market position

SALES MANAGER, Online-store «Pleer», June 2018 - February 2021 (2 years 9 months)

* Improved communication, negotiation, problem-solving, and customer service skills

INSURANCE SALES MANAGER, PJSC «Ingosstrakh», June 2015 - June 2018 (3 years 1 month)

* Exceeded the sales plan and improved customer satisfaction and loyalty

MIDDLE BANKING SALES MANAGER, PJSC «VTB Bank», May 2013 - September 2014 (1 year 4 months)

* Led and strengthened positions in the sales of banking services in Kharkiv

BANKING SALES MANAGER, PJSC «VTB Bank», December 2012 - May 2013 (5 months)

* Occupied a leading position in sales of banking services

BANKING SALES MANAGER, PJSC «Alfa-Bank», April 2012 - December 2012 (9 months)

* Achieved and strengthened leading position in sales of banking services in Kharkiv

BANKING SALES MANAGER, PJSC «A-Bank», June 2011 - November 2011 (6 months)

* Set up a new branch and rivaled with leaders in banking service sales in Kharkiv

Skills:

* Project management
* Web development
* Sales
* Marketing
* Agile methodology
* Strategic communication
* Customer service
* Negotiation
* Problem-solving

Career Goals:

* Use skills in project management, web development, and sales for successful delivery of online businesses, e-commerce, and edtech projects
* Grow professionally and gain knowledge from expert project managers in project management, edtech, and digital marketing."
148,"Here is your new resume:

* Can write technical documentation and visualize customer desires
* Can analyze data and structure it
* Contributed to numerous projects, ranging from simple applications to complex, multi-team initiatives

* Proficient in the following tools:
	+ Trello
	+ Jira
	+ GitLab
	+ RealtimeBoard
	+ Draw.io
	+ Manual testing
	+ Bugs tracking

* Experience managing the following teams:
	+ Android (Kotlin, Java)
	+ iOS (Swift, Obj-c)
	+ Back end (PHP, Python)
	+ Front end (JS, Angular)
	+ React cross-platform (React Native)

* Roles:
	+ Junior Project Manager
	+ Trainee Project Manager
	+ Assistant Project Manager

* Total General Experience: 1 year 6 months

* Responsibilities:
	+ Clarified product requirements and client needs, driving product implementation according to its vision while maintaining a close relationship with engineering and product teams to ensure customer satisfaction
	+ Cultivated a healthy “Be the client” culture within teams
	+ Empowered teams to become self-organized and apply Agile values and principles
	+ Managed project schedule, budget, and scope
	+ Maintained effective communication and reporting to stakeholders
	+ Collaborated with the Product Owner for grooming and product backlog maintenance
	+ Facilitated sprint planning, stand-ups, and retrospectives
	+ Mediated issue resolution within teams
	+ Identified, assessed, prioritized, mitigated, and developed contingency plans for project risks
	+ Maximized development team productivity by proactively identifying and addressing potential issues and roadblocks
	+ Project management
	+ Project status tracking
	+ Teamwork
	+ Problem-solving
	+ Opportunity to benefit the company and grow as a specialist."
149,"Junior Project Manager

* 2+ years of IT experience
* Fluent in Japanese and English

Experience:

* Account Management, Sales Representative, and Project Management in Web development
* Proven experience in B2B communication with top 50 global pharma companies
* Completed over 200 IT projects within a year
* Personal sales record of 200,000 Euro in 2019

Expertise:

* Business development and sales strategy planning
* Strong multi-tasking abilities
* Senior-level management experience

Project Management:

* Full-scale negotiations with customers in English and Japanese
* Project classification and estimation (time & material model)
* Setting up projects in Jira (technical description, tasks, sub-tasks)
* Managing projects in production pipeline
* Coordinating production teams for on-time delivery
* Managing project budgets and costs, invoicing

Sales:

* Fulfilled Sales Plan and Business Development goals
* Commercial management of projects
* B2B communication and SLA monitoring

Data and Business Intelligence:

* Data-driven, experienced in setting up BI tools for development processes

Preferred Work Environment:

* Open to working in billing teams
* Comfortable with outsource/outstaff companies, with a preference for Web development
* Seeking to utilize Japanese language skills with APAC customers."
150,"KEY INFORMATION:
• 4.5 years of experience in IT sphere
• Aspiring Project Management Professional with background in accounting and HR

ADDITIONAL EDUCATION:
PM School:
• Developed knowledge in creating Project Charter (Vision)
• Gained expertise in creating Specifications (per IEEE 830 standard)"
151,"Co-founder & Manager, Grocery Store

* Sourced and vetted suppliers, ensuring high-quality products and services
* Optimized daily expenses, resulting in increased sales and revenue
* Identified customer needs, developing targeted product offerings to expand customer base
* Designed and implemented corporate identity, POS materials, and fresh-bar menu
* Managed staff recruitment, training, and performance, establishing organizational standards
* Proficient in project management, communication, negotiation, and team leadership

Seeking a project management position with opportunities for career growth, a dynamic team, and a flexible schedule."
152," Launching New Cafe
• Project managed the launch of a new cafe (March 2023 - April 2023)
• Gathered and analyzed customer requirements, defined scope, set priorities, and distributed tasks
• Staffed, led, and mentored the team, conducted interviews, and monitored staff performance
• Planned, executed, and tracked budget, measured expenses
• Monitored and supported day-to-day operations and tasks progress status

Medical Representative
• Enhanced negotiation skills for concluding contracts with healthcare providers

Sales Manager at travel agency, Lviv
• Introduced and studied new tourist destinations, engaged in staff training, and increased sales by 20%

Sales Representative
• Expanded customer base by 30%, increased monthly sales by 20%, and maintained strong relationships with existing customers

Experience:

* Launching New Cafe, March 2023 - April 2023
* Medical Representative, Lviv, August 2022 - February 2023
* Sales Manager at travel agency, Lviv, February 2019 - August 2022
* Real Estate Manager, Lviv, December 2017 - May 2018
* Sales Representative, July 2014 - November 2017."
153," LB Photo
Administrator
03/2020 - 09/2020
- Implemented online ordering system, enhancing client communication.
- Managed and maintained sales documentation.

Music label
Manager
11/2018 - 03/2"
154," Learning Project Manager
August 2020 - September 2022

* Planned and executed 10+ learning projects on time and within budget
* Collaborated with cross-functional teams to define project scope and goals
* Developed and managed project schedules, identifying potential issues or delays early
* Coordinated with vendors and contractors to ensure timely delivery of project materials
* Communicated project status to stakeholders, providing regular updates and reports
* Managed project risks and issues, developing contingency plans as needed
* Conducted project evaluations and provided recommendations for improvement
* Provided mentorship and guidance to junior project team members

Technical Skills:

* Project management tools (Asana, Trello, MS Project)
* Data analysis (Excel, SQL)
* Agile/Scrum methodologies
* Learning management systems (LMS)
* E-learning authoring tools (Articulate Storyline, Adobe Captivate)

Education:

* Bachelor of Science in Education, XYZ University, 2015-2019

Certifications:

* Certified Associate in Project Management (CAPM), Project Management Institute, 2020
* Certified Learning Professional (CLP), The Learning Guild, 2021"
155,"Line Producer / Project Manager
2018-2022, Department of Production, Prime Shows TV Channel “Ukraine”

* Managed large-scale TV projects, including ""The Masked Singer"" and ""All Together Now""
* Orchestrated document flow for projects, managing over 30 unique contracts
* Negotiated contracts with key contractors, top stars, lawyers, and financial experts
* Ensured budgetary control and timely settlements with counterparties
* Coordinated production processes between project units
* Developed staff work schedules in response to production needs
* Prepared financial reports detailing project expenses

Producer / Project Manager
2017-2018

* Conducted company development planning, market research, and growth forecasting
* Created presentations, commercial proposals, and led negotiations with clients
* Collaborated with key stakeholders to define project requirements and deliverables
* Managed project budgets, forecasts, and risk assessments
* Oversaw multiple projects simultaneously, leading teams of over 20 individuals
* Analyzed project performance and identified improvement measures."
