,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
403,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn/Portfolio URL]

**PROFESSIONAL SUMMARY**
Detail-oriented Project Manager with over 4 years of experience in client relations, team coordination, and process management. Proven ability to manage cross-functional teams, drive project lifecycles, and enhance operational efficiency. Seeking a remote position to leverage skills in project management and team leadership.

**PROFESSIONAL EXPERIENCE**

**Junior IT Project Manager**
True Global | July 2023 – Present
- Manage QA and DevOps teams to ensure project alignment and timely delivery.
- Analyze business requirements and conduct multi-level complexity research.
- Propose solutions and ideas for product enhancement and development.
- Prepare detailed project specifications and documentation.
- Participate in backlog grooming and sprint planning sessions.

**Project Manager**
+kouple | June 2020 – June 2023
- Managed existing client relationships, including key accounts.
- Conducted sales activities and sourced new customers.
- Handled communication and management for B2B clients.
- Coordinated international and local delivery logistics.
- Oversaw the production process and managed document flow.

**Project Coordinator**
Scheduling Worldwide™ by 4Service™ | November 2018 – March 2019
- Worked on large-scale marketing research projects across Switzerland, the Czech Republic, and the Netherlands.
- Coordinated and communicated with mystery shoppers.
- Recruited new mystery shoppers for project needs.
- Implemented short-term projects and collaborated within project teams.

**VOLUNTEER & LEADERSHIP EXPERIENCE**

**Volunteers Team Leader**
Theatre.love | April 2019 – May 2020
- Coordinated volunteer teams in Kyiv and Lviv.
- Recruited new volunteers and fostered trusting team relationships.
- Resolved and prevented conflict situations.
- Monitored and controlled volunteer work performance.

**Founder & Head of University Cinema Club**
[University Name] | [Dates - e.g., 2017 – 2019]
- Founded and led the university cinema club, organizing screenings and events.

**Volunteer & Member**
NGO ""Anomaly"" | September 2018 – January 2020
- Taught A1-A2 level English to ATO and OOS veterans.

**EDUCATION & CERTIFICATIONS**

**QA Engineer Certificate**
Udemy | April 2023

**EFSET English Certificate (Score: 66/100 - C1 Advanced)**
EF Standard English Test (EF SET) | September 2023

**SKILLS**
- Project Management
- Team Leadership & Coordination
- Client Relations & B2B Communication
- Sales & Business Development
- Process Coordination & Logistics
- Requirements Analysis
- Agile Methodologies (Sprint Planning, Backlog Grooming)
- Remote Collaboration"
404,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn Profile/Portfolio URL]

PROFESSIONAL SUMMARY
Results-driven professional with experience in project management, business analysis, and NGO operations. Skilled in workflow planning, data analysis, and cross-functional team coordination. Proven ability to manage projects from conception to completion, utilizing Scrum methodology and maintaining strict time management for timely, efficient task delivery. Combines analytical skills with experience in public engagement and strategy development.

PROFESSIONAL EXPERIENCE

JUNIOR PROJECT MANAGER
Interlink | 2019
*   Conducted local projects using Scrum methodology.
*   Controlled and coordinated project teamwork to ensure task completion.
*   Planned workflow and adhered to time management principles for timely project delivery.

CO-FOUNDER & ASSISTANT POLITICAL TECHNOLOGIST
Free Wings NGO | 2018-2019
*   Managed public engagement and community relations.
*   Prepared and submitted projects for participatory budget consideration.
*   Organized meetings, events, and managed content.
*   Collected, processed, and analyzed necessary information, working with pivot tables, charts, and large data sets.
*   Participated in the development of candidate strategy.

JUNIOR BUSINESS PLANNING ANALYST
Kreston GCG: Accounting and Consulting | 2017-2018
*   Collected, processed, and analyzed business information.
*   Worked with pivot tables, charts, and large datasets to support planning.
*   Fulfilled individual project tasks as assigned.
*   Participated in the development of business strategy and business plans.

INTERN
UNIDO (United Nations Industrial Development Organization) – Energy Efficiency Project | 2016-2017
*   Participated in the development of a grant business project.
*   Attended and contributed to international conferences.
*   Completed training on energy conservation principles.
*   Collected, prepared, and analyzed information for project development.

SKILLS
*   Project Management: Scrum Methodology, Workflow Planning, Time Management, Team Coordination
*   Data Analysis: Pivot Tables, Charts, Large Data Sets, Information Processing & Analysis
*   Strategy & Planning: Business Strategy, Business Plan Development, Project Submission
*   Communication: Public Engagement, Content Management, Event Organization
*   Tools: Microsoft Excel (Advanced)"
405,"**PROFESSIONAL SUMMARY**
Results-driven project and operations management professional with experience in software development, quality management, and large-scale production. Proven ability to lead teams, coordinate complex projects, manage client communications, and optimize processes to achieve organizational goals.

**PROFESSIONAL EXPERIENCE**

**Junior Project Manager** | TECO, Kharkov
Nov 2021 – May 2022
*   Managed software development project for free cooling systems for client ""Kyivstar"".
*   Developed and coordinated comprehensive project plans.
*   Set, assigned, and controlled task completion for project teams.
*   Prepared and delivered regular reports on project status and milestones.
*   Managed all client interaction and communications to ensure alignment.
*   Organized and facilitated project work meetings and stakeholder discussions.

**Head of the Quality Management Department** | LCC ""NewTon"", Kharkov
Nov 2019 – Feb 2022
*   Organized and led a team of 10 specialists, controlling task loading and monitoring execution progress.
*   Authored and maintained project documentation and procedural instructions.
*   Drove continuous improvement initiatives to enhance working processes and efficiency.
*   Developed, distributed, and managed fulfillment of departmental work plans.

**Production Manager** | JSC ""Technology"", Sumy
Apr 2018 – Aug 2019
*   Oversaw production operations and managed a team of 600 personnel.
*   Directed projects for organizing and launching new production departments.
*   Created project plans, controlling execution timelines and managing project budgets.
*   Reported on project status to senior management and stakeholders.
*   Managed client interaction and communications for production projects.
*   Organized and conducted work meetings to coordinate cross-functional teams.
*   Identified project risks and implemented mitigation strategies; resolved workplace conflicts.

**SKILLS**
*   Project Management
*   Team Leadership & Development
*   Process Improvement
*   Client Relations & Communication
*   Project Planning & Scheduling
*   Budget & Timeline Control
*   Risk Management
*   Documentation & Reporting
*   Cross-functional Coordination
*   Conflict Resolution"
406,"**PROFESSIONAL EXPERIENCE**

**Junior Project Manager** | Oct 2019 – Mar 2020
*   Assisted the Lead Project Manager in project reporting and resource planning.
*   Performed preliminary project estimation and assisted the team in identifying methods for mitigating risks and resolving issues.
*   Configured JIRA to meet specific project requirements.
*   Facilitated project meetings and SCRUM ceremonies.

**Client Relationship Manager** | Feb 2017 – Sep 2019
*   Grew and developed existing and new client relationships through negotiation, product presentations, sales meetings, contact management, and satisfaction tracking.
*   Led client implementation projects: planned project terms and stages; created Communication Strategy; executed internal Readiness Assessments.
*   Identified, managed, and escalated project risks; ensured completion of end-to-end testing.
*   Provided startup metrics and feedback; conducted hand-over to operations and participated in internal and external post-implementation reviews.
*   Monitored project outcomes to ensure accordance with expected results."
407,"[Name]
[Contact Information]

PROFESSIONAL SUMMARY
Results-driven professional with over 10 years of progressive experience in sales, marketing, and project management. Proven ability to optimize processes, lead successful project launches, and strengthen market positions. Seeking to apply expertise in project management, e-commerce, and digital marketing to deliver successful online business projects.

PROFESSIONAL EXPERIENCE

Junior Project Manager | Online-store «Pleer»
August 2021 – October 2022 (1 year 2 months)
• Successfully launched and operated an online sales channel with an efficient development process and team organization.

Marketing and Sales Specialist | Online-store «Pleer»
February 2021 – August 2021 (6 months)
• Optimized marketing and sales costs and resources, improving competitive advantage and market position.

Sales Manager | Online-store «Pleer»
June 2018 – February 2021 (2 years 9 months)
• Improved personal skills in communication, negotiation, problem-solving, and customer service.

Insurance Sales Manager | PJSC «Ingosstrakh»
June 2015 – June 2018 (3 years 1 month)
• Contributed to branch exceeding sales plans and improving customer satisfaction and loyalty.

Middle Banking Sales Manager | PJSC «VTB Bank»
May 2013 – September 2014 (1 year 4 months)
• Helped branch lead and strengthen positions in the sales of banking services in Kharkiv.

Banking Sales Manager | PJSC «VTB Bank»
December 2012 – May 2013 (5 months)
• Contributed to branch achieving a leading position in sales of banking services.

Banking Sales Manager | PJSC «Alfa-Bank»
April 2012 – December 2012 (9 months)
• Helped branch achieve and strengthen leading position in sales of banking services in Kharkiv.

Banking Sales Manager | PJSC «A-Bank»
June 2011 – November 2011 (6 months)
• Helped new branch rival leaders in banking service sales in Kharkiv.

EDUCATION & CERTIFICATIONS

Google Project Management Certificate | Kyiv, Ukraine
• 6-month course in managing projects using Agile methodologies and analytical methods.
• Developed skills in writing project documentation and strategic communication.
• Included coursework: Foundations of Project Management; Project Initiation; Project Planning; Project Execution; Agile Project Management; Capstone: Applying Project Management in the Real World.

Google Fundamentals of Digital Marketing | Kyiv, Ukraine
• 1-month course covering fundamental marketing knowledge for business development.

Web Design Fundamentals | Kyiv, Ukraine
• 10-hour course in fundamental Web Design knowledge, including 5 hours of practical lessons and 5 hours of practical training.

CAREER OBJECTIVES
• To use my skills in project management, web development, and sales for the successful delivery of online businesses, e-commerce, and edtech projects.
• To grow professionally and gain knowledge from expert Project Managers in project management, edtech, and digital marketing."
408,"**PROFESSIONAL SUMMARY**
Detail-oriented Project Management professional with 1.5 years of experience supporting cross-functional engineering teams. Proven ability to clarify requirements, manage project scope and timelines, and foster Agile principles to drive product implementation and ensure client satisfaction. Skilled in technical documentation, data analysis, and utilizing project management tools to facilitate team productivity and stakeholder communication.

**PROFESSIONAL EXPERIENCE**

**Junior Project Manager / Assistant Project Manager** | [Company Name, City, State – Optional]
*1 year 6 months of general project management experience*

*   Clarified product requirements and client needs to drive product implementation aligned with its vision.
*   Worked closely with engineering and product teams to ensure client satisfaction and grow a ""Be the client"" culture.
*   Supported teams in becoming self-organized and applying Agile values and principles.
*   Managed project schedule, budget, and scope while maintaining effective communication and reporting to stakeholders.
*   Supported the Product Owner with backlog grooming and maintenance.
*   Facilitated team ceremonies including sprint planning, daily stand-ups, and retrospectives.
*   Facilitated issue resolution within teams and managed risks through identification, prioritization, mitigation, and contingency planning.
*   Ensured high development throughput by identifying and eliminating potential roadblocks and issues.
*   Tracked project status and managed risks to ensure successful project completion.
*   Gained experience managing multi-team projects, from simple applications to complex initiatives involving several simultaneous teams.

**Managed cross-functional development teams including:**
*   Android (Kotlin, Java)
*   iOS (Swift, Objective-C)
*   Back End (PHP, Python)
*   Front End (JavaScript, Angular)
*   Cross-Platform (React Native)

**SKILLS**

**Technical & Project Management Tools:** Trello, Jira, GitLab, RealtimeBoard, Draw.io
**Project Management:** Project Scheduling, Budget Management, Scope Management, Risk Management, Stakeholder Reporting, Agile Methodologies, Sprint Facilitation
**Technical Practices:** Technical Documentation, Data Analysis & Structuring, Manual Testing, Bug Tracking
**Core Competencies:** Requirements Clarification, Team Facilitation, Problem-Solving, Client Relations, Team Collaboration"
409,"**PROFESSIONAL SUMMARY**
Results-driven professional with 2+ years of proven IT experience, seeking a Junior Project Manager position. Expertise in managing project lifecycles, B2B client relations, and commercial project drivers within web development. Combines a strong sales and account management background with hands-on project coordination skills. Fluent in Japanese and English, with a focus on data-driven processes and APAC market engagement.

**KEY SKILLS**
*   **Project Management:** Project lifecycle management, Jira administration, technical task creation, production pipeline coordination, SLA adherence, time & material estimation, budget/cost management, and invoicing.
*   **Business & Sales:** B2B communication, business development, sales strategy, account management, fulfilling sales plans, and commercial project driving.
*   **Technical & Analytical:** Web development project coordination, BI tools setup for business/development processes, data-driven decision making.
*   **Languages:** Full professional fluency in English and Japanese.
*   **Core Competencies:** Multi-tasking across dozens of projects, senior-level management experience, client negotiations, and team coordination.

**PROFESSIONAL EXPERIENCE**

**Account Manager / Sales Representative / Project Manager** | Web Development
*   Managed over 200 IT projects to successful completion within a single year (2019).
*   Conducted full-scale negotiations and voice meetings with clients in English and Japanese, including B2B communication with top 50 global pharma companies.
*   Classified and estimated projects using a time & material model.
*   Set up projects in Jira, including writing technical descriptions and creating tasks/sub-tasks.
*   Managed projects through the production pipeline, coordinating teams to ensure on-time delivery.
*   Managed project budgets, costs, and invoicing.
*   Fulfilled account Sales Plans and Business Development goals, achieving a personal sales record of 200,000 Euro in 2019.

**CAREER TARGET**
Seeking a Junior Project Manager role to leverage technical project coordination, commercial driving, and B2B communication skills. Particularly interested in web development, billing teams, and outsourcing/outstaff companies. Eager to contribute to APAC customer engagements utilizing full Japanese fluency."
410,"John Doe
(123) 456-7890 | email@example.com | City, State

PROFESSIONAL SUMMARY
IT professional with 4.5 years of experience, seeking to advance into Project Management. Combines technical system knowledge with foundational project management skills and experience in supporting business operations. Proven ability to manage tasks, analyze processes, and utilize key project and business software.

SKILLS
•	Project Management: SDLC, Scrum, Kanban, Waterfall, LEAN. Project Charter (Vision), SRS, User Stories, WBS, Gantt Charts. Risk Analysis & Register, Risk Management Planning.
•	Software & Tools: Advanced user of Jira, Confluence, SharePoint, SAP, ERM, Navision, 1C. Proficient in Microsoft Office Suite (Word, Outlook, PowerPoint).
•	Additional: QA Theoretical Knowledge, People Management Concepts, Situational Analysis for Project Management.
•	Languages: English (Upper-Intermediate)

PROFESSIONAL EXPERIENCE
IT Specialist | Current Company, City, State | [Month, Year] – Present
•	Leveraged 4.5 years of IT experience to support system operations and user requirements.
•	Applied knowledge of SAP, ERM, Navision, and 1C in daily operational tasks.
•	Utilized Jira and Confluence for task tracking and documentation.
•	Supported cross-functional processes, gaining insight into accounting and HR departmental functions.

EDUCATION & CERTIFICATIONS
PM School
•	Studied core project management disciplines: developing Project Charters (Vision), creating Specifications (SRS per IEEE 830, User Stories), and building Work Breakdown Structures (WBS) with Gantt Charts.
•	Performed risk analysis: identification, qualitative analysis, response planning, and creation of risk registers and management plans.
•	Covered project methodologies including Waterfall, Agile, Scrum, Kanban, and LEAN, alongside people management concepts.

[Your University Name], City, State
[Your Degree, e.g., Bachelor of Science in Information Technology] | [Month, Year of Graduation]"
411,"**PROFESSIONAL SUMMARY**
Results-driven co-founder and manager with experience in building and optimizing retail operations from the ground up. Proven ability to enhance profitability through strategic supplier relations, cost optimization, and targeted customer engagement. Seeking to leverage strong project management, communication, and problem-solving skills in a new role.

**PROFESSIONAL EXPERIENCE**
**Co-Founder & Store Manager** | Grocery Store
*   Managed end-to-end supplier relations, including sourcing and negotiating with top-tier suppliers to secure high-quality products.
*   Directed full assortment selection and inventory strategy.
*   Oversaw all personnel functions: recruitment, training, performance control, and the development of job descriptions.
*   Spearheaded brand development, including the creation of corporate identity, POS materials, and a fresh-bar menu.
*   Optimized daily operational expenses, directly increasing store sales and overall revenue.
*   Grew the base of active customers by analyzing market needs and creating tailored product offerings.

**KEY SKILLS**
*   Project Management & Business Development
*   Supplier Relations & Negotiation
*   Process Optimization & Cost Control
*   Personnel Recruitment, Training & Leadership
*   Brand Development & Visual Merchandising
*   Strategic Assortment Planning
*   Customer Needs Analysis & Sales Growth
*   Problem-Solving & Organizational Leadership

**CAREER OBJECTIVE**
Aiming to transition into a dedicated project management role, leveraging hands-on experience in founding and managing a business to deliver results on complex projects. Seeking a position with engaging projects, clear career growth, a collaborative team, and potential schedule flexibility."
412,"PROFESSIONAL EXPERIENCE

Launching New Cafe                                                                     March 2023 – April 2023
*   Managed the end-to-end launch of a new cafe, applying formal project management methodologies.
*   Gathered and analyzed customer requirements to define project scope, determine priorities, and create task assessments.
*   Created and distributed tasks, tracking day-to-day operations and task progress status.
*   Handled staffing, including conducting interviews and leading the team, with ongoing performance monitoring.
*   Planned the project budget and maintained diligent tracking of all expenses.

Medical Representative, Lviv                                                          August 2022 – February 2023
*   Cultivated relationships with healthcare providers, enhancing contract negotiation skills.

Sales Manager, Travel Agency, Lviv                                                February 2019 – August 2022
*   Researched and introduced new tourist destinations to the company’s portfolio.
*   Conducted training for staff, contributing to a 20% increase in sales through personal initiative.

Real Estate Manager, Lviv                                                              December 2017 – May 2018
*   [Note: Responsibilities for this role were not provided in the original text.]

Sales Representative                                                                        July 2014 – November 2017
*   Expanded the customer base by 30% and increased monthly sales by 20% through proactive client engagement.

EDUCATION & SKILLS
*   Successfully completed Project Management courses, with skills applied directly to the cafe launch project.
*   Core Competencies: Project Management, Team Leadership & Training, Budget Planning & Expense Tracking, Sales Strategy, Client Relationship Management, Negotiation, Operational Oversight."
413,"**PROFESSIONAL SUMMARY**
A detail-oriented IT undergraduate with a strong foundation in project coordination, data management, and process optimization. Combines practical experience in operations and administration with technical skills in Python, SQL, and data visualization. Seeking to leverage strategic thinking and problem-solving abilities in an IT Project Manager role while further developing expertise in Agile and Scrum methodologies.

**TECHNICAL SKILLS**
*   **Programming & Databases:** Python, SQL
*   **Project & Data Tools:** MS Project, Tableau
*   **Project Management:** Project Scheduling, Risk Management, Change Management, Leading Documentation
*   **Professional Skills:** Strategic Thinking, Communication, Negotiation, Problem Solving

**PROFESSIONAL EXPERIENCE**

**LB Photo** | Administrator
*03/2020 – 09/2020*
*   Managed order processing and sales documentation.
*   Implemented a new online ordering system to streamline operations.
*   Optimized client communication systems for improved efficiency.

**Music Label** | Manager
*11/2018 – 03/2020*
*   Managed and organized concert logistics and events.
*   Conducted negotiations with external partners for collaborations and partnerships.
*   Performed resource planning to ensure optimum allocation.

**State Public Scientific and Technical Library of Russia** | Manager of Librarianship
*Moscow, Russia*
*03/2018 – 06/2018*
*   Managed library collections, catalogs, and daily data input across multiple databases.
*   Adapted processes to an automated information system transformation.
*   Collaborated with the bibliography department on content creation.

**EDUCATION & INTERESTS**
*   Undergraduate Degree in Information Technology (In Progress)
*   **Professional Development:** Actively improving knowledge in Scrum framework and Agile methodologies.
*   **Personal Projects:** Enjoys solving complex problems using SQL and building applications with Python."
414,"PROFESSIONAL EXPERIENCE

Learning Project Manager | Aug 2020 – Sep 2022
*   Managed the development and execution of the company’s annual learning week program, facilitating a 90% volunteer turnout and achieving an 85% participant satisfaction rate.
*   Led a workstream of 4 people and coordinated full event logistics for 450 participants, including communications, calendar management, and session facilitation.
*   Directed a team of 11 to design and deliver educational courses for refugees within a 1-month deadline and limited budget, resulting in training for 15 refugees and winning the company’s regional charity initiative contest.
*   Developed and implemented a new onboarding program, reducing average onboarding time from 10 to 8 days.
*   Achieved a 15% cost saving by optimizing coach scheduling and working hours.
*   Increased participant feedback sharing by 30% through the design and arrangement of targeted incentives.
*   Managed on-site logistics for a 500-person event at Cambridge College, including registration and vendor liaison.

Executive Assistant | Sep 2019 – Aug 2020
*   Served as primary liaison with external stakeholders for key project events.
*   Ensured team compliance with company norms and standards.
*   Managed the annual team budget, including tracking, processing, and expense reporting.
*   Consistently met all assigned KPI goals for two consecutive years.
*   Organized and coordinated over 75 complex team travel itineraries to support client relationship management.

Learning Specialist | May 2017 – June 2019
ESL Teacher | January 2015 – May 2017
*   Coordinated a speaking club for language learners and provided social media marketing (SMM) support for the event.
*   Designed and developed curriculum and educational resources.
*   Created and maintained a centralized database of educational materials.
*   Introduced and implemented a new assessment system to improve academic performance and student motivation."
415,"**PROFESSIONAL SUMMARY**
Accomplished Line Producer and Project Manager with extensive experience in high-profile television production. Proven expertise in managing large-scale projects from concept through execution, including budget oversight, contract negotiation, and cross-departmental coordination for major prime-time shows.

**PROFESSIONAL EXPERIENCE**

**Line Producer / Project Manager** | TV Channel «Ukraine», Department of Production of Prime Shows
*2018 – 2022*
Produced flagship prime-time entertainment programs, including ""The Masked Singer"" and ""All Together Now."" Managed production for projects such as ""Morning with Ukraine"" and ""News.""
*   Managed full project document flow, executing over 30 unique contracts.
*   Negotiated and signed contracts with key contractors and celebrity talent, collaborating with legal and financial experts.
*   Maintained budgetary control and ensured timely settlements with all counterparties.
*   Coordinated production processes across all project units and departments.
*   Planned and scheduled staff work based on production requirements.
*   Prepared detailed financial reports on project expenditures.

**Producer / Project Manager** | TV Channel «Ukraine»
*2017 – 2018*
*   Conducted strategic planning, including market research and analysis of company development prospects.
*   Developed presentations and commercial proposals and led client negotiations.
*   Collaborated with key stakeholders and clients to define project requirements and deliver new products.
*   Managed all financial aspects including budgeting, forecasting, and risk management.
*   Led multiple projects simultaneously, each with teams exceeding 20 personnel.
*   Analyzed project outcomes and implemented measures for process improvement.

**SKILLS**
Project Management, Budget Development & Control, Contract Negotiation, Financial Reporting, Production Coordination, Strategic Planning, Stakeholder Relations, Team Leadership, Process Improvement."
416,"**PROFESSIONAL SUMMARY**
Logistics coordinator and educator with experience in supply chain operations, project management methodologies, and instructional planning. Proven ability to oversee complex processes, coordinate teams, and implement structured systems to ensure efficiency and meet objectives.

**PROFESSIONAL EXPERIENCE**

**Gwynn Logistics** | Logistics Coordinator
JAN 2021 – FEB 2022
- Oversaw all supply chain operations to ensure efficiency and compliance.
- Managed the safe and timely pick-up and dispatch of shipments.
- Reviewed, prepared, and routed purchase orders accurately.

**Discovery Montessori School** | English Teacher
OCT 2019 – SEP 2021
- Planned and implemented comprehensive lessons to build reading, writing, listening, and speaking skills.
- Conducted targeted small group and individual student lessons.
- Assessed and placed students into programs tailored to their educational needs.

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**LITS Academy** | Project Management Program
SEP 2022 – OCT 2022
- Studied core Project Management knowledge areas, process groups, and methodologies including Agile, Scrum, Waterfall, and Kanban.
- Explored scope, time, budget, quality, stakeholder, and risk management principles.
- Gained knowledge in team building, operational reporting, emotional literacy, conflict resolution, and burnout prevention for maintaining team performance and work-life balance.

**SKILLS**
- Project Management Methodologies (Agile, Scrum, Waterfall, Kanban)
- Supply Chain & Logistics Coordination
- Operational Oversight & Process Improvement
- Lesson Planning & Individualized Instruction
- Stakeholder Communication & Team Coordination
- Scope & Time Management Principles"
417,"[Your Name]
[Phone Number] | [Email Address] | [Location, e.g., City, Country] | [LinkedIn Profile URL]

**PROFESSIONAL SUMMARY**
A dedicated Project Manager with experience in the software development lifecycle, team coordination, and agile methodologies. Combines a technical project management background with a proven record in retail management, demonstrating skills in team leadership, process optimization, and operational efficiency. Seeking a permanent role to contribute to team success and pursue career growth.

**PROFESSIONAL EXPERIENCE**

**LocalUA • Walking Tours Application**
*Junior Project Manager*
01/2021 – Present
*   Coordinate the work of Android, iOS, Frontend, Backend, and QA teams to ensure project alignment.
*   Track team member workload and monitor tasks to control project deadlines.
*   Maintain comprehensive project documentation and implement standardized work rules for project teams.
*   Facilitate Scrum ceremonies, including Daily Meetings.
*   Apply knowledge of Software Development Lifecycle (SDLC) and project methodologies (Scrum, Kanban).

**Hillel IT School • Courses**
*Project Manager (Student)*
06/2020 – 08/2020
*   Gained understanding of core project management roles, artifacts, and ceremonies.
*   Studied stakeholder analysis, requirements management, and risks/conflict management.
*   Acquired practical skills in JIRA and Microsoft Project for task and project tracking.
*   Developed foundational knowledge in HTML, CSS, and software testing principles.

**MD Fashion, oodji**
*Store Manager*
02/2016 – 09/2017
*   Managed all store operations to ensure uninterrupted service and a positive customer experience.
*   Hired, trained, and motivated staff, managing work schedules and fostering team development.
*   Planned store sales volume, analyzed performance data, and prepared sales reports to facilitate planning.
*   Interacted with regulatory authorities and successfully optimized troubled work processes, improving efficiency.
*   Responsible for inspiring the retail team to achieve sales and profit targets.

**SKILLS**
*   **Project Management:** SDLC, Scrum, Kanban, Requirements Management, Risk Management, Documentation
*   **Tools:** JIRA, Microsoft Project, Microsoft Office
*   **Team & People Management:** Coordination, Workload Tracking, Hiring, Training, Motivation
*   **Analytical & Organizational:** Process Optimization, Reporting, Planning, Problem Solving, Time Management
*   **Technical Awareness:** Basic HTML/CSS, Understanding of Software Testing Principles"
418,"**PROFESSIONAL SUMMARY**

Graduate of a Project Management course with excellent results. Experienced in logistics, business consulting, and travel management, with a proven ability to organize operations, develop strategic plans, and ensure efficient project execution.

**PROFESSIONAL EXPERIENCE**

**Logistic Manager** | 2021 – 2022
*   Drew up schedules for cargo flows and determined methods of delivery by specific modes of transport.
*   Organized service planning, including the development of stages and delivery timelines.
*   Organized the formation of the necessary package of documents for the shipment of goods.
*   Controlled the receipt of all information regarding the arrival of cargo.

**Barbershop Consulting** | 2021
*   Drew up a comprehensive business plan, including defining the vision, potential, and list of services.
*   Conducted project cost calculations, audience analysis (client portrait, market size), and competitor analysis.
*   Developed marketing strategies to attract new customers and defined the roles of employees and partners.
*   Monitored the implementation of the work plan and managed project content on social media.

**Travel Manager** | 2019
*   Selected and sold tourist vouchers by processing online applications and incoming calls.
*   Calculated costs, executed documents, and concluded contracts with clients.
*   Accompanied clients from the initial booking through their return from the tour.
*   Booked hotel rooms and arranged air and railway tickets.
*   Maintained reporting documentation, managed payments, and interacted with tour operators.

**EDUCATION**

Project Management Course – Excellent Result"
419,"**PROFESSIONAL SUMMARY**
A motivated and detail-oriented professional with 5 years of experience in the IT sector, seeking a Project Manager role. Proven ability to support cross-functional teams and manage key project coordination tasks. Combines strong analytical and communication skills with a solid understanding of Agile/Scrum methodologies and the software development lifecycle.

**PROFESSIONAL EXPERIENCE**
**Project Coordinator / Management Support**
*   Supported company growth from 7 to 40 employees, actively contributing to the creation of internal processes and documentation alongside management.
*   Assist the CTO, CFO, and Project Manager with daily operational and administrative tasks.
*   Serve as a communication liaison with clients via Product Owners and Business Analysts; gather and forward change request information.
*   Prepare client analytics, including charts and tables from Jira data exports.
*   Lead daily stand-up meetings, write meeting protocols, and prepare status reports.
*   Estimate tasks and control time spent against estimates.
*   Prepare and distribute release notes.
*   Utilize strong conflict resolution and problem-solving skills to support team dynamics.

**SKILLS**
*   Project Management: Agile/Scrum Methodologies, Task Estimation, Time Tracking, Status Reporting, Release Management.
*   Tools: Jira (Data Export & Reporting).
*   Soft Skills: Cross-Departmental Communication, Client Relations, Analytics, Problem Solving, Conflict Resolution, Process Documentation."
420,"**PROFESSIONAL SUMMARY**
Dedicated Project Manager Assistant with experience supporting a high-volume account of 400+ personnel. Managed an average of 30 daily requests with a 96% customer satisfaction rate. Proven ability to work independently during night shifts and resolve issues across global regions including the USA, Japan, Europe, Canada, UAE, Mexico, India, Singapore, Morocco, Georgia, Egypt, Kazakhstan, and the Russian Federation. Skilled in stakeholder collaboration, data management, and administrative project support.

**PROFESSIONAL EXPERIENCE**
**Luxoft** | Project Manager Assistant
*   Supported a large-scale account with over 400 headcount, managing an average of 30 daily requests and achieving a 96% customer satisfaction rate.
*   Worked independently during night shifts to provide continuous global support, resolving issues across multiple international regions.
*   Authored and tracked Statements of Work (SOW), ensuring accurate project documentation.
*   Collaborated with diverse stakeholders including program/project managers, financial partners, and billing & collection specialists.
*   Maintained and updated project structures within corporate systems to ensure data integrity.
*   Provided project-specific support, reporting, and developed ad hoc reports for administrative needs.
*   Gathered and processed various project data to support decision-making and reporting.
*   Managed employee lifecycle processes including onboarding, transfers, and offboarding in customer and internal systems.
*   Maintained accurate employee data in internal tools and validated timesheets for payroll accuracy.
*   Facilitated regular workforce allocation and ensured timely payroll processing for full employment.

**KEY SKILLS & ATTRIBUTES**
*   Project Administration & Support
*   Stakeholder Collaboration
*   Data Gathering & Processing
*   Global Issue Resolution
*   System & Data Maintenance
*   Process Management (SOW, Onboarding, Timesheets)
*   Independent & Proactive Work Ethic
*   Commitment to Professional Growth"
