,Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct
393,"Results-driven professional with a strong background in procurement and project management, seeking to leverage skills and experience to transition into a dynamic role. Proficient in English and conversational in French.

Key Experience:

Team Leader, International Procurement Department
- Coordinated import operations, including supplier identification, contract negotiation, and implementation of procedures for customs clearance and goods receipt
- Managed export operations, ensuring timely delivery of finished products and compliance with necessary procedures

Mechanical Engineer
- Performed design and engineering tasks, including development of operational documentation and author's supervision of parts manufacturing
- Conducted quality control and ensured compliance with project requirements

Education:

- Master of Architecture
- Bachelor's degree in Compressors, Pneumatic Units, and Vacuum Technologies

Professional Development:

- Completed Front-end Development Workshop (SheCodes)
- Earned Google Project Management Professional Certificate (Coursera)
- Participated in Jira Project Network guided project (Coursera)
- Completed Excel Skills for Business Specialization (Macquarie University via Coursera)
- Completed SAP Professional Fundamentals (Coursera)

Proficient in:

- 1C
- Microsoft Office
- AutoCAD
- Project management software developed for enterprise needs

Seeking a challenging role that utilizes acquired skills and offers opportunities for growth and development."
394,"Results-driven professional with experience in teaching, translation, management, and technical support. Proven ability to master new skills and adapt to new industries, with a strong foundation in communication and problem-solving.

English Teacher - Primary Schools, China
- Developed skills in simplifying complex concepts and interactive teaching methods
- Prepared and delivered lessons to primary school students

Manager-Translator - Solar Power Station Constructions
- Sourced and contacted companies for materials and services
- Translated documents from Ukrainian to Chinese
- Coordinated with subcontractors and resolved issues with delivery time changes

Account Manager - Startup (iPhone Accessories)
- Researched and identified Chinese factories for product development
- Facilitated communication between the company and factories

Interpreter - Metallurgical Factory and Mining Sites
- Provided interpretation services for effective communication

Technical Support Operator
- Maintained a positive demeanor in challenging dialogue
- Participated in daily team meetings to set goals and objectives
- Studied and understood the team's instruments and tools
- Controlled development speed and communicated with clients to understand their needs and provide developer-centric solutions"
395,"Project Management Course, IT School Hillel, 2021

Export Sales Manager, Production Company
- Develop and maintain strong relationships with partners and internal teams through effective communication
- Utilize various communication channels, including personal meetings, phone calls, online meetings, social networks, and email
- Enhance daily communication and management skills

E-commerce Department Experience
- Successfully implemented an online store platform, leveraging all available channels to interact with partners
- Doubled the number of regular partners through Instagram integration
- Increased average bill value through related and cross-sales

Key Responsibilities
- Order fulfilment control and management
- Managed printed project-related orders, including screen printing
- Conducted design checks and adjustments as necessary
- Utilized 1C program for checkout processes

Analytics and Strategy
- Conducted market analytics for Ukraine
- Analyzed sales performance within the department
- Planned and implemented sales strategies to achieve growth and meet sales targets
- Built and promoted long-lasting customer relationships by understanding and addressing their needs"
396,"Results-Driven Project Manager
Seeking a dynamic company that pioneers innovative products and technologies, where I can collaborate with creative minds and drive projects forward.

Summary:
Highly motivated and organized professional with experience in managing teams, creating and implementing projects, and driving business growth. Proven track record of successfully leading cross-functional teams and delivering results in fast-paced environments.

Professional Experience:

Project Manager
Ukraine International Media Culture, uimc.com.ua (06.2017 - 05.2019)
- Spearheaded the creation and launch of the Tourism Department (uita.com.ua), overseeing staff recruitment, goal setting, and performance supervision
- Effectively managed budgets, outsourced companies, and ensured high-quality service delivery
- Fostered strong relationships with clients, negotiating contracts and organizing bespoke delegation visits to Ukraine for groups of up to 115 people
- Developed and implemented website content and presentations, driving online engagement and growth

Business Tourism Manager
New Standart (Business Tourism), nst.ua (06.2016 - 05.2017)

VIP Customer Service Manager
Smart Line (Business services), smartline.ua (09.2014 - 06.2016)"
397,"English Prime
Advanced English Course Graduate, 2022-March 2023
Test Result: 98%

IAMPM
Project Manager, Jun 2022 - Aug 2022
Honours Degree

Kyiv City Qualification and Disciplinary Bar Commission under the Kyiv Bar Council
Certificate of the right to engage in advocacy, May 2019 - Feb 2020, Jan 2023 - to date

Sigma Ori
Project Manager, Mar 2018 - to date
Enterprise main activity: developing a website
Key responsibilities: project presentation, team creation, planning, execution stage management (meetings, people management, tools management)

SKYBUDVECTOR, LLC
CEO, Aug 2015 - Feb 2018
Enterprise main activity: real estate transactions
Key responsibilities: comprehensive maintenance activities, meeting and agreement preparation and holding, account keeping, employee coordination, corporate issues

Zhytlo-Bud, LLC
Head of Legal Compliance, 
Enterprise main activity: housing construction
Key responsibilities: full legal support, interest protection in court, representation before companies, institutions, and organizations"
398,"Took 1st place in the Competition of business plans of entrepreneurial activity among students of higher education institutions in 2022.
Took 2nd place in the Scholarship project in Ukraine 2021 on the theme 'The system of discounts, promo codes, promotions as a tool for gaining loyalty on the Internet.
Participated in the Junior Club from Kharkiv IT Cluster in 2020.

Assistant to Alex Voloshyn, CEO & Co-Founder at Postello.ai
January 2023 – Present

Intern, Demium Ukraine
August – December 2022
- Communicated with entrepreneurs of the Incubation Programme and the company's partners
- Executed the company's internal documents and presentations
- Moderated internal lectures and workshops
- Published information on the Demium Ukraine Facebook Business Account
Successfully completed the Demium Internship Program in the Project Management sphere within a startup ecosystem

Project Manager, Educational Project “The book” – the app reader for children
September – December 2021
- Wrote and supported a Project Charter
- Created a Resource Plan and a Gantt chart
- Coordinated work using task tracker Jira (+Confluence)
- Created and maintained the Risk Register
- Created application prototypes

Marketolog, Boot Camp from Kharkiv IT Cluster
April – June 2021
MVP of the project “EcoSchool” – the learning platform with tests on ecology for pupils
- Wrote content for the platform
- Wrote an article for promotion
- Prepared for the presentation of the project in the final of the Boot Camp"
399,"Managing Director & Project Manager
Results-driven leader with experience in managing online and retail stores, team management, and project coordination. Proven track record of building business processes from scratch and achieving remarkable results.

Summary:
Highly organized and detail-oriented professional with experience in managing teams, improving workflows, and enhancing customer satisfaction. Skilled in project management, team collaboration, and Agile practices.

Experience:
Managing Director, Online and Retail Stores, Moscow
- Built and managed a team of over 15 people, prioritizing customer satisfaction and relationship management
- Organized company participation in professional exhibitions and events, showcasing organizational skills
- Collaborated with a Software Development Team to improve website features and functionality

IT Startup Experience
- Gained valuable experience in the IT industry, driving career growth and professional development
- Completed IT PM Course at Beetroot Academy, enhancing project management skills
- Continuously improving English language skills to enhance global communication

Project Management Experience
- Communication with customers and stakeholders, managing expectations and refining requirements
- Created product backlogs, user stories, and prioritization plans for online store web development
- Utilized project management tools such as Jira, Confluence, Gantt Chart, and U-Track to plan and track project progress
- Implemented Agile practices to improve workflow processes and team efficiency
- Managed risk and troubleshot issues to ensure project success
- Provided high-quality customer service, ensuring customer satisfaction

Skills:
- Project management and coordination
- Team management and collaboration
- Agile practices and workflow improvement
- Customer relationship management and satisfaction
- Risk management and troubleshooting
- Proficient in Jira, Confluence, Gantt Chart, U-Track, Notion, bpm-online (Terrasoft), Trello, and Planfix
- Strong organizational and communication skills

Career Objective:
Seeking a Junior Project Manager/Project Coordinator position in a dynamic and growth-oriented organization. Eager to contribute to a team's success and continue personal and professional development in the IT industry."
400,"22 years of experience in people management and project budgeting, planning, and forecasting
12 years of experience in managing startup projects from initiation to closing
10 years of experience in marketing
8 years of experience in eCommerce

Languages: 
Advanced English
Fluent Ukrainian and Russian

Certifications and Courses: 
Prince2 certification
IT Project Management course from Web Academy, with knowledge of:
IT Project management tools, artifacts, and phases
Main principles of Waterfall, Agile, Scrum, and Kanban
Risk management, quality assurance, and budget planning
Proficient in Jira, Traceability matrix, Gantt chart, WBS, Critical path, ROAM, and RACI

Work Experience:

Hub Coordinator, Julian House (UK)
May 2023 - Present
Core Responsibilities:
Organise and facilitate sessions, programmes, and events in Community Hubs
Ensure effective communication and collaboration between company clients and managers
Maintain accurate records of Hub activities, attendance, and client feedback for performance evaluation and future planning

Founder and Project Manager, Beauty Salon Skin Journey (Singapore)
September 2018 - September 2021
Core Responsibilities:
Launched business from scratch, overseeing full-cycle process
Defined scope and functionality of website
Delivered website with external designers, developers, and testers
Managed SMM and digital promotion with external vendors
Coordinated team of 6 people
Worked with suppliers and distributors
Handled retail sales and finance and analytics

Founder and Project Manager, eCommerce business Topstop (Ukraine-USA)
November 2009 - July 2017
Core Responsibilities:
Defined scope and functionality of websites
Delivered websites with external designers, developers, and testers
Managed digital promotion with external vendors
Remotely coordinated team of 5 people
Handled purchase, shipment, and delivery to clients
Managed finance and analytics

Head of Marketing Department, Zhitomirskie lasoschi (Kiev, Ukraine)
June 2007 - July 2008
Core Responsibilities:
Planned and supervised marketing strategy implementation
Managed annual budget of Marketing Department
Developed assortment policy for the company
Supervised 5 sections of Marketing Department: Marketing, Advertisement and PR, Design, VIP-retail, and Technological innovations

Brand Manager, various companies
1999 - 2007"
401,"Achievements:
- Built a business from the ground up
- Reduced staff turnover from 50% to 10% through staff engagement initiatives
- Conducted negotiations with suppliers, resulting in decreased product prices and savings for the company budget
- Consistently increased sales by 30% annually
- Improved customer confidence in the company by 20% annually
- Fostered a positive atmosphere, welcoming guests and increasing confidence in the company
- Created a favorable team environment, preventing personnel leakage and conflicts
- Optimized office expenses, saving the company's budget
- Exceeded monthly sales targets
- Initiated assortment expansion, resulting in additional profit for the company

Professional Experience:

Manager, Service Company PP, Kyiv
June 2018 - Present
- Recruitment and team management
- Supplier relations and negotiations
- Business analysis and budget planning
- Development and implementation of marketing strategies
- Employee wage management and conflict resolution
- Team training, meetings, and one-to-one meetings
- Client relations and survey administration

Director, Service Company PP, Kyiv
October 2010 - May 2017
- Organized and controlled working processes
- Recruitment and team training
- Document management and record-keeping
- Supplier relations and corporate event planning

Administrator, Law Company “Nobilex”, Ltd, Kyiv
November 2009 - June 2010
- Guest reception and meeting organization
- Document management and procurement
- Personal assignments and task management

Client Manager, “Cosmo-Trade” trading company, Ltd, Kyiv
December 2008 - October 2009
- Sales and client relations for beauty salon materials and equipment
- Client acquisition and account management

Shop Assistant, “Teez To Pleaze”, Mackinaw City, MI, USA
June 2008 - August 2008
- Sales and customer service in a retail environment

Assistant-Interpreter, Event company “Initia”, Kyiv
May 2008
- Summit organization and interpretation for the European Bank for Reconstruction and Development

Career Objective:
Junior Project Manager or Project Coordinator in the IT field, utilizing organizational and management skills to successfully manage projects."
402,"Junior IT Coordinator
Luxoft
November 2021 – Present
Kyiv City, Ukraine
Worked within the Service Desk system based on Jira, processing applications, assisting with employee passwords, and monitoring system operations. Collaborated with system engineers to ensure efficient system functioning.

IT Project Manager
Discord Bot: Theory.Lib
August 2021 – Present
Participated in the development of a Discord bot, organizing team workflows, pre-release content checks, and conflict resolution. Ensured harmonious team communication and filled the bot with necessary information.

Junior Project Manager
Independent Animation Studio Karandash
March 2021 – June 2021
Managed animation film projects, organized animators' workflows, calculated salaries, and distributed responsibilities under supervision.

Project Manager and Team Lead
Comics Translation Groups
2017 – Present
Oversaw all processes, organized teams, and ensured high-quality and regular releases of translation chapters for English to Russian translations.

Logistics and Document Management Specialist
Yukon Transit
July 2019 – September 2019
Managed company documents, controlled personnel-related documents, performed accounting of transportation costs, and maintained document flow.

Translation Project Manager
Freelance
Managed translation projects with teams of 3-6 people, successfully closing three projects and currently handling ten active projects."
403,"September 2018 - January 2020: Volunteer and Member, Anomaly
- Taught A1-A2 English to ATO and OOS veterans

Founder and Head, University Cinema Club

Certifications:
- QA Engineer, Udemy, April 2023
- EFSET English Certificate, 66/100 (C1 Advanced), EF Standard English Test, September 2023

Junior IT Project Manager, True Global, July 2023 - Present
- Manage QA and DevOps teams
- Analyze business requirements and conduct research of varying complexity
- Propose solutions and ideas for product enhancement
- Prepare specifications
- Participate in backlog grooming and sprint planning

Project Manager, +Kouble, June 2020 - June 2023
- Managed existing customers, including key ones
- Conducted sales and searched for new customers
- Communicated with and managed B2B clients
- Coordinated international and local deliveries
- Coordinated the production process
- Managed document flow

Volunteers Team Leader, Theatre.love, April 2019 - May 2020
- Coordinated volunteer teams in Kyiv and Lviv
- Searched for new volunteers
- Established friendly and trusting relationships with volunteers
- Resolved conflict situations and prevented new ones
- Monitored and controlled volunteer work

Project Coordinator, Scheduling Worldwide by 4Service, November 2018 - March 2019
- Worked on large marketing research projects in Switzerland, the Czech Republic, and The Netherlands
- Coordinated mystery shoppers
- Communicated with mystery shoppers
- Searched for new mystery shoppers
- Implemented short-term projects
- Worked in a project team

Looking for remote positions only."
404,"Result-driven professional with experience in project management, business planning, and analysis. Proven ability to work effectively in various fields, navigate complex issues, and manage stress. Skilled in critical thinking, time management, and workflow planning, with a strong track record of completing tasks efficiently.

JUNIOR PROJECT MANAGER
INTERLINK, 2019
- Conducted a local project utilizing Scrum methodology
- Controlled project teamwork to ensure timely completion

CO-FOUNDER & ASSISTANT POLITICAL TECHNOLOGIST
FREE WINGS NGO, 2018-2019
- Worked with the public and managed project submissions for participation budget
- Managed content and organized meetings and events
- Collected, processed, and analyzed data using pivot tables, charts, and large datasets
- Contributed to the development of candidate strategy

JUNIOR BUSINESS PLANNING ANALYST
KRESTON GCG: ACCOUNTING AND CONSULTING, 2017-2018
- Analyzed data using pivot tables, charts, and large datasets
- Collected, processed, and analyzed information to inform business decisions
- Participated in the development of business strategy and plans

UNIDO INTERNSHIP
UN ENERGY EFFICIENCY PROJECT, 2016-2017
- Contributed to the development of a business project for grant funding
- Participated in international conferences and training on energy conservation
- Collected, prepared, and analyzed data for project development

Possess strong diplomatic and interpersonal skills, with experience in teaching and managing people. Proficient in negotiating and able to work effectively in a team environment."
405,"Junior Project Manager
TECO, Kharkov
Nov 2021 - May 2022
- Managed software development projects for free cooling systems for ""Kyivstar""
- Developed and coordinated project plans, set and controlled tasks, and reported on project status
- Coordinated client interactions and communications
- Organized and led work meetings

Head of Quality Management Department
LCC ""NewTon"", Kharkov
Nov 2019 - Feb 2022
- Led a team of 10 members, managed task allocation, and monitored progress
- Created project documentation and instructions
- Improved working processes and distributed work plans

Production Manager
JSC ""Technology"", Sumy
Apr 2018 - Aug 2019
- Managed a team of 600 employees
- Led projects for new department organization in production
- Created project plans, managed execution time, and controlled project budgets
- Reported on project status and managed client interactions
- Organized work meetings and resolved conflicts and risks"
406,"Junior Project Manager (Oct 2019 - March 2020)
- Assisted the Lead Project Manager with reporting and resource planning
- Conducted preliminary project estimation
- Identified and mitigated risks, resolving issues for the project team
- Configured JIRA to meet project needs
- Facilitated meetings and SCRUM ceremonies

Client Relationship Manager (Feb 2017 - Sep 2019)
- Developed and expanded existing and new client relationships through negotiation, product presentation, and sales meetings
- Led Implementation Projects, including:
  - Planning project stages and implementation terms
  - Creating Communication Strategies with CGM and team
  - Executing internal Readiness Assessments
  - Managing and escalating risks throughout projects
  - Ensuring completion of end-to-end testing
  - Providing startup metrics and feedback
  - Conducting handovers to operations
  - Participating in internal and external post-implementation reviews
  - Monitoring results and adherence to project outcomes"
407,"Google Project Management Certificate
(Kyiv, Ukraine)
Duration: 6 months
 Course in managing projects using analytical methods and search methodology (Agile), writing project documentation, and developing strategic communication skills.

Google Fundamentals of Digital Marketing
(Kyiv, Ukraine)
Duration: 1 month
Course in fundamentals of basic marketing knowledge for developing or building a business.

Web Design Fundamentals
(Kyiv, Ukraine)
Duration: 10 hours
Course in fundamentals of basic knowledge of Web Design, including 5 hours of practical lessons (lectures) and 5 hours of practical training.

Capstone: Applying Project Management in the Real World
(Kyiv, Ukraine)
Duration: 1 month
Course practicing application of project management knowledge and skills.

Agile Project Management
(Kyiv, Ukraine)
Duration: 1 month
Course exploring the history, approach, and philosophy of Agile project management, including the Scrum framework.

Project Execution: Running the Project
(Kyiv, Ukraine)
Duration: 1 month
Course delving into the execution and closing phases of the project life cycle.

Project Planning: Putting It All Together
(Kyiv, Ukraine)
Duration: 1 month
Course exploring how to map out a project in the second phase of the project life cycle: the project planning phase.

Project Initiation: Starting a Successful Project
(Kyiv, Ukraine)
Duration: 1 month
Course showing how to set a project up for success in the first phase of the project life cycle: the project initiation phase.

Foundations of Project Management
(Kyiv, Ukraine)
Duration: 1 month
Course equipping with skills to apply to introductory-level roles in project management.

WORK EXPERIENCE

JUNIOR PROJECT MANAGER
Online-store «Pleer»
August 2021 - October 2022 (1 year 2 months)
Results:
- Successfully launched and operated an online sales channel with an efficient development process and team organization.

MARKETING AND SALES SPECIALIST
Online-store «Pleer»
February 2021 - August 2021 (6 months)
Results:
- Optimized marketing and sales costs and resources, improving competitive advantage and market position.

SALES MANAGER
Online-store «Pleer»
June 2018 - February 2021 (2 years 9 months)
Results:
- Improved communication, negotiation, problem-solving, and customer service personal skills.

INSURANCE SALES MANAGER
PJSC «Ingosstrakh»
June 2015 - June 2018 (3 years 1 month)
Results:
- The branch exceeded the sales plan, improving customer satisfaction and loyalty.

MIDDLE BANKING SALES MANAGER
PJSC «VTB Bank»
May 2013 - September 2014 (1 year 4 months)
Results:
- The branch led and strengthened positions in the sales of banking services in Kharkiv.

BANKING SALES MANAGER
PJSC «VTB Bank»
December 2012 - May 2013 (5 months)
Results:
- The branch occupied a leading position in sales of banking services.

BANKING SALES MANAGER
PJSC «Alfa-Bank»
April 2012 - December 2012 (9 months)
Results:
- The branch achieved and strengthened leading position in sales of banking services in Kharkiv.

BANKING SALES MANAGER
PJSC «A-Bank»
June 2011 - November 2011 (6 months)
Results:
- The new branch rivaled leaders in banking service sales in Kharkiv.

CAREER OBJECTIVE
To utilize skills in project management, web development, and sales for successful delivery of online businesses, e-commerce, and edtech projects, and to grow professionally by gaining knowledge from expert Project Managers in project management, edtech, and digital marketing."
408,"Technical Documentation and Visualization
----------------------------------------
Can write technical documentation and visualize customer desires

Data Analysis and Structuring
-----------------------------
Can analyze data and structure it

Project Experience
------------------
Participated in a number of projects, ranging from simple applications to complex projects involving multiple teams

Tools and Technologies
----------------------
Trello
Jira
GitLab
RealtimeBoard
Draw.io
Manual testing
Bugs tracking

Team Management Experience
---------------------------
Managed teams:
- Android: Kotlin, Java
- iOS: Swift, Obj-c
- Back end: PHP, Python
- Front end: JS, Angular
- React cross platform: React Native

Roles
------
Junior Project Manager
Trainee Project Manager
Assistant Project Manager

General Experience
------------------
1 year 6 months

Key Responsibilities
---------------------
- Clarifying product requirements and client needs
- Driving product implementation
- Working closely with engineering and product teams
- Managing project schedule, budget, and scope
- Maintaining effective communication and reporting to stakeholders
- Supporting the Product Owner for product backlog maintenance
- Facilitating sprint planning, stand-ups, and retrospectives
- Facilitating issue resolution within the team
- Managing risks and developing contingency plans
- Ensuring high throughput of development teams by identifying and addressing potential issues

Skills
------
Project management
Project status tracking
Teamwork
Problem-solving"
409,"Results-driven IT professional with 2+ years of experience and a proven track record of successfully managing over 200 projects within a year. Skilled in business development, sales strategy planning, and project management, with a personal sales record of 200,000 Euro in 2019.

Key strengths include:

* Senior-level management experience with expertise in multi-tasking, driving dozens of projects simultaneously
* Fluency in Japanese and English, with experience conducting full-scale negotiations and attending voice meetings with clients
* Proven ability to manage project budgets, costs, and invoicing, with a strong focus on delivering output on time

Technical skills include:

* Setting up projects in Jira, including technical description, tasks, and sub-tasks
* Managing projects in the production pipeline and coordinating production teams
* Classifying and estimating projects using the time and material model

Career goals:

* Seeking a Junior Project Manager position with a technical focus
* Interested in working in a billing team, driving commercial projects, and monitoring SLA adherence
* Prefer working with Web development companies, particularly those with APAC customers, to utilize Japanese language skills

Additional skills:

* Data-driven approach with ability to set up BI tools for business and development processes
* Experience with B2B communication, account management, and sales representation
* Comfortable working with outsource/outstaff companies and open to various industry segments, with a preference for Web development."
410,"KEY INFORMATION:
Highly motivated IT professional with 4.5 years of experience in the industry, seeking to leverage skills and knowledge in Project Management for professional growth. Proven background in accounting and HR.

EDUCATION AND TRAINING:
PM School, where key skills were developed in:
- Developing Project Charters and Vision statements
- Creating Specifications (SRS by IEEE 830 standard, User Stories)
- Constructing Work Breakdown Structures (WBS) using Gantt Charts
- Conducting Risk Analysis, including risk identification, qualitative risk analysis, planning risk responses, and creating risk registers and management plans
- Understanding of Waterfall, Agile methodologies (Scrum, Kanban, LEAN), and People Management principles

SKILLS:
- Proficient in Microsoft Office Suite (Word, Outlook, PowerPoint)
- Advanced skills in utilizing Jira, Confluence, SharePoint, SAP, ERM, Navision, and 1C
- Strong understanding of Software Development Life Cycle (SDLC), with knowledge of Scrum, Kanban, and Waterfall methodologies
- Experienced in composing project documentation, including Vision statements, SRS, and User Stories
- Skilled in creating Work Breakdown Structures (WBS) and Gantt Charts
- Theoretical knowledge of Quality Assurance (QA)
- Analytical skills for assessing situations that may arise in daily project management work

LANGUAGE PROFICIENCY:
English: Upper-intermediate level"
411,"Co-Founder and Manager
Grocery Store

Responsibilities:
- Managed supplier relationships and selected product assortment
- Recruited, trained, and supervised personnel, developing job descriptions and implementing performance control measures
- Created corporate identity, designed POS materials, and developed the fresh-bar menu

Achievements:
- Identified and partnered with high-quality suppliers, optimizing daily expenses to increase sales and revenue
- Analyzed customer needs to create targeted offers, resulting in an increase in active buyers

Skills:
- Strong communication and negotiation skills
- Excellent organization and problem-solving skills

Career Aspirations:
Seeking a role with interesting projects, career opportunities, and a collaborative team, with a preference for flexible scheduling."
412,"**Summary**
Results-driven professional with experience in project management, sales, and team leadership, possessing a strong background in launching new initiatives and driving business growth.

**Work Experience**

**Launching New Cafe, Project Manager**
March 2023 — April 2023
- Gathered and analyzed customer requirements, defined project scope, determined priorities, assessed needs, created and distributed tasks
- Staffed and led the team, conducted interviews, monitored and measured staff performance
- Managed budget planning and tracked expenses
- Tracked and supported day-to-day operations and task progress

**Medical Representative, Lviv**
August 2022 — February 2023
- Utilized and increased negotiation skills to conclude contracts with healthcare providers

**Sales Manager, Travel Agency, Lviv**
February 2019 — August 2022
- Introduced and studied new tourist destinations
- Conducted staff training, leading to a 20% increase in sales through initiative

**Sales Representative**
July 2014 — November 2017
- Increased customer base by 30% through effective sales strategies
- Achieved a 20% increase in monthly sales

**Real Estate Manager, Lviv**
December 2017 — May 2018

**Education**
Completed Project Management courses"
413,"Highly developed skills in Strategic thinking, Communication, and negotiation, with expertise in Problem solving, Project scheduling, Change Management, and Risk Management. Proficient in leading documentation and utilizing tools such as Python, SQL, MS Project, and Tableau.

Work Experience:

LB Photo, Administrator
March 2020 - September 2020
- Implemented an online ordering system
- Optimized client communication systems
- Managed sales documentation

Music Label, Manager
November 2018 - March 2020
- Managed and organized concerts
- Negotiated collaborations and partnerships with external parties
- Conducted optimum resource planning

State Public Scientific and Technical Library of Russia, Manager of Librarianship
March 2018 - June 2018
- Performed daily data input into multiple databases
- Managed and handled collections and catalogs
- Adapted to transformations with automated information systems
- Created content with the bibliography department

Education:
Undergraduate student in IT, with a goal to enhance knowledge in Scrum framework and Agile methodologies, aiming to work as a Project Manager in IT projects. Utilize spare time to solve SQL problems and code in Python."
414,"LEARNING PROJECT MANAGER
Aug 2020 – Sep 2022

Key Accomplishments:
- Successfully developed and facilitated the company's annual learning week programme with a 90% turnout and 85% satisfaction rate, managing a workstream of 4 people
- Coordinated registration for 450 people, including communication, calendar management, and session facilitations
- Led a team of 11 people in producing educational courses for refugees within a tight deadline of 1 month and limited budget, resulting in teaching 15 refugees and winning the company's contest for best regional charity initiative
- Designed and implemented an onboarding programme for new joiners, reducing onboarding time from 10 to 8 days
- Achieved a 15% budget saving by optimizing coaches' working hours
- Implemented incentives to increase participant satisfaction, resulting in a 30% increase in feedback sharing
- Facilitated on-site logistics for an event at Cambridge College, handling registration for 500 people and liaising with external vendors

EXECUTIVE ASSISTANT
Sep 2019 – Aug 2020

Key Accomplishments:
- Coordinated with external stakeholders on key project events
- Ensured team norms compliance
- Managed annual team expenses, including budgeting, tracking, and processing
- Successfully met all KPI goals for two consecutive years
- Organized over 75 team travel itineraries to support client relationships

LEARNING SPECIALIST & ESL TEACHER
May 2017 – Jun 2019, Jan 2015 – May 2017

Key Accomplishments:
- Coordinated the speaking club for learners and provided SMM support for the event
- Designed curriculum and created educational resources
- Developed and managed an educational resources database
- Introduced and implemented an assessment system to improve academic performance and motivation"
415,"Line Producer/Project Manager
Department of Production of Prime Shows TV Channel «Ukraine»
2018-2022

Key Projects:
- ""The Masked Singer""
- ""All Together Now""
- ""Morning with Ukraine""
- ""News""

Responsibilities:
- Managed document flow for projects, including over 30 unique contracts
- Coordinated contract signing with key contractors and top stars, collaborating with lawyers and financial experts
- Controlled budget and ensured timely settlements with counterparties
- Coordinated production processes between project units
- Planned staff work schedules according to production needs
- Prepared financial reports on project expenses

Producer/Project Manager
2017-2018

Key Responsibilities:
- Planned company development options, conducted market research, and identified growth prospects
- Prepared presentations, commercial proposals, and negotiated with clients
- Collaborated with key stakeholders to define requirements and deliver new products
- Managed finances, including budgeting, forecasting, and risk management
- Simultaneously managed multiple projects with over 20 team members each
- Analyzed project performance and implemented improvement measures"
416,"LITS Academy
September 2022 - October 2022

Project Management Training
- Acquired knowledge of project management methodologies, including Agile, Scrum, Waterfall, and Kanban
- Studied project management knowledge areas, process groups, and scope management
- Learned about stakeholder management, expectation management, and communication on projects
- Gained understanding of team building, time management, self-management, and delegation
- Explored risk management, emotional literacy, stress resistance, and conflict resolution
- Familiarized with budget management, operating models, and quality management
- Discussed evaluation as a management tool, burnout prevention, and work-life balance

Gwynn Logistics
Logistics Coordinator
January 2021 - February 2022

- Coordinated logistics operations, including reviewing and routing purchase orders
- Ensured safe and timely pick-up of shipments
- Oversaw supply chain operations

Discovery Montessori School
English Teacher
October 2019 - September 2021

- Taught small groups and individual lessons
- Placed students in suitable programs based on their needs
- Planned and implemented lessons to develop reading, writing, listening, and speaking skills"
417,"LocalUA
Walking Tours Application
Junior Project Manager
01/21 - Present

* Manage project documentation and coordinate team efforts across Android, iOS, Frontend, Backend, and QA
* Implement Scrum methodology, conducting daily meetings and tracking team workload
* Monitor tasks, regulate deadlines, and ensure project milestones are met
* Create and implement team rules, promoting efficient collaboration
* Utilize knowledge of Software Development Life Cycle (SDLC) and project development methodologies (Scrum and Kanban)

Hillel IT School
Project Manager (Student)
06/20 - 08/20

* Gained understanding of main project roles, artifacts, and ceremonies
* Developed skills in stakeholder analysis, requirements management, and risk/conflict management
* Managed projects using JIRA and Microsoft Project
* Utilized Microsoft Office and acquired basic knowledge of HTML and CSS
* Applied understanding of software testing principles and people management

MD Fashion, oodji
Store Manager
02/16 - 09/17

* Ensured uninterrupted store operations, managed staff, and planned sales volumes
* Created staff schedules, interacted with regulatory authorities, and analyzed sales reports
* Demonstrated expertise in customer-facing sales, team building, and development
* Improved work processes, reduced staff, and accelerated employee development

Highly organized, skilled in time management, and proficient in problem-solving, with comprehensive experience in team facilitation and development."
418,"Graduated Project Management course with excellent result

Logistic Manager 
2021 - 2022
• Managed cargo flow scheduling and determined optimal transport modes
• Coordinated service planning, developed stages, and delivery timelines
• Prepared necessary documentation for shipment and controlled receipt of cargo information

Barbershop Consultant 
2021
• Developed a comprehensive business plan, including:
  • Goal and potential assessment
  • Service offerings and revenue generation
  • Project cost calculation
  • Target audience analysis and market size evaluation
  • Competitor analysis and marketing strategies
  • Employee and partner roles in achieving goals
• Monitored work plan implementation and managed project content on social media

Travel Manager 
2019
• Processed tourist voucher sales, online applications, and client inquiries
• Calculated and executed documents, and concluded client contracts
• Provided client support from booking to return
• Managed hotel room bookings, air and railway ticket reservations, and reporting documentation
• Handled payments and interacted with tour operators"
419,"Results-driven IT professional seeking a project manager opportunity to leverage strong analytical, communication, and problem-solving skills. 

With 5 years of experience in IT, I have developed a deep understanding of the industry, including the specific nature of IT and effective approaches to working with programmers. My experience in a rapidly growing company, scaling from 7 to 40 employees, has equipped me with the ability to adapt to changes and difficulties.

As a key team member, I have contributed to the creation of company processes, documentation, and attitudes, working closely with management. Currently, I provide support to the CTO, CFO, and project manager in their daily tasks.

Key responsibilities include:
- Communicating with clients through product owners and business analysts to address change requests and gather information
- Preparing analytics for clients, including charts and tables from Jira data exports
- Leading daily stand-ups, writing protocols, and status reports
- Estimating tasks and controlling spent time
- Applying knowledge of project management methodologies, including Agile and Scrum
- Preparing release notes

I possess excellent analytic and communication skills, with a strong ability to resolve conflicts and solve problems. My inborn optimism, sociability, and curiosity drive my enthusiasm for continued growth and success in the IT industry."
