,"Modified_gpt-4o_of_Experience:

2013-2019 - Entrepreneur, Sales of Medical Equipment and Related Goods (ФОП Петрова С.С /МЕДТЕХНІКА)
- Managed and supported daily retail operations.
- Responsible for employee selection.
- Negotiated and concluded contracts with suppliers.
- Addressed transport and logistics issues including receipt, relocation, revaluation, and returns.
- Managed accounting for payments to suppliers, contractors, buyers, and customers.

2019-2021 - COO, Artichoke Art & Fashion School
- Led sales of short-term educational courses in art direction.
- Selected and managed a team of employees.
- Organized teamwork for a team of six members.
- Developed and distributed tasks within the team.
- Managed projects including the creation of monthly work plans across various disciplines, from course programs to marketing activities and enrollment statistics.
- Directed 'weekend' projects such as master classes and public talks.
- Maintained student accounting and database records.

Summary of Achievements:
- Planned, directed, and managed projects to meet objectives.
- Coordinated the successful simultaneous development of multiple projects.
- Delegated responsibilities and developed time schedules.
- Negotiated contracts ensuring quality standards were met._Modelgpt-4o"
220,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Motivated technical professional with a diploma in a technical specialty, eager to apply my skills and dedication to a progressive company. Excited to utilize educational experiences and self-driven learning to excel in technical tasks and projects.

---

**Education**  

**Diploma of Junior Specialist in Technical Specialty**  
[Your Institution Name], [Location]  
[Year of Graduation]  

- Developed foundational knowledge and understanding of technical processes.  
- Engaged in practical tasks and projects to gain hands-on experience with hardware and software.  
- Competed in student competitions, enhancing teamwork and problem-solving abilities.  

---

**Skills**  

- Technical Proficiency: Basic understanding of technical processes, programming, and web design.  
- Learning & Adaptation: Demonstrated capability to swiftly learn new technologies.  
- Communication & Collaboration: Strong communication skills cultivated through volunteer work.  
- Organization: Gained through active participation in team-centered projects.  
- Self-direction: Pursued independent study and completed online courses in programming and related areas.  

---

**Projects & Activities**  

- **Volunteer Work**: Actively engaged, acquiring skills in cooperation, communication, and organization.  
- **Independent Projects**: Developed projects leveraging self-taught skills in programming and web design.  
- **Online Courses & Webinars**: Engaged in courses and webinars to enhance knowledge in technical interests.  

---

**Future Plans**  

- Dedicated to furthering education with plans to pursue higher studies in a technical discipline.  
- Aimed at skill development and building expertise to achieve professional success.  

---

**Conclusion**  

Passionate and committed to launching a career in a technical field. Prepared to contribute effort and time towards learning and professional advancement, with the aim of making a positive impact on your team and projects."
221,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven project specialist with a proven track record in managing and delivering projects successfully. Expertise in leading diverse teams to achieve exceptional outcomes in complex scenarios.

---

**Project Experience**

**Kidsatschool Presentation**  
- Delivered a compelling presentation, significantly improving project outcomes.

**Pet Projects**

**UrbanUtopia**  
- Led the development of an application aggregating event information for young individuals, enabling:
  - Event discovery and management.
  - Real-time updates via multiple channels.

**Documentation and Tools**  
- Strong involvement in project documentation and analysis, including:
  - Creation of Project and WBS Mind maps.
  - Management of Roadmap, Backlog, and Critical Path analysis.
  - Estimations, Ground Rules, and techniques for layout management.
  - Team Building and interview preparation.

- Project Management Reports and Risk Assessment  
  - Developed PM reports and risk mitigation strategies.

- Client Interaction and Schedule Management  
  - Engaged stakeholders and prepared client questionnaires.
  - Utilized RACI and schedule tracking tools.

- Agile Methodologies  
  - Facilitated SCRUM events and managed Statements of Work.
  - Maintained stakeholder registers and schedules.

- Financial and Test Planning  
  - Oversaw budgeting and financial assessments.
  - Developed a test plan and project closure checklists.

**Achievements**  
- Managed project documentation effectively, ensuring seamless project flow and collaboration.

---

**Skills**  
- Project Management  
- Team Leadership  
- Agile Methodologies (SCRUM)  
- Risk Management  
- Communication  
- Documentation and Analysis  
- Stakeholder Engagement  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [City, State]  
[Year of Graduation]

---

**References**  
Available upon request."
222,"Creative Specialist with Expertise in Social Media Marketing and Video Production

Dynamic and results-driven professional with over three years of experience in social media marketing, video production, and creative project management. Expert in crafting innovative social media strategies and developing compelling content calendar concepts. Skilled at managing multiple projects in fast-paced environments and excelling as a team player with strong relationship-building and time management skills.

**Professional Experience**

**Freelance Video Producer**  
2021-2022
- Produced videos for 25+ businesses, including restaurants, real estate, educational institutions, and fashion, as well as 50+ private events.
- Collaborated with a video operator to create 10+ stock footage projects.
- Developed scripts and concepts for diverse video projects.
- Conducted market research and tracked trends to increase engagement on clients' social media platforms through video content.
- Facilitated transparent client communication and managed project budgets effectively.

**Houston Pub**  
2020-2021
- Co-developed a comprehensive marketing strategy and branding initiative in collaboration with a graphic designer.
- Created a marketing roadmap and led a team of four, comprising designers, a photographer, and a video operator.
- Managed social media accounts and initiatives to engage with the target audience effectively.
- Successfully grew the Instagram audience and enhanced engagement rates.
- Oversaw budget management for marketing activities."
223,"Vinnytsia IT Academy  
**Internship Project Manager**  
- Developed and documented technical requirements for projects.  
- Coordinated team meetings and distributed tasks effectively.  
- Tracked task progress and generated reports for clients.  
- Led discussions with customers to ensure project alignment.

Taurus-Group  
**Project Manager/Account Manager**  
- Guided clients throughout the logistics process.  
- Managed financial transactions, reporting, and customs documentation.  
- Supervised web project development and crafted presentations for webinars.  
- Organized and led webinars for customer engagement.

SkillmePro  
**Project Manager**  
- Created comprehensive project documentation including briefs and technical requirements.  
- Delegated and tracked team tasks efficiently.  
- Managed project finances and compiled detailed reports.  
- Designed presentations and organized educational webinars.

KNB-Studio (Kornienko-studio)  
**Assistant to Project Manager, Account Manager**  
- Assisted clients throughout the project lifecycle ensuring satisfaction.  
- Compiled project documentation and technical requirements for team collaboration.  
- Monitored tasks and adhered to project timelines.  
- Managed client communications and resolved issues.  
- Handled payments, generated reports, and gathered client feedback.  
- Engaged in team meetings and supported recruitment activities."
224,"Vogue Hotel Supreme Bodrum, Turkey  
Assistant Manager  
2020 - 2022  
- Led daily administrative operations: scheduling, reporting, and performance evaluation  
- Managed decision-making on methodological, administrative, and financial matters  
- Conducted inventory management  
- Gathered, analyzed, and monitored attendance data  
- Handled recruitment and interview processes  

Vogue Hotel Bodrum, Turkey  
Chief Kids Club  
2018 - 2019  
- Increased Kids Club popularity by 15% during the 2019 season  
- Boosted animator productivity by 20%  
- Promoted to supervisor position  

Rainier Transportation Inc, USA  
HR Manager  
2019 - 2020  
- Recruited drivers for goods transportation  
- Posted job vacancies in media  
- Conducted candidate interviews and document collection  
- Resolved issues during loading and unloading processes  
- Provided telephone support  

Vogue Hotel Supreme Bodrum, Turkey  
Chief for Attendants  
2015 - 2016; 2018 - 2019  
- Oversaw animator duties and daily schedules  
- Conducted staff training and mentoring  
- Managed HR administration tasks  

Beauty Salon, Ukraine  
Director  
2017 - 2018  
- Developed brand identity, including name and logo  
- Created loyalty programs  
- Sourced suppliers for consumables  
- Managed accounting and HR administration  
- Maintained customer database  
- Managed cash flow and resolved issues  

StartUp «Babyliss», Ukraine  
Project Manager  
2016 - 2017  
- Maintained primary documentation  
- Managed brand development, marketing, and cost evaluation  
- Sourced fabric suppliers and developed clothing prints  
- Supervised subordinate duties  
- Conducted HR administration  

LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine  
Accountant  
2012 - 2015  
- Executed finance-related directives from management  
- Proficient in Microsoft Office and specialized accounting software  
- Managed cash flow and banking operations  
- Prepared financial reports and supported foreign trade activities  
- Handled accounts reconciliation and financial settlements  
- Maintained primary documentation and managed tax accounting  
- Analyzed accounts receivable and payable"
225,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic entrepreneur with a proven track record in business establishment and management within logistics and postal services. Expert in project management and leadership, with significant experience in fundraising and international collaboration during critical times. Highly motivated to transition into the IT sector, leveraging extensive project management expertise.

---

**Professional Experience**

**Business Owner**  
Postal Delivery Business  
[Date Started] – Present  
- Established and manage a successful postal delivery business, leading a team of seven.

**Volunteer Fundraiser**  
Feb 2022 – Present  
- Committed volunteer amidst the Russian conflict against Ukraine.  
- Spearheaded fundraising initiatives, securing $40,000 for the Ukrainian army.  
- Manufactured essential supplies like trench candles and coordinated aid for displaced populations.  
- Engaged international audiences through social media outreach and sent postcards to global leaders to emphasize ongoing support for Ukraine.

**Founder**  
Meest Postal-Logistic Departments, Netishyn & Slavuta  
June 2020 – Present  
- Launched two Meest postal-logistic departments, enhancing local logistics efficiencies.

**Co-founder**  
Eco-Farm, Netishyn  
Sep 2017 – Dec 2021  
- Initiated an eco-friendly farm, advocating for sustainable agricultural practices.

**Election Leader**  
Ukraine’s Presidential, Parliamentary & Local Elections, Netishyn  
Feb 2019 – Oct 2020  
- Coordinated electoral processes in Netishyn, ensuring compliance and effective operation.

**Project Organizer**  
Charity Collaboration Between Finland and Ukraine  
Apr 2012  
- Organized and facilitated the delivery of 15 tons of medical equipment for Ukrainian individuals with disabilities and hospitals.

---

**Education**

**Bachelor's Degree in Environmental Engineering**  
Tampere University of Applied Sciences, Finland  
2011 - 2015

**Coursework in Spatial Planning and Environmental Management**  
Dublin Institute of Technology, Ireland (Erasmus Exchange)  
2013

---

**Skills**
- Project Management  
- Leadership  
- Logistics Management  
- International Collaboration  
- Fundraising and Non-Profit Initiatives  
- Communication and Social Media Outreach

---

**Additional Information**
- Based in Netishyn with a readiness to relocate.  
- Passionate about developing skills in the IT industry and eager to learn new technologies."
226,"[Your Name]  
[Your Contact Information]  
[LinkedIn Profile] | [Portfolio/Website]  

---

**Professional Summary**

Dynamic and results-oriented Project Manager with a strong focus on fostering open communication among development teams, management, users, and stakeholders. Expertise in crisis management and rapid project recovery, consistently delivering high-quality results within tight deadlines.

---

**Professional Experience**

**Project Manager: VR Workplace**

- Led the creation of a virtual office for a global communications holding, enhancing collaboration among distributed teams worldwide.
- Implemented a tracking and control system that improved project status clarity, reducing delays and budget overruns.
- Developed a performance evaluation system to enable timely problem identification and resolution.
- Achieved high levels of customer and stakeholder satisfaction through effective project execution and by addressing their needs.
- Proactively identified and managed potential risks, maintaining project performance and preventing issues.
- Automating monitoring and reporting processes led to a 30% reduction in reporting time, while enhancing data accuracy.

---

**Skills**

- Project Management
- Crisis Management
- Stakeholder Communication
- Risk Management
- Process Automation
- Performance Evaluation

---

**Career Objectives**

Seeking opportunities that foster creative expression and offer growth potential. Aiming for roles that support career advancement and fair compensation, eager to contribute to impactful projects leveraging my skills and experience."
227,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

**Professional Summary**

Dynamic and results-driven professional with a proven track record in social media marketing and branch management. Skilled in developing innovative strategies that enhance engagement and customer satisfaction. Experienced in project management with a focus on collaboration and delivering successful outcomes. Demonstrates strong leadership and communication skills, adept at guiding teams and building long-term business relationships.

---

**Professional Experience**

**Social Marketing Manager**  
Art and Health HUB by ZELO  
January 2023 - Present  

- Spearhead creative social media campaigns, boosting event registrations and participation by 30%.
- Implement customer support on social media, optimizing response times and enhancing customer experience.
- Develop and execute comprehensive social media strategies across Facebook and Instagram.
- Create, curate, and monitor engaging content, leveraging data analysis for strategy refinement.
- Manage relationships with social media influencers to extend campaign reach.
- Stay abreast of social media trends, proposing fresh ideas and strategies.

**Head of Branch**  
PrivatBank  
September 2015 - December 2022  

- Achieved a 90% customer satisfaction rate by resolving customer issues and improving client retention.
- Provided financial guidance to micro-business clients, enhancing decision-making and partnerships.
- Led the ""BabyHealthyBite"" project, focusing on a mobile app offering resources for healthy baby nutrition.
  - Responsible for roadmap, organizational structuring, project budgeting, and backlog creation.
  - Developed a value proposition and customer journey map for enhanced user engagement.
- Ensured operational efficiency by organizing workflows and maintaining regulatory compliance.

---

**Project Management Expectations and Offerings**

- Seeking a project management role emphasizing strategic planning and coordination.
- Prefer roles that exclude direct involvement in programming, focusing on team management and project delivery.
- Expect a collaborative work environment that encourages growth and continuous learning.
- Offer leadership, analytical skills, and communication to efficiently guide teams and manage projects.

---

**Skills**

- Strategic Social Media Planning and Execution
- Customer Relationship Management
- Project Management and Coordination
- Leadership and Team Motivation
- Analytical and Data-Driven Decision Making
- Effective Communication and Interpersonal Skills

---

**Education**

[Your Degree or Certification]  
[Your University/College/Certification Body]  
[Year of Graduation]

---

**References**

Available upon request."
228,"Web Development Project Manager  
- Led collaboration with a team of developers in creating an online legal consulting website.  
- Played a key role in the website's design and logical structure development.  
- Oversaw client and case administration processes for the website.  

Pro Bono Lab Manager (Ukrainian Access to Justice School of Practice)  
- Directed the Pro Bono Lab platform, collaborating with NGOs to deliver legal support through strategic pro bono partnerships in law and audit sectors.  

Learning Course Developer  
- Crafted a comprehensive learning course for social initiatives and NGOs alongside experts from law and audit firms.  
- Conducted research to identify pertinent topics for social initiatives.  
- Engaged with industry experts to develop and structure course modules.  
- Created test cases and actively participated in the course's filming process.  
- Managed the administration of an initial cohort of 30 students, converting course materials into a SCORM package for LMS deployment.  "
229,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Entrepreneurial leader with 8 years of experience in founding and managing a thriving IT company. Expertise in team building, motivation, goal-setting, and continuous improvement. Proficient in agile methodologies with strong skills in project estimation and technical problem-solving.

**Professional Experience**

**Founder & CEO**  
[Your IT Company Name]  
[Location]  
[Start Year] - Present  

- Built and directed an IT company for 8 years, driving growth and strategic direction.
- Led a team of up to 15, including 3 managers, and currently oversee 1 manager and 5 developers on a key product project.
- Applied agile frameworks such as Scrum to enhance team performance and project delivery.
- Implemented task tracking and version control systems like Asana, Trello, GitHub, and Git.
- Worked with WebGL and libraries including three.js and babylon.js.
- Held 3 years of experience with PHP, with limited exposure to its frameworks.

**Skills**

- Team Building and Motivation
- Agile Methodologies (Scrum)
- Task Tracking: Asana, Trello, GitHub
- Version Control: Git
- WebGL, Three.js, Babylon.js (Basic Experience)
- PHP (3 Years of Experience)
- Project Time and Cost Estimation
- Technical Problem Solving

**Objective**

Dedicated to using leadership and technical skills to build and nurture high-performing teams, establish and achieve goals, and drive continuous improvement. Committed to team motivation and achieving excellence in every project.

**Education**

[Your Degree (if applicable)]  
[Your University/College Name]  
[Location]  
[Year of Graduation]

**Certifications**  
[List relevant certifications, if any]  

**References**  
Available upon request."
230,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  

---

**Objective**  
Seasoned professional seeking to utilize extensive experience in managing non-commercial projects and strong communication, conflict resolution, and problem-solving skills within the IT industry. Committed to applying management and scientific expertise to challenging projects.

---

**Education**  

**Master of Science in Nanoscience**  
[University Name], Finland  

**Master of Science in Theoretical Physics**  
[BSc Institution Name]  

**Bachelor of Science in Theoretical Physics**  
[BSc Institution Name]  

---

**Professional Experience**  

**Project Management Experience**  
- Led large scientific projects at the university, showcasing leadership and organizational expertise.
- Gained team management experience through diverse school and hobby initiatives.
- Honed communication skills in managing sensitive situations and resolving conflicts.

---

**Technical Skills**  

- **Project Management Methodologies:** Waterfall, Agile/Scrum, PERT, GANTT, CPM  
- **Programming Languages:** Python, Lua, C++, PHP  
- **Database Management:** MySQL  
- **Web Technologies:** HTML, CSS  
- **Software and Tools:** Linux, Bash, Git, MS Office, MS Project, Delphi  
- **Languages:** Fluent in English, basic Finnish and French, German (~B1 level)  

---

**Career Interests**  

- Growth and development under effective leadership.
- Collaborating with a supportive and friendly team.
- Tackling complex challenges and intellectually stimulating tasks.
- Dedicated to crafting elegant solutions to complex problems.  

---"
231,"[Your Name]  
[Your Address]  
[City, State, Zip Code]  
[Phone Number]  
[Email Address]  

---

**Professional Summary**

Dynamic and result-focused professional with strong personal motivation, responsibility, and organizational skills. Dedicated to fostering trust-based relationships with customers and equipped with a logical, analytical approach to handling extensive information. Bringing five years of expertise in legal practice, with a focus on communication, prioritization, and problem-solving. Eager to transition these skills into project management to enhance quality through strategic thinking, adaptability, and coordination.

---

**Project Management Experience**

**Project A: Satisfaction KPI Solutions for IT Company**

- Developed solutions for an outsourcing IT company to effectively measure satisfaction KPIs for clients and development teams.
- Created a project health check dashboard reflecting stakeholders' satisfaction scores.
- Defined project scope and implemented a ""12-click flow"" for project health monitoring.
- Led a team of four students, serving as Product Owner.

**Project B: Web Constructor Migration and Special Issues**

- Coordinated the migration of top three news agencies from Tilda.
- Crafted surveys for stakeholders to pinpoint five essential features for a new web constructor.
- Evaluated over 30 web constructors and incorporated best practices in the design process for special issues.
- Reduced design process time for special issues by 10%.
- Oversaw tasks within a team of five students.

---

**Work Experience**

**AAL «LF “Pragnum”**  
*2019-Present*

- Managed complex cases involving numerous stakeholders, handling seven or more cases simultaneously.
- Secured a successful defense for a client in a 10 million UAH tax evasion case, leading to case closure due to insufficient evidence.
- Represented multiple companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.

**AAL “PRAVOTA”**  
*April 2016 – January 2019*

- Successfully represented a client in Ukraine's inaugural wealth tax (transport tax) dispute, saving the client 5,000 USD.
- Achieved overturning a 10,000 CHF doping fine in a case against the National Wrestling Association.

---

**Career Preferences**

Aiming for roles within product companies. Not seeking positions in Customer Support, Account Management, Marketing, or SMM."
232,"Quality Manager, Aviation Club

- Revamped and rewrote operational manuals, ensuring compliance with industry standards.
- Introduced streamlined processes to improve safety measures and enhance operational efficiency.
- Developed quality control processes and conducted inspections and audits to maintain compliance with safety standards and aviation regulations.

Project Leader, Alternative Medicine Initiative

- Led a pioneering project in alternative medicine to provide innovative holistic wellness solutions.

Event Organizer, Ukrainian Cuisine Master Classes, Germany

- Organized three successful master classes in Ukrainian cuisine, showcasing the richness of culinary traditions.
- Promoted intercultural connections through workshops focused on cultural understanding and recognition.

Human Resources and Business Creation Expert

- Designed comprehensive business plans and managed the acquisition of licenses and permits.
- Navigated business setup complexities, including location selection, branding creation, and marketing strategies.

Assistant, Marketing Company

- Conducted market research and analyzed consumer behavior.
- Implemented marketing strategies across digital platforms and physical events.
- Managed customer relationship management databases and streamlined lead generation.

Skills

- Adaptable and resourceful, with experience in quality control, business growth, and marketing campaigns.
- Exceptional organizational skills and attention to detail.
- Strategic mindset for business creation and marketing initiatives.

Dedicated to delivering excellence across diverse roles, with a passion for building meaningful and impactful outcomes."
233,"Customer Excellence Consultant

Professional Summary  
Dynamic customer excellence consultant with extensive experience in an international embassy setting. Proven track record in negotiating and implementing successful sales strategies, with additional expertise in exams registration and team collaboration. Strong communicator with a keen ability to translate and proofread, contributing to the creation and editing of advertising materials for the company’s website. Spearheaded the development and implementation of a Facebook chat-bot project alongside the Marketing team, enhancing the customer journey by streamlining the resolution process.

Objective  
Seeking to join a collaborative and innovative team to leverage my project management expertise and further develop strategies and tools for building strong client relationships that drive company growth."
234,"**INFORMAL EDUCATION AND CERTIFICATIONS**

- Digital Law (BCA Company)
- The Project Management Course: Beginner to PROject Manager (Udemy)
- Agile Fundamentals: Including Scrum and Kanban – 2022 (Udemy)
- Business Fundamentals: Corporate Strategy (Udemy)
- Business Fundamentals: Marketing Strategy (Udemy)
- Basics of Team and Project Management in IT (Prometheus)
- Basics of Project Management (Prometheus)
- IT Product from Scratch: Where to Start and How to Develop? (Prometheus)
- Modern Leadership: The Art of Breaking the Rules (Prometheus)
- HR Career: Roles, Competencies, and Challenges (Prometheus)

*In Progress:*
- Professional Certificate in Google Project Management (Coursera)

**PROFESSIONAL EXPERIENCE**

*Dean’s Office Manager*  
Faculty of Cybersecurity and Informational Technologies  
- Managed documentation and personal data
- Created agreements, NDAs, and financial documents
- Facilitated stakeholder communication
- Conducted partner negotiations
- Managed HR functions
- Planned and organized events
- Streamlined workflow
- Managed multiple projects and met deadlines

*IT-Law Teacher*  
IT Academy ""STEP""  

*Lawyer*  
HOSTING.UA  
- Managed HR functions
- Handled personal data management
- Provided legal consulting services
- Specialized in personal data and intellectual property law
- Prepared necessary documentation"
235,"**[Your Name]**  
[Your Address]  
[City, State, Zip Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic Key Account Manager with a rich background in the FMCG sector, specializing in customer acquisition, project execution, and category management. Known for optimizing processes and boosting category performance to drive business excellence. Looking to bring this expertise into the digital domain to fully harness managerial capabilities.

---

**Key Achievements**

- Acquired 9 new customers in one year, expanding reach in HoReCa and retail sectors.
- Delivered tailored projects for key clients such as ATB Group, ""Puzata Khata,"" and ""Mafia"" restaurant chains.
- Launched ""Daily Pizza"" departments, successfully establishing 6 new locations.
- Implemented KPIs for ""Daily Pizza"" and retail staff, enhancing operational efficiency.
- Centralized and optimized product assortments for more streamlined processes.
- Created a compelling ""Value Proposition"" for the ""Culinary"" division.
- Developed innovative planograms from scratch to improve merchandising.
- Increased Like-for-Like category maintenance by 28%.

---

**Professional Experience**

**Key Account Manager**  
- Led customer identification and integration of bespoke B2B solutions.

**Commercial Procurement Roles (Assistant Procurement Manager to Category Manager)**  
- Directed product category management and executed projects in the FMCG sector.
- Excelled in commercial procurement, driving category development and operations.

---

**Objective**  
To leverage FMCG sector expertise for digital transformation initiatives, aiming to enhance managerial skills and spearhead innovative projects.

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Year of Graduation]  

---

**Skills**  
- Customer Relationship Management  
- Project Implementation  
- Category Management  
- Process Optimization  
- Strategic Planning  

---"
236,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Pursuing a career in management with a concentration on project management or business analysis. Dedicated to acquiring and applying skills that enhance organizational success and growth.

---

**Professional Experience**

**[Your Company Name]**  
*Position: Revenue Manager*  
- Facilitated collaboration on projects requiring effective teamwork and coordination.
- Engaged in market research and analysis within the web3 sector to identify new project opportunities.
- Defined and documented technical requirements for project implementation.
- Contributed to strategic planning aimed at international market expansion for project development.

---

**Skills**
- Expertise in teamwork and collaborative efforts.
- Proficient in defining and documenting technical requirements.
- Skilled in strategic market planning.
- Committed to learning and adapting to new management tools and techniques.

---

**Career Interests**
- Project Management
- Business Analysis
- Process Improvement and Innovation

---

**Personal Attributes**
- Strong communication skills and ability to work effectively with others.
- Passion for developing impactful solutions and innovations.
- Driven to contribute to organizational success and personal professional growth."
237,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Aspiring Project Manager eager to apply a rich background in sales management alongside newly developed project management skills in an entry-level role. Passionate about engaging in intern, trainee, or junior positions to solidify a career in project management.

---

**Education**  

**Project Management Certificate**  
Hillel, April 2019 - June 2019  
Graduated with Honors  
- Learned software development models, methodologies, and frameworks  
- Developed expertise in Stakeholder Management (stakeholders matrix, RACI matrix)  
- Acquired skills in Risk Management and Requirements Gathering (MVP, user stories, prioritization)  
- Mastered Estimation Techniques (3-point estimation, story points, hours)  
- Created Project Artifacts (Proposal, SOW, Project Management Plan, etc.)  
- Gained experience in Resource & Budget Management  
- Managed Backlogs efficiently  
- Proficient in PM tools: Trello, Jira  

**English Language Course**  
LinguaCats, April 2019 - Present  

**IT Sales Management Training**  
Look At Pro, January 2018 - March 2018  

---

**Work Experience**  

**Kyivstar**  
First-line Support Operator  
November 2018 - February 2019  
- Assisted existing customers across the full range of services (PrePaid)  
- Achieved outstanding inquiry completion rates for six consecutive months  

**Agribusiness**  
Sales Manager  
September 2013 - June 2017  
- Led sales of grain batches and coordinated land and equipment rentals  

**Polygon Ltd.**  
Main Contractor for Kyivstar  
Sales Manager  
January 2013 - July 2013  
- Executed cold calling strategies to generate new leads  

**Telekomstroy Ltd.**  
Sales Associate  
October 2012 - December 2012  
- Engaged in cold calling to identify potential clients  

---

**Skills**  
- Extensive experience in Sales Management  
- Strong communication and negotiation skills  
- Proficient in Project Management methodologies and tools  
- Fluent in English  

---"
238,"**Resume**

**Projects**

- **IT Projects**
  - Proposed and implemented two IT projects: ""Bill of Materials Process Automation"" and ""MRP in SAP,"" resulting in annual savings of $34K.
  - Executed three IT projects and seven business process improvements, including ""SAP GUI Automation"" and ""Automation of Data People Cycle Consolidation,"" achieving optimization equivalent to 2 FTE.

- **Supply Projects**
  - Proposed and executed three supply projects: ""ABC and XYZ Methodology for Inventory Stocks Analysis,"" ""New Supplier Implementation,"" and ""Implementation of a New Glue Using Scheme,"" yielding annual savings of $163K.

- **Staff Development**
  - Managed a student probation scheme with a completion rate of 72%.
  - Developed and conducted training programs, training over 600 individuals.

**Work Experience**

- **FMCG Company, 7 Years**
  - Solid understanding of web development processes with basic knowledge of HTML/CSS/JS.
  - Extensive project management experience, including creating technical specifications and project documentation.
  - Skilled in risk management and crisis management.
  - Expertise in people management and remote recruitment.
  - Experienced in negotiating with suppliers and subcontractors to build long-term cooperation.
  - Proficient in budget and timing planning, implementing cost reduction strategies.
  - Competent in creating and controlling business processes and associated documentation.
  - Supported staff performance review and personal development processes.
  - Prepared client presentations and conducted staff training sessions.
  - Managed business correspondence effectively.

**Languages**

- Polish: Elementary level

**Preferences**

- Interested in engaging and challenging projects
- Prefer work in a multinational environment
- Opportunities for personal and professional development
- Seeking a permanent position with a friendly atmosphere."
239,"**[Your Name]**  
[Your Address]  
[City, State, Zip Code]  
[Your Email] | [Your Phone Number] | [LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and results-oriented professional with a wealth of experience in public relations and project management. Expert in strategic planning, operational oversight, and leading cross-functional teams to achieve organizational objectives. Seeking new opportunities in a collaborative setting that fosters shared values and a positive corporate culture.

---

**Professional Experience**  

**PR Team Manager**  
Startup Incubator  
[Dates of Employment]  

- Crafted and executed strategic PR campaigns to boost brand visibility and audience engagement.
- Oversaw daily operations, ensuring seamless coordination and effective execution of team activities.
- Directed brainstorming sessions and meetings, fostering innovative solutions.
- Built and maintained communication and partnerships with key stakeholders and regular partners.
- Planned and managed activities from conception to completion, ensuring alignment with organizational objectives and target audiences.
- Delegated tasks strategically, monitored progress, and ensured timely achievement of deliverables.

**Project Manager**  

**Hack-A-Train**  
Hackathon on a train from Mariupol to Lviv in collaboration with Garage48  
[Dates of Project]  

- Led train booking and branding initiatives, creating a distinctive event identity.
- Managed local marketing strategies and application processes to drive participation.
- Coordinated logistics and catering services to enhance participant experiences during the event.
- Oversaw the provision of essential materials, including stationery and printed resources.
- Maintained comprehensive oversight of event processes throughout the 30-hour journey.

**Hack For Locals**  
Community development hackathon partnered with Garage48  
[Dates of Project]  

- Led local marketing initiatives and application processes for the successful execution of the hackathon.
- Engaged with companies and government agencies to encourage involvement and support for the event.
- Developed partnerships, facilitating collaboration and sponsorship opportunities.
- Secured prizes for hackathon winners to enhance event attractiveness.
- Translated event texts and marketing materials from English to Ukrainian to expand audience reach.
- Provided on-site support, ensuring the smooth operation of the event.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University] - [Location]  
[Year of Graduation]  

---

**Skills**  

- Strategic Planning  
- Operational Management  
- Communication and Relationship Building  
- Marketing and Branding  
- Logistics Coordination  
- Bilingual: English and Ukrainian  

---

**References**  
Available upon request."
