,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct
141,"Achievements:
- Built a business from the ground up
- Reduced staff turnover from 50% to 10% through staff engagement initiatives
- Conducted negotiations with suppliers, resulting in decreased product prices and savings for the company budget
- Consistently increased sales by 30% annually
- Improved customer confidence in the company by 20% annually
- Fostered a positive atmosphere, welcoming guests and increasing confidence in the company
- Created a favorable team environment, preventing personnel leakage and conflicts
- Optimized office expenses, saving the company's budget
- Exceeded monthly sales targets
- Initiated assortment expansion, resulting in additional profit for the company

Professional Experience:

Manager
Service Company PP, Kyiv
June 2018 - Present
- Managed recruitment and team development
- Negotiated with suppliers to secure cost-effective deals
- Analyzed business performance and planned budgets
- Developed and implemented marketing strategies
- Administered employee wages and resolved conflicts
- Trained and mentored team members through meetings and one-to-one sessions
- Built and maintained strong client relationships through surveys and feedback
- Oversaw daily operations to ensure efficiency

Director
Service Company PP, Kyiv
October 2010 - May 2017
- Controlled and organized workflow processes
- Recruited and trained new team members
- Maintained accurate records and documents
- Coordinated corporate events and managed supplier relations

Administrator
Law Company “Nobilex”, Ltd, Kyiv
November 2009 - June 2010
- Coordinated guest receptions and meetings
- Managed documents and procurement processes
- Completed personal assignments and tasks as delegated

Client Manager
“Cosmo-Trade” trading company, Ltd, Kyiv
December 2008 - October 2009
- Acquired and managed client accounts for beauty salon materials and equipment
- Built and maintained strong client relationships through sales and service

Shop Assistant
“Teez To Pleaze”, Mackinaw City, MI, USA
June 2008 - August 2008
- Provided sales and customer service in a fast-paced retail environment

Assistant-Interpreter
Event company “Initia”, Kyiv
May 2008
- Provided interpretation services for the European Bank for Reconstruction and Development summit
- Assisted in organizing the summit

Career Objective:
Junior Project Manager or Project Coordinator in the IT field, utilizing organizational and management skills to successfully manage projects."
142,"Junior IT Coordinator
Luxoft
November 2021 – Present
Kyiv City, Ukraine
Processed applications and assisted with employee passwords within the Jira-based Service Desk system, monitoring system operations and collaborating with system engineers to ensure efficient functioning.

IT Project Manager
Discord Bot: Theory.Lib
August 2021 – Present
Participated in Discord bot development, organizing team workflows, conducting pre-release content checks, and resolving conflicts to ensure harmonious team communication and populate the bot with necessary information.

Junior Project Manager
Independent Animation Studio Karandash
March 2021 – June 2021
Managed animation film projects under supervision, organizing animators' workflows, calculating salaries, and distributing responsibilities.

Project Manager and Team Lead
Comics Translation Groups
2017 – Present
Oversaw processes, organized teams, and ensured high-quality, regular releases of English to Russian translation chapters.

Logistics and Document Management Specialist
Yukon Transit
July 2019 – September 2019
Managed company documents, controlled personnel-related documents, performed transportation cost accounting, and maintained document flow.

Translation Project Manager
Freelance
Managed translation projects with 3-6 person teams, successfully closing three projects and handling ten active projects."
143,"September 2018 - January 2020: Volunteer and Member, Anomaly
- Taught A1-A2 English to ATO and OOS veterans

Founder and Head, University Cinema Club

November 2018 - March 2019: Project Coordinator, Scheduling Worldwide by 4Service
- Coordinated mystery shoppers
- Communicated with mystery shoppers
- Searched for new mystery shoppers
- Implemented short-term projects
- Worked on large marketing research projects in Switzerland, the Czech Republic, and The Netherlands
- Worked in a project team

April 2019 - May 2020: Volunteers Team Leader, Theatre.love
- Coordinated volunteer teams in Kyiv and Lviv
- Searched for new volunteers
- Established friendly and trusting relationships with volunteers
- Resolved conflict situations and prevented new ones
- Monitored and controlled volunteer work

June 2020 - June 2023: Project Manager, +Kouble
- Managed existing customers, including key ones
- Conducted sales and searched for new customers
- Communicated with and managed B2B clients
- Coordinated international and local deliveries
- Coordinated the production process
- Managed document flow

July 2023 - Present: Junior IT Project Manager, True Global
- Manage QA and DevOps teams
- Analyze business requirements and conduct research of varying complexity
- Propose solutions and ideas for product enhancement
- Prepare specifications
- Participate in backlog grooming and sprint planning

Certifications:
- QA Engineer, Udemy, April 2023
- EFSET English Certificate, 66/100 (C1 Advanced), EF Standard English Test, September 2023

Looking for remote positions only."
144,"Result-driven professional with experience in project management, business planning, and analysis, leveraging proven ability to navigate complex issues and manage stress. Skilled in critical thinking, time management, and workflow planning, with a strong track record of completing tasks efficiently.

JUNIOR PROJECT MANAGER
INTERLINK, 2019
- Utilized Scrum methodology to conduct a local project, ensuring timely completion through effective teamwork control

CO-FOUNDER & ASSISTANT POLITICAL TECHNOLOGIST
FREE WINGS NGO, 2018-2019
- Engaged with the public and managed project submissions for participation budget
- Oversaw content management, meeting organization, and event planning
- Analyzed data using pivot tables, charts, and large datasets to inform project decisions
- Contributed to candidate strategy development

JUNIOR BUSINESS PLANNING ANALYST
KRESTON GCG: ACCOUNTING AND CONSULTING, 2017-2018
- Conducted data analysis using pivot tables, charts, and large datasets to inform business decisions
- Collected, processed, and analyzed information to support business strategy and planning

UNIDO INTERNSHIP
UN ENERGY EFFICIENCY PROJECT, 2016-2017
- Contributed to business project development for grant funding
- Participated in international conferences and training on energy conservation
- Collected, prepared, and analyzed data to support project development

Possess strong diplomatic and interpersonal skills, with experience in teaching, people management, and team collaboration. Proficient in negotiation and effective team work."
145,"Junior Project Manager
TECO, Kharkov
November 2021 - May 2022
- Managed software development projects for free cooling systems for ""Kyivstar""
- Coordinated project plans, task assignments, and progress tracking, with responsibility for project status reporting
- Managed client interactions and communications
- Organized and led work meetings

Head of Quality Management Department
LCC ""NewTon"", Kharkov
November 2019 - February 2022
- Led a team of 10 members, with responsibilities including task allocation, progress monitoring, and team management
- Created project documentation and instructional materials
- Implemented process improvements and distributed work plans to optimize productivity

Production Manager
JSC ""Technology"", Sumy
April 2018 - August 2019
- Managed a team of 600 employees, overseeing project execution and team performance
- Led projects focused on new department organization within production, including project planning, execution, and budget control
- Reported on project status, managed client interactions, and organized work meetings to ensure effective communication and conflict resolution
- Identified and mitigated risks to ensure successful project outcomes"
146,"Junior Project Manager
Oct 2019 - March 2020
- Assisted the Lead Project Manager with reporting and resource planning
- Conducted preliminary project estimation
- Identified and mitigated risks, resolving issues for the project team
- Configured JIRA to meet project needs
- Facilitated meetings and SCRUM ceremonies

Client Relationship Manager
Feb 2017 - Sep 2019
- Developed and expanded existing and new client relationships through negotiation, product presentation, and sales meetings
- Led Implementation Projects, including:
  - Planning project stages and implementation terms
  - Creating Communication Strategies with CGM and team
  - Executing internal Readiness Assessments
  - Managing and escalating risks throughout projects
  - Ensuring completion of end-to-end testing
  - Providing startup metrics and feedback
  - Conducting handovers to operations
  - Participating in internal and external post-implementation reviews
  - Monitoring results and adherence to project outcomes"
147,"**Summary**
Results-driven professional with experience in project management, sales, and marketing, possessing certifications in Google Project Management, Digital Marketing, and Web Design Fundamentals.

**Education and Certifications**

* Google Project Management Certificate, Kyiv, Ukraine (6 months)
* Google Fundamentals of Digital Marketing, Kyiv, Ukraine (1 month)
* Web Design Fundamentals, Kyiv, Ukraine (10 hours)
* Capstone: Applying Project Management in the Real World, Kyiv, Ukraine (1 month)
* Agile Project Management, Kyiv, Ukraine (1 month)
* Project Execution: Running the Project, Kyiv, Ukraine (1 month)
* Project Planning: Putting It All Together, Kyiv, Ukraine (1 month)
* Project Initiation: Starting a Successful Project, Kyiv, Ukraine (1 month)
* Foundations of Project Management, Kyiv, Ukraine (1 month)

**Work Experience**

* Junior Project Manager, Online-store ""Pleer"" (August 2021 - October 2022)
	+ Successfully launched and operated an online sales channel with an efficient development process and team organization.
* Marketing and Sales Specialist, Online-store ""Pleer"" (February 2021 - August 2021)
	+ Optimized marketing and sales costs and resources, improving competitive advantage and market position.
* Sales Manager, Online-store ""Pleer"" (June 2018 - February 2021)
	+ Improved communication, negotiation, problem-solving, and customer service personal skills.
* Insurance Sales Manager, PJSC ""Ingosstrakh"" (June 2015 - June 2018)
	+ The branch exceeded the sales plan, improving customer satisfaction and loyalty.
* Middle Banking Sales Manager, PJSC ""VTB Bank"" (May 2013 - September 2014)
	+ The branch led and strengthened positions in the sales of banking services in Kharkiv.
* Banking Sales Manager, PJSC ""VTB Bank"" (December 2012 - May 2013)
	+ The branch occupied a leading position in sales of banking services.
* Banking Sales Manager, PJSC ""Alfa-Bank"" (April 2012 - December 2012)
	+ The branch achieved and strengthened leading position in sales of banking services in Kharkiv.
* Banking Sales Manager, PJSC ""A-Bank"" (June 2011 - November 2011)
	+ The new branch rivaled leaders in banking service sales in Kharkiv.

**Career Objective**
To utilize skills in project management, web development, and sales for successful delivery of online businesses, e-commerce, and edtech projects, and to grow professionally by gaining knowledge from expert Project Managers in project management, edtech, and digital marketing."
148,"Technical Documentation and Visualization
----------------------------------------
Technical writing and visualization of customer requirements

Data Analysis and Structuring
-----------------------------
Data analysis and structuring capabilities

Project Experience
------------------
Participation in various projects, including simple applications and complex multi-team projects

Tools and Technologies
----------------------
Trello, Jira, GitLab, RealtimeBoard, Draw.io, manual testing, and bug tracking

Team Management Experience
---------------------------
Team management experience with:
- Android teams (Kotlin, Java)
- iOS teams (Swift, Obj-C)
- Back-end teams (PHP, Python)
- Front-end teams (JS, Angular)
- Cross-platform teams (React Native)

Roles
------
Junior Project Manager, Trainee Project Manager, Assistant Project Manager

General Experience
------------------
1 year 6 months of experience

Key Responsibilities
---------------------
Clarifying product requirements, driving product implementation, collaborating with engineering and product teams, managing project schedules, budgets, and scopes, maintaining stakeholder communication, supporting product backlog maintenance, facilitating sprint planning, stand-ups, retrospectives, issue resolution, risk management, and contingency planning

Skills
------
Project management, project status tracking, teamwork, problem-solving"
149,"Results-driven IT professional with 2+ years of experience, delivering a proven track record of managing over 200 projects within a year. Skilled in business development, sales strategy planning, and project management, with a notable personal sales record of 200,000 Euro in 2019.

Key strengths include:
* Senior-level management experience with expertise in multi-tasking, driving dozens of projects simultaneously
* Fluency in Japanese and English, with experience conducting full-scale negotiations and attending voice meetings with clients
* Proven ability to manage project budgets, costs, and invoicing, with a strong focus on delivering output on time

Technical skills include:
* Setting up projects in Jira, including technical description, tasks, and sub-tasks
* Managing projects in the production pipeline and coordinating production teams
* Classifying and estimating projects using the time and material model

Career goals:
* Seeking a Junior Project Manager position with a technical focus
* Interested in working in a billing team, driving commercial projects, and monitoring SLA adherence
* Prefer working with Web development companies, particularly those with APAC customers, to utilize Japanese language skills

Additional skills:
* Data-driven approach with ability to set up BI tools for business and development processes
* Experience with B2B communication, account management, and sales representation
* Comfortable working with outsource/outstaff companies and open to various industry segments, with a preference for Web development."
150,"KEY INFORMATION:
Highly motivated IT professional with 4.5 years of experience, seeking to leverage skills and knowledge in Project Management for professional growth, with a proven background in accounting and HR.

EDUCATION AND TRAINING:
PM School, where key skills were developed in:
- Developing Project Charters and Vision statements
- Creating Specifications (SRS by IEEE 830 standard, User Stories)
- Constructing Work Breakdown Structures (WBS) using Gantt Charts
- Conducting Risk Analysis, including risk identification, qualitative risk analysis, planning risk responses, and creating risk registers and management plans
- Understanding of Waterfall, Agile methodologies (Scrum, Kanban, LEAN), and People Management principles

SKILLS:
- Proficient in Microsoft Office Suite (Word, Outlook, PowerPoint)
- Advanced skills in utilizing Jira, Confluence, SharePoint, SAP, ERM, Navision, and 1C
- Strong understanding of Software Development Life Cycle (SDLC), with knowledge of Scrum, Kanban, and Waterfall methodologies
- Experienced in composing project documentation, including Vision statements, SRS, and User Stories
- Skilled in creating Work Breakdown Structures (WBS) and Gantt Charts
- Theoretical knowledge of Quality Assurance (QA)
- Analytical skills for assessing situations in daily project management work

LANGUAGE PROFICIENCY:
English: Upper-intermediate level."
151,"Co-Founder and Manager
Grocery Store

Key Responsibilities:
- Managed and maintained relationships with suppliers, selecting optimal product assortment
- Recruited, trained, and supervised personnel, including developing job descriptions and implementing performance control measures
- Created and established corporate identity, designed point-of-sale materials, and developed the fresh-bar menu

Notable Achievements:
- Fostered partnerships with high-quality suppliers, optimizing daily expenses to drive sales and revenue growth
- Conducted customer needs analysis to develop targeted offers, resulting in increased active buyer engagement

Core Skills:
- Effective communication and negotiation skills
- Strong organizational and problem-solving abilities

Career Objectives:
Seeking a role with engaging projects, opportunities for career growth, and a collaborative team environment, with a preference for flexible scheduling."
152,"**Summary**
Results-driven professional with experience in project management, sales, and team leadership, possessing a strong background in launching new initiatives and driving business growth.

**Work Experience**

**Project Manager, Launching New Cafe**
March — April - Defined project scope, determined priorities, and assessed needs
- Gathered and analyzed customer requirements
- Created and distributed tasks
- Staffed and led the team, conducting interviews and monitoring staff performance
- Managed budget planning, tracked expenses, and supported day-to-day operations

**Medical Representative, Lviv**
August 2022 — February
- Utilized and increased negotiation skills to conclude contracts with healthcare providers

**Sales Manager, Travel Agency, Lviv**
February 2019 — August 2022
- Introduced and studied new tourist destinations
- Conducted staff training, resulting in a 20% increase in sales

**Sales Representative**
July 2014 — November 2017
- Implemented effective sales strategies to increase the customer base by 30%
- Achieved a 20% increase in monthly sales

**Real Estate Manager, Lviv**
December — May **Education**
Completed Project Management courses"
153,"Highly developed skills in Strategic thinking, Communication, and negotiation, with expertise in Problem solving, Project scheduling, Change Management, and Risk Management. Proficient in leading documentation and utilizing tools such as Python, SQL, MS Project, and Tableau.

Work Experience:

Manager, Music Label
November 2018 - March 2020
- Managed and organized concerts
- Negotiated collaborations and partnerships with external parties
- Conducted optimum resource planning

Administrator, LB Photo
March 2020 - September 2020
- Implemented an online ordering system
- Optimized client communication systems
- Managed sales documentation

Manager of Librarianship, State Public Scientific and Technical Library of Russia
March 2018 - June 2018
- Performed daily data input into multiple databases
- Managed and handled collections and catalogs
- Adapted to transformations with automated information systems
- Created content with the bibliography department

Education:
Undergraduate student in IT, with a goal to enhance knowledge in Scrum framework and Agile methodologies, aiming to work as a Project Manager in IT projects. Utilize spare time to solve SQL problems and code in Python."
154,"LEARNING PROJECT MANAGER
Aug 2020 – Sep 2022

Key Accomplishments:
- Developed and facilitated the company's annual learning week programme, achieving a 90% turnout and 85% satisfaction rate, while managing a workstream of 4 people
- Coordinated registration for 450 people, handling communication, calendar management, and session facilitations
- Led a team of 11 people to produce educational courses for refugees within a tight deadline of 1 month and limited budget, resulting in teaching 15 refugees and winning the company's contest for best regional charity initiative
- Designed and implemented an onboarding programme, reducing onboarding time from 10 to 8 days
- Optimized coaches' working hours, achieving a 15% budget saving
- Implemented incentives to increase participant satisfaction, resulting in a 30% increase in feedback sharing
- Facilitated on-site logistics for an event at Cambridge College, handling registration for 500 people and liaising with external vendors

EXECUTIVE ASSISTANT
Sep 2019 – Aug 2020

Key Accomplishments:
- Coordinated with external stakeholders on key project events
- Ensured team norms compliance
- Managed annual team expenses, including budgeting, tracking, and processing
- Met all KPI goals for two consecutive years
- Organized over 75 team travel itineraries to support client relationships

LEARNING SPECIALIST & ESL TEACHER
May 2017 – Jun 2019, Jan 2015 – May 2017

Key Accomplishments:
- Coordinated the speaking club for learners and provided SMM support for the event
- Designed curriculum and created educational resources
- Developed and managed an educational resources database
- Introduced and implemented an assessment system to improve academic performance and motivation"
155,"Line Producer/Project Manager
Department of Production, Prime Shows TV Channel «Ukraine»
2018-2022

Key Projects:
- ""The Masked Singer""
- ""All Together Now""
- ""Morning with Ukraine""
- ""News""

Responsibilities:
- Managed document flow for projects, including over 30 unique contracts
- Coordinated contract signing with key contractors and top stars, collaborating with lawyers and financial experts
- Controlled budget and ensured timely settlements with counterparties
- Coordinated production processes between project units
- Planned staff work schedules according to production needs
- Prepared financial reports on project expenses

Producer/Project Manager
2017-2018

Key Responsibilities:
- Planned company development options, conducted market research, and identified growth prospects
- Prepared presentations, commercial proposals, and negotiated with clients
- Collaborated with key stakeholders to define requirements and deliver new products
- Managed finances, including budgeting, forecasting, and risk management
- Simultaneously managed multiple projects with over 20 team members each
- Analyzed project performance and implemented improvement measures"
156,"LITS Academy
September 2022 - October
Project Management Training

- Acquired knowledge of project management methodologies, including Agile, Scrum, Waterfall, and Kanban
- Studied project management knowledge areas, process groups, and scope management
- Learned about stakeholder management, expectation management, and communication on projects
- Gained understanding of team building, time management, self-management, and delegation
- Explored risk management, emotional literacy, stress resistance, and conflict resolution
- Familiarized with budget management, operating models, and quality management
- Discussed evaluation as a management tool, burnout prevention, and work-life balance

Gwynn Logistics
Logistics Coordinator
January 2021 - February

- Coordinated logistics operations, including reviewing and routing purchase orders
- Ensured safe and timely pick-up of shipments
- Oversaw supply chain operations

Discovery Montessori School
English Teacher
October 2019 - September 202- Taught small groups and individual lessons
- Placed students in suitable programs based on their needs
- Planned and implemented lessons to develop reading, writing, listening, and speaking skills"
157,"LocalUA
Walking Tours Application
Junior Project Manager
01/21 - Present

* Manage project documentation and coordinate team efforts across Android, iOS, Frontend, Backend, and QA
* Implement Scrum methodology, conducting daily meetings and tracking team workload
* Monitor tasks, regulate deadlines, and ensure project milestones are met
* Create and implement team rules, promoting efficient collaboration
* Utilize knowledge of Software Development Life Cycle (SDLC) and project development methodologies (Scrum and Kanban)

Hillel IT School
Project Manager (Student)
06/20 - 08/20

* Gained understanding of main project roles, artifacts, and ceremonies
* Developed skills in stakeholder analysis, requirements management, and risk/conflict management
* Managed projects using JIRA and Microsoft Project
* Utilized Microsoft Office and acquired basic knowledge of HTML and CSS
* Applied understanding of software testing principles and people management

MD Fashion, oodji
Store Manager
02/16 - 09/17

* Ensured uninterrupted store operations, managed staff, and planned sales volumes
* Created staff schedules, interacted with regulatory authorities, and analyzed sales reports
* Demonstrated expertise in customer-facing sales, team building, and development
* Improved work processes, reduced staff, and accelerated employee development

Highly organized, skilled in time management, and proficient in problem-solving, with comprehensive experience in team facilitation and development."
158,"Graduated Project Management course with excellent result

Logistic Manager 
2021 - 2022
• Coordinated service planning, developed stages, and delivery timelines
• Determined optimal transport modes and managed cargo flow scheduling
• Prepared and controlled necessary documentation for shipment and receipt of cargo information

Barbershop Consultant 
2021
• Developed a comprehensive business plan, including:
  • Competitor analysis and marketing strategies
  • Employee and partner roles in achieving goals
  • Goal and potential assessment
  • Project cost calculation
  • Service offerings and revenue generation
  • Target audience analysis and market size evaluation
• Monitored work plan implementation and managed project content on social media

Travel Manager 
2019
• Calculated and executed documents, and concluded client contracts
• Handled payments and interacted with tour operators
• Managed hotel room bookings, air and railway ticket reservations, and reporting documentation
• Processed tourist voucher sales, online applications, and client inquiries
• Provided client support from booking to return"
159,"Results-driven IT professional seeking a project manager opportunity to leverage strong analytical, communication, and problem-solving skills.

With 5 years of experience in IT, I have developed a deep understanding of the industry and effective approaches to working with programmers, gained through my experience in a rapidly growing company that scaled from 7 to 40 employees. This experience has equipped me with the ability to adapt to changes and difficulties.

As a key team member, I have contributed to the creation of company processes, documentation, and attitudes, working closely with management. I provide support to the CTO, CFO, and project manager in their daily tasks.

Key responsibilities include:
- Communicating with clients through product owners and business analysts to address change requests and gather information
- Preparing analytics for clients, including charts and tables from Jira data exports
- Leading daily stand-ups, writing protocols, and status reports
- Estimating tasks and controlling spent time
- Applying knowledge of project management methodologies, including Agile and Scrum
- Preparing release notes

I possess excellent analytic and communication skills, with a strong ability to resolve conflicts and solve problems. My skills and experience drive my enthusiasm for continued growth and success in the IT industry."
160,"Project Manager Assistant
Luxoft

Summary:
Results-driven project manager assistant with experience supporting large-scale accounts and ensuring high customer satisfaction. Proven ability to work independently and resolve issues globally.

Key Achievements:
- Supported account with 400+ headcount, handling an average of 30 requests per day
- Achieved 96% customer satisfaction rate
- Successfully worked independent night shifts, resolving issues across the globe, including USA, Japan, Europe, Canada, United Arab Emirates, Mexico, India, Singapore, Morocco, Georgia, Egypt, Kazakhstan, and Russian Federation

Responsibilities:
- Created and tracked statements of work (SOW)
- Collaborated with stakeholders, including program and project managers, financial partners, and billing & collection specialists
- Maintained project structure in corporate systems
- Provided project-specific support and reporting
- Developed ad hoc reports and provided administrative support
- Gathered and processed various data
- Managed employee on-boarding, transfers, and off-boarding in customer and internal systems
- Maintained employee data in internal tools
- Validated and created timesheets
- Conducted regular workforce allocation

Work Environment:
- Opportunities for professional growth and skill acquisition
- Timely payroll
- Full employment"
161,"Luxoft Ukraine
Sourcing Manager/Project Management Officer Lead, FinTech Account
July 2021 - Present, Kyiv

* Managed sourcing and hiring processes, ensuring seamless execution
* Coordinated communication between client, hiring managers, delivery management, recruitment department, and key employees
* Developed and implemented an Agile information collection and distribution mechanism to meet hiring demands
* Prepared client reports in collaboration with key stakeholders
* Identified and mitigated potential hiring risks

Helpware
Project Coordinator
July 2020 - July 2021, Kyiv

* Served as primary point of contact for multiple projects, coordinating with project managers, clients, and stakeholders
* Gathered client requirements and assigned tasks to executives
* Coordinated small-scale project executions, delivering 50% of a machine learning project prior to lockdown
* Supported ongoing KTLO projects

Helpware
Executive Assistant
July 2018 - July 2020, Kyiv

* Provided administrative support for FMCG business operations
* Gathered client requirements for project planning and execution
* Utilized Amazon Seller Central to fulfill customer requests
* Contributed to 2-3 parallel small-scale projects, including machine learning initiatives, as a project coordinator
* Conducted basic project execution estimates

Summary:
Results-driven professional with experience in project coordination, sourcing, and administration. Proven ability to manage multiple projects, coordinate stakeholders, and drive process improvements.

Career Goals:
To continue developing as a Project Coordinator and gain experience for a Project Management position, with a long-term aim to obtain a Risk Manager position."
162,"Project Management course by Olena Grygorchuk, N-iX (Training center Open World)
Front-end brief course, Logos IT academy
Online courses, SoloLearn: Java, HTML
Certified Accountant Professional, international certification (4/4 exams passed)
Practical course, ""Law, Accounting and Taxation in Modern Business""
Diploma in Economics, Lviv Polytechnic National University (specialty ""Business Economics"")
Master's degree with honors, Ivan Franko Lviv National University (specialty ""Translation"" - philologist, translator, teacher of translation)

Project Management Experience:
Developed and managed a travel blog project, including:
  Project Scope Statement
  Team composition and allocation
  Project Budget calculation
  Risk management log
  Project estimation: PERT
  Stakeholder matrix

Professional Experience:
Translator and Accountant
Accounting for private entrepreneurs (mainly IT) and companies on single taxation system (group III)
Utilized tax service electronic cabinet, reported in FreeZvit, and managed payment of salary and taxes
Worked with client-bank systems (UkrsibBusiness, IFOBs, Privatbank for business) and 1C Enterprise
Developed staff documents (orders, staff lists, timesheets, payroll regulations, job descriptions, vacation schedules)
Provided consulting services to foreign and Ukrainian clients
Translated contracts, letters, technical documentation, estimates, and provided interpretation at negotiations
Managed office operations, organized visits of foreign clients and potential investors, and assisted at meetings and Skype conferences
Assisted lawyer with development and editing of contracts, constituent documents, and registration of private entrepreneurs and companies

Seeking a role with clearly defined responsibilities and a collaborative team environment."
163,"Manager at Restaurant «Montecristo» 
Florence, Italy | 03/2015 – 09/2017
Responsibilities:
• Managed a team of 22 people
• Made decisions on administrative and organisational issues
• Resolved conflict situations
• Performed duties of the cashier, including opening and closing shifts, calculating guest numbers, and issuing cash documents

Waiter at Restaurant «Montecristo» 
Florence, Italy | 11/2012 – 03/2015
Responsibilities:
• Met visitors and introduced them to the menu
• Placed orders in the correct sequence of drinks and snacks

Restaurant Manager at Cafe Restaurant «Еліт клуб» 
Nikopol, Ukraine | 07/2010 – 01/2012
Responsibilities:
• Trained and instructed staff
• Conducted candidate searches and interviews
• Managed a team of 18 people
• Planned work schedules and accounted for employees' working hours
• Prevented and resolved conflict situations, responded to guest complaints and comments
• Organised and held banquets

Assistant Director at Agency «Маямі» 
Nikopol, Ukraine | 12/2009 – 07/2010
Responsibilities:
• Held weekly meetings with the team to set tasks and monitor plan implementation
• Managed and supported departmental work
• Created reports on upcoming tours, income, and client contacts
• Cooperated with the finance department on reports and profitability control

Sales Manager at Tourist agency «Галопом по Європам» 
Zaporizhzhia, Ukraine | 02/2009 – 10/2009
Responsibilities:
• Consulted with clients, prepared and presented proposals, and booked tickets and hotels
• Demonstrated excellent knowledge of geography, resorts, culture, religion, and customs of different countries
• Prepared, controlled, and supported client vacation documentation

Office Manager at Tourist agency «Сто доріг» 
Zaporizhzhia, Ukraine | 07/2008 – "
164,"Project Manager

Results-driven project manager with expertise in managing cross-functional teams, including back-end, front-end, iOS, Android, DevOps, SQL dev, UI/UX, QA, and BA, to deliver projects from idea to release.

Key Responsibilities:

• Conduct daily meetings to plan and prioritize tasks, ensuring effective project execution
• Design and implement optimal task structures for streamlined project management
• Determine project timing, budget, and resources to meet business objectives
• Perform business analysis and develop terms of reference to guide project scope
• Facilitate communication with customers to define requirements and ensure stakeholder satisfaction
• Provide detailed data and specifications to developers, enabling efficient project delivery
• Assist and track software installation on servers, ensuring seamless deployment
• Collaborate with design teams to enhance UI/UX and improve product quality
• Identify and mitigate risks, resolving conflicts to ensure project success
• Present products to potential customers, driving business growth and revenue

Skills:

• Rapid learning and development to stay updated on industry trends
• Effective time management to meet project deadlines and deliver results
• Proven project management expertise, including task creation, sprint planning, and maintenance of managerial documentation
• Strong mediation skills to facilitate collaboration between clients, developers, and designers
• Accurate estimate compilation and risk assessment to ensure project feasibility

Technical Stack:

• JavaScript (React, Node, React Native, Vue.js)
• Flutter
• iOS
• Android
• PHP (Laravel)
• Blockchain (Symfony and Solidity)"
165,"March 2022 - May 2023
European Solidarity Corps Volunteer, NGO Keric
- Prepared and conducted non-formal activities for English classes, independently and in cooperation with other volunteers
- Taught English lessons at local schools under the surveillance of school teachers
- Co-led children's summer camps in summer 2022, working with children aged 6-15

October 2021 - February 2022
Logistics Coordinator
- Communicated with USA brokers and carriers regarding transportation of goods
- Researched the market to find the best bargains for loads

September 2019 - December 2021
Translator (EN-UA)
- Translated documents and correspondence from English to Ukrainian and vice versa
- Gained experience in oral translation (interpretation), with a primary focus on written translation"
166,"Marinetek
Project Manager & Company Representative in Ukraine
2012 - Present
Ukraine
marinetek.net

Marinetek is an internationally recognized brand name for premium marinas and advanced floating solutions. Key responsibilities include:
- Client acquisition and management
- Full project management
- Company management

Concord Group
Project Manager
2013 - 2017
Ukraine
concordgroup.com.ua

Concord Engineering is a world leader in engineering, supplying, constructing, repairing, and consulting services. Responsibilities included:
- Coordinating customer, general contractor, supplier, and contractor communications
- Budget planning, resource allocation, and work scheduling
- Work organization and control
- Team management, contractor oversight, pre-project planning, and project feasibility analysis
- Tender preparation, including team formation, budgeting, and deadline management
- Tender monitoring and customer acquisition
- Project commissioning and completion"
167,"MARKET DATA ANALYST
Procter & Gamble, Warsaw
October 2020 - June 2021

* Managed market delivery for a product, ensuring timely production and supply to designated markets
* Conducted demand planning using Business Intelligence and statistical data analysis
* Coordinated with production, transportation, and sales teams to ensure seamless operations
* Handled crisis management during unexpected logistical issues, such as plant shutdowns and transportation obstacles

Programs/Platforms used: MS Office, Power BI, SAP, and other planning tools

PROJECT MANAGER
Start Warsaw Student Business Organization
2019-2020

* Hosted business events, facilitating communication between departments and external stakeholders
* Coordinated with mentors, speakers, and partners to ensure successful event execution
* Arranged overall project workflow and reporting, leveraging organizational skills to mediate between internal departments and external stakeholders
* Secured partners, sponsors, and booths for events

Programs/Platforms used: MS Office, Slack, Zoom, and other messaging tools

OWNER, AUTOMATED CAR WASH STATION
Ukraine
March 2022 - Present

* Developed and executed business plans, managing all legal and logistical aspects
* Constructed and launched the automated car wash station, overseeing recruitment, accounting, logistics, and management
* Currently seeking to leverage free time to contribute to a new role in IT-focused Project Management, acquiring new skills and experience"
168,"May - Present
Personal Assistant, Maliukin
- Managed documents and financial accounting
- Conducted information searches
- Planned weekends and ordered office goods
- Coordinated car service and other tasks

Junior Project Manager, Lagom.li
- Conducted daily meetings, retrospectives, and planning sessions
- Monitored task implementation in projects
- Applied Lean methodology to map workflows and identify losses

May - March Technical Support Specialist, EVO vector Prom +
- Provided technical consulting to merchants via mail and messengers
- Drafted tasks for developers

October 2018 - February 2020
Information Manager, Poster POS IT product company
- Identified client needs and developed solutions

July 2015 - April 2018
Brand Manager, Red Bull (Wings team)
- Communicated with large groups and promoted brand enthusiasm
- Presented products and assisted in organizing sports and city events"
