,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet
141,"GRAPHIC AND UI/UX DESIGNER

Results-driven UI/UX and graphic designer specializing in user-centered design solutions with demonstrated success in website redesign, brand development, and team leadership. Expertise in creating intuitive digital experiences through comprehensive design processes and industry-standard tools.

PROFESSIONAL EXPERIENCE

Team Leader | Project CleanUp
• Spearheaded development of cleaning services web platform, directing end-to-end design implementation
• Orchestrated full-cycle design process from initial user research through final adaptation
• Designed and implemented comprehensive user interface with complete functionality
• Managed team collaboration while ensuring consistent design quality across all deliverables

KEY PROJECTS

Custom Concepts - Tattoo Studio Website Redesign
• Executed complete website redesign focusing on enhanced user experience and visual engagement
• Optimized information architecture and booking system accessibility
• Implemented refined visual identity system including color schemes, typography, and CTA elements
• Restructured layout and spacing to improve content hierarchy and user navigation
• Enhanced FAQ section for improved user interaction and information retrieval

AnabioZ - Brand Guidelines Development
• Delivered comprehensive brand identity system for men's gift shop
• Created versatile logo design adaptable across multiple platforms
• Established detailed implementation guidelines for consistent brand presentation
• Developed specifications for various device types and physical signage applications

TECHNICAL PROFICIENCIES

Design Tools:
• Figma (including Smart Animate)
• Adobe Creative Suite (Illustrator, Photoshop)

Core Competencies:
• UI/UX Design
• Website Design
• Logo Design
• User Research
• Persona Development
• Moodboard Creation
• Design Adaptation
• Visual Identity Systems

PROFESSIONAL ATTRIBUTES
Detail-oriented designer focused on delivering high-quality results within deadlines while maintaining commitment to professional growth and collaborative excellence."
142,"Junior UI/UX Designer

PROFILE
Results-driven UI/UX Designer with proven experience in crafting intuitive digital experiences. Demonstrated success in developing user-centered designs through methodical research and prototyping. Skilled in creating responsive interfaces that enhance user engagement and satisfaction. Proficient in modern design tools with a strong foundation in UI/UX principles and information architecture.

TECHNICAL EXPERTISE
Design Tools & Software
• Figma, Adobe Creative Suite (Photoshop, Illustrator)
• ProtoPie, Canva
• Wireframing and Prototyping Tools

Design Methodologies
• User Experience (UX) Research
• Information Architecture
• User Flow Development
• Customer Journey Mapping (CJM)
• Minimum Viable Product (MVP) Planning
• Design Systems & UI Kit Creation
• Adaptive Design Implementation

PROFESSIONAL SKILLS
• Detail-oriented Problem Solving
• Creative Conceptualization
• Analytical Thinking
• Effective Communication
• User-centered Design Approach
• Collaborative Teamwork

PROJECT EXPERIENCE

ApartEase - Rental Apartment Web Service
Lead Designer
• Designed and implemented comprehensive user interface for property rental platform
• Developed responsive design system ensuring seamless cross-device functionality
• Created user flows and wireframes optimizing booking experience
• Established UI kit maintaining design consistency across platform
• Conducted user research and journey mapping to enhance platform usability

EDUCATION
GoIT - Digital Design Certification

CAREER OBJECTIVE
Seeking to leverage UI/UX expertise in a forward-thinking organization, focusing on creating exceptional digital experiences that drive user engagement and business success."
143,"UI/UX Designer

Professional Summary
Innovative UI/UX Designer skilled in creating intuitive digital experiences through research-driven design methodologies. Demonstrated expertise in transforming complex user needs into elegant interface solutions, with a strong foundation in design principles and modern technologies. Proven track record of successful project delivery through collaborative teamwork and comprehensive design processes.

Core Competencies
• User Interface Design
• User Experience Optimization
• Design Systems Development
• Visual Design & Typography
• Information Architecture
• Responsive Web Design
• User Research & Analysis
• Wireframing & Prototyping
• Mobile-First Design
• Cross-functional Collaboration

Project Experience

Indian Restaurant Website Redesign
• Led end-to-end redesign project focusing on mobile responsiveness
• Implemented modern design principles to enhance user engagement
• Optimized customer conversion through improved navigation and interface design
• Delivered comprehensive design solution aligned with business objectives

Turnabout - Travel Booking Web Service
• Spearheaded UX research and competitive analysis for rental housing platform
• Created detailed user personas to guide design decisions
• Developed responsive wireframes for multiple user journeys
• Collaborated with team members to deliver cohesive design solutions

Rest Book - Mobile Application
• Executed full-cycle design process for restaurant booking application
• Conducted thorough competitor analysis and user research
• Created intuitive user flows and interactive wireframes
• Delivered polished interface designs through iterative development

Barbershop Landing Page
• Designed conversion-focused landing page for local business
• Applied contemporary UI/UX principles to enhance user engagement
• Delivered client-specific solution meeting business requirements
• Optimized design for local market preferences

Education & Training
Intensive UI/UX Design Program
• Interface Design Fundamentals
• Color Theory and Typography
• User Experience Optimization
• Design Systems and Principles"
144,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX designer with a unique blend of 3+ years IT industry experience and intensive design training. Combines technical design skills with deep understanding of software development processes to create user-centered solutions. Successfully completed multiple end-to-end design projects while receiving mentorship from senior UI/UX professionals.

**Technical Skills**
• User Interface (UI) Design
• User Experience (UX) Design
• Wireframing and Prototyping
• Figma
• Visual Design Principles
• CSS/HTML Fundamentals
• Software Development Life Cycle
• IT Business Process Analysis

**Project Experience**
Djinni Platform Mobile Application
• Designed complete user interface and experience flow
• Created responsive layouts and interactive prototypes
• Implemented modern design principles for optimal user engagement

Bill-Split Mobile Application
• Developed comprehensive UI/UX solution from concept to final design
• Created intuitive user flows and interaction patterns
• Applied design thinking methodology to solve user pain points

**Professional Experience**
**IT Recruiter** | 3+ years
• Collaborated with development teams across multiple projects, gaining extensive SDLC knowledge
• Analyzed technical requirements and business processes for various IT initiatives
• Built strong understanding of technology industry standards and best practices

**Education & Training**
• Intensive UI/UX Design Program - ""From Zero to Mastery: Web & Mobile Designer""
• One-on-One Mentorship Program with Senior UI/UX Designer
• Comprehensive training in UI/UX principles, Figma, design theory, and web technologies

**Career Objective**
Seeking a UI/UX designer position to leverage industry experience and design expertise in creating impactful digital experiences."
145,"**UI/UX Designer**

**Professional Summary**
Versatile UI/UX designer merging digital expertise with extensive interior design background. Demonstrated success in delivering comprehensive web solutions for Ukrainian brands through strategic user-centered design approaches. Proven track record in managing full-cycle projects while maintaining strong client relationships.

**Experience**

**Freelance UI/UX Designer** | Current
- Spearhead end-to-end web development projects, from concept ideation through successful deployment
- Orchestrate technical infrastructure including domain setup, hosting configuration, and payment gateway integration
- Design and implement user-centric interfaces resulting in measurable improvements in client conversion rates
- Establish and nurture long-term client partnerships through effective communication and project management
- Collaborate with Ukrainian brands to deliver innovative digital solutions

**Furniture and Interior Designer** | 20 years
- Led diverse portfolio of interior and furniture design projects
- Mastered complex project management and creative problem-solving
- Cultivated deep understanding of spatial design principles and user experience

**Education**
Alpaca - Tech & Digital School - Graduate

**Technical Skills**
- Design Tools: Figma, Photoshop, Illustrator
- Web Development: HTML, CSS, Webflow
- UX/UI Expertise: User research, information architecture, user flow mapping, UI component design, wireframing, prototyping, autolayout
- Design Fundamentals: Visual hierarchy, color theory, typography

**Core Competencies**
- End-to-end web development lifecycle management
- Strategic client relationship building
- Payment system implementation
- Technical infrastructure management
- Human-centered design methodology
- Cross-platform design consistency"
146,"**UI/UX Designer**

Results-driven UI/UX designer with proven expertise in creating intuitive digital experiences and elevating brand presence across multiple platforms. Demonstrated success in delivering user-centered design solutions and optimizing conversion rates through strategic interface development.

**PROFESSIONAL EXPERIENCE**

**Freelance UI/UX Designer**
• Spearheaded end-to-end development of Employment Abroad agency landing page, driving project from initial analysis through successful implementation
• Engineered responsive landing pages optimizing user experience across mobile and web platforms
• Designed and implemented adaptive interfaces ensuring seamless functionality across diverse devices
• Crafted engaging micro-interactions and animations using Figma to enhance user engagement
• Developed comprehensive UI kits and interactive prototypes streamlining design systems

**Senior Graphic Designer** | 2 Years
• Orchestrated social media visual strategy across multiple platforms, maintaining brand consistency
• Executed high-impact advertising campaigns driving measurable audience engagement
• Managed print production process ensuring quality control and brand standard compliance
• Directed creation of product catalogs from conceptualization to final delivery
• Performed advanced photo manipulation and retouching to enhance visual appeal
• Led successful website redesign initiative, including development of responsive assets and strategic UI elements

**Graphic Designer** | 2 Years
• Developed creative solutions for multi-channel marketing campaigns
• Designed print collateral adhering to established brand guidelines
• Created engaging visual content for digital platforms

**EDUCATION & TRAINING**
Web Designer Certification - KAMA
Design Marathon Participant - IT Schools

**CORE COMPETENCIES**
• User Interface Development
• Responsive Web Design
• Interactive Prototyping
• UX/UI Best Practices
• Animation Design
• UI Kit Development

**TECHNICAL PROFICIENCY**
Figma | Adobe Photoshop | Adobe Illustrator | Tilda"
147,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with proven expertise in developing intuitive digital experiences and managing complex design projects. Demonstrated success in leading cross-functional teams and delivering comprehensive design solutions across web, mobile, and print platforms. Skilled in translating business requirements into user-centered designs that drive engagement and satisfaction.

**Core Competencies**
• User Interface & Experience Design
• Design Team Leadership
• End-to-End Project Management
• Responsive Web Design
• Digital Platform Development
• Cross-Platform Optimization
• Design Process Implementation
• Integrated Marketing Design

**Professional Experience**

**Team Leader & UI/UX Designer**
• Spearheaded development of innovative medical web service platform, overseeing design strategy and implementation
• Orchestrated multiple successful website redesign initiatives from conception to launch
• Directed cross-functional teams in delivering complex digital solutions
• Implemented comprehensive product platform designs
• Led large-scale advertising campaigns and marketing initiatives

**Key Projects**

**Medical Web Service (Webservice Project)**
• Architected end-to-end digital healthcare platform facilitating patient-doctor interactions
• Designed intuitive patient interface enhancing user engagement and accessibility
• Developed specialized healthcare provider portal optimizing workflow efficiency
• Created seamless online consultation system
• Engineered responsive design solutions across desktop and mobile platforms

**Sports Bar Website Redesign**
• Transformed legacy website into modern, user-friendly digital platform
• Enhanced user experience through strategic interface improvements
• Integrated sophisticated reservation system
• Implemented data-driven design solutions
• Optimized site performance across all devices

**Additional Experience**
• Extensive portfolio in advertising and print production
• Successfully executed multiple website transformation projects
• Developed innovative product platform solutions"
148,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with proven expertise in delivering high-impact digital solutions, including a strategic presentation for Ukraine's Digital Transformation initiative. Combines technical proficiency with user-centered design principles to create intuitive and engaging experiences across web and mobile platforms.

**Core Competencies**
• Expert-level Figma proficiency: auto-layout, components, variants, styles, plugins, animation, and prototyping
• Advanced WebFlow implementation: CMS development, responsive design, animations, and integrations
• Design system architecture and UI kit development
• User research and testing methodology execution
• Stakeholder collaboration and user interview facilitation
• HTML/CSS and Bootstrap fundamentals
• Strategic problem-solving with meticulous attention to detail

**Key Achievement**
Spearheaded the design of a strategic presentation for Ukraine's Minister of Digital Transformation, targeting mayors of major cities to advance digital transformation initiatives.

**Industry Experience**
**UI Design**
• E-commerce fashion platforms (web and mobile applications)
• Dental practice management systems
• Public transportation applications
• Electronic document management solutions

**UX/UI Design**
• Food delivery platforms
• Recruitment platforms
• Job board websites

**Professional Objective**
Junior UI/UX Designer position in a collaborative environment offering mentorship opportunities and professional growth potential."
149,"**Junior UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with expertise in user-centered design methodologies and digital product development. Successfully delivered 5 comprehensive projects spanning mobile applications, web services, and platform redesigns. Demonstrated excellence in user research, interface design, and experience optimization through systematic approach to solving complex design challenges.

**Technical Proficiencies**
• Design Tools: Figma, Adobe Photoshop
• Design Systems: Material Design
• UX Methodologies: User Flow Development, Customer Journey Mapping
• Research: Competitor Analysis, User Interviews, Survey Design
• Digital Products: Mobile Applications, Websites, Landing Pages, Dashboards

**Core Competencies**
• User-Centered Design
• Interface Architecture
• Project Management
• Cross-functional Collaboration
• Rapid Problem Resolution
• Strategic Communication
• User Experience Optimization
• Information Architecture
• Design System Implementation

**Selected Projects**

**PresentPerfect Mobile Application**
• Engineered 40+ animated screens utilizing Material Design System
• Conducted comprehensive user research and competitor analysis
• Developed detailed user personas and strategic user flows
• Optimized interface for seamless gift selection and delivery experience

**PetDetective Web Service**
• Designed end-to-end platform connecting pet owners with search volunteers
• Executed user interviews to identify critical service requirements
• Developed intuitive information architecture for pet search guidance
• Implemented user-friendly interface for community engagement

**IT School Dashboard**
• Created comprehensive educational metrics dashboard for students and teachers
• Optimized data visualization for enhanced user comprehension
• Implemented intuitive navigation and information hierarchy

**Cucina di Catharina Website Redesign**
• Executed complete website restructuring and visual refresh
• Integrated strategic CTA placement to improve conversion
• Developed cohesive color strategy and content organization
• Enhanced user engagement through optimized visual hierarchy

**Timeless Home Landing Page**
• Designed conversion-focused product showcase platform
• Implemented strategic content structure and visual hierarchy
• Created engaging user interface for product discovery

**Professional Objectives**
• Growth-oriented position in UI/UX design
• Collaborative team environment
• Remote/hybrid work capability
• Value-driven organizational culture

Available for full-time positions and internships."
150,"**UI/UX Designer**

Results-driven UI/UX designer with a proven track record in creating user-centered digital experiences. Combines analytical thinking with creative design to deliver intuitive solutions that bridge user needs with business objectives.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
*Academic Studies & Non-Profit Charity Projects*

• Led end-to-end design of responsive websites and mobile applications, focusing on user-centric solutions
• Conducted comprehensive UX research and market analysis to shape data-driven design decisions
• Crafted detailed user personas and journey maps to guide strategic design solutions
• Produced high-fidelity wireframes and interactive prototypes using industry-standard tools
• Implemented responsive design principles across multiple platforms ensuring seamless user experiences
• Developed cohesive visual design systems and brand-aligned digital assets
• Partnered with stakeholders to translate business requirements into effective design solutions

**TECHNICAL EXPERTISE**

• Design Software: Figma, Adobe XD, Adobe Photoshop
• UX Methodologies: User research, competitive analysis, persona development, journey mapping
• UI Design: Typography, color theory, composition, visual hierarchy, responsive design
• Prototyping: Interactive wireframes, animated prototypes, user flow diagrams
• Web Design: Responsive layouts, landing page optimization, adaptive design principles

**CORE STRENGTHS**

• Cross-functional team collaboration
• Project management and organization
• Deadline-driven performance
• Meticulous attention to detail
• Continuous learning and adaptation
• Clear and effective communication

**CAREER OBJECTIVE**

Seeking a challenging UI/UX design role to leverage expertise in creating impactful digital experiences. Committed to contributing to innovative projects while expanding professional capabilities within a dynamic team environment."
151,"James
Product Designer

PROFESSIONAL SUMMARY
Results-driven Product Designer with proven expertise in crafting intuitive digital experiences through user-centered design methodologies. Demonstrated success in leading cross-functional teams and delivering impactful solutions that enhance user engagement. Combines technical proficiency with innovative thinking to create seamless, user-focused products that drive business objectives.

CORE COMPETENCIES
• UI/UX Design & Implementation
• End-to-End Product Development
• User Research & Testing
• Webflow, WordPress & Shopify
• Digital Product Strategy
• Team Leadership & Mentoring
• Problem-solving & Innovation
• Cross-functional Collaboration
• Design Systems Architecture

PROFESSIONAL EXPERIENCE

Design Lead | Zuri Team, Inc.
Team 70 Leadership Role
• Spearheaded design strategy and execution for Team 70, resulting in successful product delivery
• Orchestrated cross-functional collaboration between developers, designers, and stakeholders
• Led end-to-end design process for ICON CITY platform, ensuring alignment with user needs
• Fostered team cohesion and productivity through effective leadership and communication

PROJECTS

ICON CITY
Responsive Platform for Creative Professionals
• Architected and implemented a comprehensive platform enabling creative professionals to streamline favicon generation
• Engineered user-centric solutions addressing specific needs of developers, designers, and creative professionals
• Delivered scalable platform optimized for multiple user personas and technical requirements

TECHNICAL SKILLS
• UI/UX Design & Prototyping
• User Experience Architecture
• Advanced Webflow Development
• WordPress Platform Engineering
• Shopify Solutions Development
• Responsive Design Implementation
• Design System Management"
152,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with proven expertise in creating intuitive digital experiences across web and mobile platforms. Successfully delivered user-centered solutions through comprehensive research, iterative prototyping, and systematic design approaches. Demonstrated ability to enhance user engagement and achieve measurable business outcomes through strategic interface design and optimization.

**Technical Expertise**
• User Research & Analysis
• Information Architecture
• Wireframing & Prototyping
• Interactive Design
• Responsive Web Design
• Cross-platform UI Development
• User Flow Optimization
• Visual Design Systems

**Professional Experience**

**UI/UX Designer - Handyhelper Web Service**
Led end-to-end user experience design for innovative freelance marketplace platform, focusing on job seeker interface optimization and seamless user journey creation.

Key Achievements:
• Engineered comprehensive user personas and journey maps for targeted job seeker segment
• Architected intuitive user flow patterns maximizing engagement and conversion
• Delivered high-fidelity interactive prototypes driving development efficiency
• Implemented security-focused interface elements enhancing user trust
• Created dynamic prototype animations improving user engagement
• Executed responsive design solutions across mobile and tablet platforms

**UI/UX Designer - Mainsail Realty Company**
Spearheaded complete redesign of real estate platform, enhancing property search functionality and agent connectivity while ensuring cross-device compatibility.

Key Achievements:
• Executed strategic competitor analysis informing design decisions
• Developed comprehensive prototype incorporating advanced UX improvements
• Revolutionized property listing display and review system interface
• Established cohesive typography and visual design framework
• Optimized platform for seamless cross-device performance

**Professional Qualities**
Adaptable problem-solver with exceptional learning agility. Detail-oriented professional demonstrating consistent delivery of results. Proven capability in both autonomous and collaborative environments.

**Career Objectives**
Seeking full-time role in growth-oriented team environment with challenging projects and advancement opportunities. Open to hybrid work arrangements."
153,"UI/UX DESIGNER

PROFESSIONAL SUMMARY
Results-driven UI/UX designer with proven experience in developing user-centric digital solutions. Successfully delivered multiple projects including landing pages, website redesigns, and collaborative web platforms. Combines analytical thinking with creative design to produce intuitive, engaging user experiences. Demonstrates strong ability to translate business requirements into effective design solutions.

EDUCATION
UI/UX Design - Go IT

PROFESSIONAL PROJECTS

Sugaring Landing Page
• Spearheaded end-to-end design of commercial landing page for beauty industry client
• Implemented user-centered design principles to optimize conversion rates
• Conducted user research and developed information architecture

Indian Cafe Website Redesign
• Led complete website redesign initiative to modernize digital presence
• Enhanced user experience through intuitive navigation and visual hierarchy
• Optimized site architecture for improved customer engagement

Animal Stories Web Service
• Collaborated in cross-functional team to develop lost pet finding platform
• Created user flows and wireframes for complex service interactions
• Contributed to platform's information architecture and visual design system

TECHNICAL EXPERTISE
• User Research & Analysis
• User Personas & JTBD Framework
• Customer Journey Mapping
• Design Thinking & Ideation
• User Flow Development
• Wireframing & Prototyping
• Visual Design Systems
• Responsive Design
• UI Pattern Libraries

CAREER OBJECTIVES
Seeking junior web designer position to leverage UI/UX expertise in developing innovative digital solutions. Committed to delivering high-quality designs while contributing to team success and company growth."
154,"**UX/UI Designer & Frontend Developer**

**PROFESSIONAL SUMMARY**
Results-driven UX/UI designer specializing in intuitive web and mobile applications. Demonstrated success in implementing user-centered design solutions while maintaining modern design standards. Proven track record of managing multiple projects and collaborating effectively across teams to deliver exceptional digital experiences.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer & Developer**
• Led development of high-performance landing pages and mobile applications for cryptocurrency platforms
• Implemented data-driven UX research methodologies to optimize user interfaces and enhance user engagement
• Spearheaded cross-functional collaboration to ensure seamless integration of design solutions
• Delivered end-to-end design solutions from concept to implementation

**Graphic Designer & Manager | Advertising and Printing Agency**
• Orchestrated graphic design projects while maintaining strong client relationships
• Created impactful visual solutions across print and digital platforms
• Managed project timelines and deliverables to ensure client satisfaction

**KEY PROJECTS**

**ALTIMA Crypto Exchange Mobile Application**
• Designed and developed user-centric cryptocurrency trading platform
• Implemented streamlined verification system using ""ДІЯ"" and facial recognition
• Created minimalist interface focusing on accessibility and user comprehension

**WashHouse Web Service**
• Architected end-to-end web platform for cleaning service management
• Integrated secure payment systems and automated booking processes
• Optimized user flow to eliminate unnecessary steps and enhance efficiency

**TECHNICAL SKILLS**
• Design: Figma, Adobe Photoshop, Adobe Illustrator
• Prototyping: Protopie
• Development: Landing page creation, web services, mobile applications
• UX Research: User-centered design methodologies
• Visual Design: Logo design, illustrations, brand identity development

**CORE COMPETENCIES**
• User Experience Optimization
• Cross-functional Team Leadership
• Project Management
• Interface Design
• Continuous Learning
• Problem-Solving
• Client Relations
• Design Implementation

**PROFESSIONAL DEVELOPMENT**
Maintains industry expertise through Norman Nielsen Group resources and continuous monitoring of design trends and technologies."
155,"Alina
UI/UX Designer

PROFESSIONAL SUMMARY
Results-driven UI/UX Designer with demonstrated success in creating impactful digital experiences. Leverages expertise in design thinking methodology to deliver user-centered solutions across multiple platforms. Proven track record of translating business requirements into visually compelling and functional designs while maintaining brand consistency.

TECHNICAL EXPERTISE
Design & Development
• User Interface (UI) Design
• User Experience (UX) Design
• Responsive Web Design
• Wireframing & Prototyping
• Visual Brand Integration
• Typography Systems

Research & Analysis
• User Experience Research
• Market & Competitor Analysis
• Design Thinking Implementation
• User Journey Mapping
• Usability Testing

Software Proficiency
• Figma
• Adobe Photoshop
• Canva

SELECTED PROJECTS

Beauty Salon Website Redesign
• Spearheaded end-to-end design process from research through implementation
• Executed comprehensive competitor analysis to identify market opportunities
• Developed wireframes optimized for user navigation and engagement
• Implemented cohesive visual design system aligned with brand guidelines
• Created mood boards to establish and maintain consistent design direction

Cleaning Service Web Platform
• Led user research initiatives to define target audience preferences
• Implemented Design Thinking methodology throughout project lifecycle
• Designed responsive interfaces optimized for mobile and tablet experiences
• Developed adaptive layouts ensuring cross-device functionality
• Delivered intuitive navigation system based on user behavior analysis

CORE COMPETENCIES
• Design System Development
• User-Centered Design Principles
• Cross-Platform Design Solutions
• Remote Collaboration
• Client Communication
• Continuous Professional Development"
156,"Anna

Junior UI/UX Designer

PROFILE
Results-driven UI/UX designer with demonstrated expertise in user experience research and product development. Successfully delivered multiple web design projects through effective team leadership and independent execution. Specializing in user-centered design solutions with a focus on seamless multi-device experiences.

EXPERIENCE
Team Leader - Web Service for Cleaning Project
• Spearheaded development of comprehensive web platform connecting customers with service providers
• Orchestrated in-depth competitor analysis to identify market opportunities and user needs
• Developed detailed user personas and flow documentation to guide product development
• Implemented responsive design strategies ensuring seamless cross-device functionality

PROJECTS
Website Redesign - Sophie Scholl Realschule (Independent Project)
• Conceptualized and executed complete website overhaul focusing on intuitive navigation and user engagement
• Transformed educational institution's digital presence through modern design principles and enhanced functionality

Landing Page Development (Independent Project)
• Designed and implemented standalone landing page showcasing conversion-focused user experience

TECHNICAL SKILLS
• UI/UX Design
• UX Research & Analysis
• Design Systems Architecture
• User Flow Mapping
• Persona Development
• Interactive Prototyping
• Responsive Design
• Team Leadership
• Competitive Analysis"
157,"Bohdan
UX/UI Designer

PROFESSIONAL SUMMARY
Results-driven UX/UI designer with expertise in web and mobile applications, backed by one year of design training. Demonstrated success in delivering user-centric solutions through multiple completed projects. Strong team leadership capabilities with proven ability to foster collaboration and stay current with emerging design trends.

PROFESSIONAL EXPERIENCE

Team Leader | Team Project
• Spearheaded project development initiatives and team coordination efforts
• Facilitated cross-functional collaboration to ensure successful project delivery

UX/UI Designer | Personal Projects

Architecture Website Project
• Conducted stakeholder interviews to establish project scope and business requirements
• Executed in-depth industry research to inform design decisions
• Curated multimedia content to enhance website engagement
• Architected comprehensive site structure incorporating portfolio, services, projects, and contact sections
• Delivered sophisticated design solutions aligned with architectural aesthetics

iPhone Online Store Website
• Implemented Apple design guidelines and iOS interface principles
• Developed detailed product documentation for iPhone models and specifications
• Created streamlined website layouts prioritizing visual hierarchy and user flow
• Designed comprehensive product presentation system including features, pricing, and purchase pathways

TECHNICAL SKILLS
• UX/UI Design
• User Research
• Interface Design
• Team Leadership
• Client Management
• Information Architecture
• Brand Strategy
• Minimalist Design
• Cross-team Collaboration
• Stakeholder Relations
• Technology Adaptation

PROFESSIONAL APPROACH
Detail-oriented designer focused on creating visually compelling and user-centered digital experiences. Combines analytical thinking with creative problem-solving to deliver intuitive interfaces. Excellence in team collaboration and stakeholder management, with commitment to continuous professional development in UX/UI design."
158,"LILYA
UI/UX Designer

PROFESSIONAL SUMMARY
Results-driven UI/UX designer with expertise in crafting intuitive landing pages and web services. Currently advancing design skills through intensive UI/UX coursework at GoIT. Leverages sales management background to combine user-centered design principles with business objectives. Known for delivering clean, responsive designs and conducting thorough user research to create engaging digital experiences.

SKILLS & COMPETENCIES
Design: UI/UX Design, Landing Page Development, Web Service Design, Prototype Creation, Mobile-First Design, Responsive Design
Research: User Research & Analysis, Competitor Analysis, Target Audience Analysis
Professional: Creative Problem Solving, Strategic Communication, Client Relationship Management, Stress Management

PROJECTS
FloverLover Flower Shop Landing Page
• Spearheaded end-to-end design process from research through prototype development
• Executed comprehensive target audience analysis to inform design decisions
• Developed cohesive UI Kit ensuring consistent brand implementation
• Delivered prototype optimized for user engagement and conversion

Kindergarten Website Redesign
• Revitalized website interface with modern design elements and improved user flow
• Implemented responsive design principles for seamless mobile and tablet experiences
• Enhanced visual hierarchy through typography and color scheme optimization
• Conducted thorough competitor analysis to identify market opportunities

Travel Web Service
• Leading user-centered design process through research and prototyping phases
• Developing detailed user personas to guide interface decisions
• Conducting competitive analysis to identify market differentiators

PROFESSIONAL EXPERIENCE
Sales Manager
• Built and maintained strong client relationships through effective communication
• Demonstrated resilience and adaptability in fast-paced environments
• Applied creative solutions to meet client needs and exceed targets

EDUCATION
UI/UX Design Certification (In Progress)
GoIT
March 2023 - Present"
159,"MAX
Digital Art & UI/UX Designer

PROFESSIONAL SUMMARY
Versatile Digital Art and UI/UX Designer with 8+ years of graphic design expertise and 2+ years of professional experience. Currently pursuing Computer Graphics and Design degree at University of the Arts. Proven track record of delivering innovative digital solutions across gaming, veterinary, and commercial sectors. Specializes in web interfaces, promotional materials, and mobile-optimized designs.

PROFESSIONAL EXPERIENCE

Digital Design Consultant | Independent Practice | 2019 - Present
• Spearheaded end-to-end web interface development for CS:GO gaming platform, including promotional content integration
• Designed and implemented broadcast-ready promotional materials featured on StarLadder and online tournaments
• Conceptualized and executed award-winning website design for Zoolux veterinary network's cat adoption initiative
• Developed and optimized mobile-responsive landing pages using Tilda and Wix platforms
• Enhanced website performance through SEO-optimized design implementation
• Orchestrated seamless component migration to Zero block within Tilda framework
• Expanded service delivery to international markets via UPWork platform

EDUCATION
University of the Arts | 2018 - Present
Bachelor's Degree in Computer Graphics and Design

TECHNICAL EXPERTISE
Design Software: Adobe Photoshop, Adobe Illustrator, Figma, Adobe XD, Sketch, Azure RP
Video Production: Adobe Premiere Pro, After Effects, Animate
Photography: Adobe Photoshop, Lightroom, Camera RAW
Web Development: Tilda, Wix

CORE COMPETENCIES
• User Interface Design
• User Experience Design
• Mobile-First Design
• Digital Marketing Materials
• Web Development
• Client Communication
• Project Management
• Cross-Platform Integration"
160,"Yana
UX/UI Designer

PROFESSIONAL SUMMARY
Results-driven UX/UI designer specializing in modern minimalism and functional design with proven experience delivering user-centric digital solutions. Demonstrated expertise in creating seamless user experiences through comprehensive design systems, interactive prototypes, and data-informed design decisions. Strong background in user research and competitor analysis, consistently delivering intuitive and visually compelling designs that drive engagement.

TECHNICAL EXPERTISE
Design Tools & Software
• Figma (advanced proficiency in hotkeys, autolayouts, variants, components)
• Adobe Creative Suite (Illustrator, Photoshop)
• Miro (collaboration and wireframing)

Core Competencies
• Design Systems Development
• Interactive Prototyping
• Responsive Web Design
• User Interface Design
• Vector/Raster Graphics
• Typography & Color Theory
• Usability Testing
• Component-Based Design

Design Standards
• Google Material Design
• Apple Human Interface Guidelines
• Cross-Platform Design
• Modern Minimalism Principles

PROJECT HIGHLIGHTS

Landing Page Design - Sugaring Salon
• Executed comprehensive competitor analysis to identify market opportunities
• Developed detailed user personas to guide design decisions
• Implemented sophisticated color theory and typography principles
• Delivered complete, conversion-focused landing page solution

Website Redesign Project
• Developed scalable design system with reusable components and variants
• Created interactive prototypes and detailed wireframes
• Designed efficient product card systems using autolayout
• Implemented modular component library for consistent user experience

PREFERRED WORK ENVIRONMENT
• Remote or flexible working arrangements
• Full-time or part-time positions
• Product-focused companies and e-commerce
• Social impact initiatives
• Collaborative team settings
• Innovation-driven projects"
